+,Result #,X,Date Published,Title,Inventor,8,Assignee,Application Number,Filing Date,Primary Examiner,Assistant Examiner,OR,XREF,Applicant Name,Notes,Notes/Tagged,Relevancy,C
2,112,,2022-12-22,METHOD FOR OPERATING SURGICAL INSTRUMENT SYSTEMS,"Shelton, IV; Frederick E.",,,17/854087,2022-06-30,,,1/1,,Cilag GmbH International,,,10.845462,
,113,,2021-09-07,Method for predicting arc flash energy and PPE category within a real-time monitoring system,"Radibratovic; Branislav et al.",,POWER ANALYTICS CORPORATION,16/152064,2018-10-04,"Khan; Iftekhar A",,1/1,,Power Analytics Corporation,,,23.627174,
,114,,2021-04-08,METHOD FOR PREDICTING HLA-BINDING PEPTIDES USING PROTEIN STRUCTURAL FEATURES,"Hacohen; Nir et al.",,,17/062335,2020-10-02,,,1/1,,"The General Hospital Corporation,Dana-Farber Cancer Institute, Inc.,The Broad Institute, Inc.",,,29.765284,
4,115,,2019-05-02,METHOD FOR PRODUCING A SURGICAL INSTRUMENT COMPRISING A SMART ELECTRICAL SYSTEM,"Shelton, IV; Frederick E. et al.",,,16/172280,2018-10-26,,,1/1,,Ethicon LLC,,,9.940363,
2,116,,2019-07-04,"METHOD FOR USAGE OF THE SHROUD AS AN ASPECT OF SENSING OR CONTROLLING A POWERED SURGICAL DEVICE, AND A CONTROL ALGORITHM TO ADJUST ITS DEFAULT OPERATION","Shelton, IV; Frederick E. et al.",,,16/225140,2018-12-19,,,1/1,,Ethicon LLC,,,9.597387,
,117,,2022-10-06,METHOD OF AND SYSTEM FOR AUTOMATED MACHINE-ASSISTED DETECTION OF OCULAR DISEASE CONDITIONS IN HUMAN EYES CAPTURED USING VISIBLE ILLUMINATION LIGHT SOURCES AND DIGITAL CAMERA SYSTEMS,"Singh; Ranjodh et al.",,CorneaCare Inc.,17/220535,2021-04-01,,,1/1,,CorneaCare Inc.,,,59.31385,
4,118,,2019-07-04,METHOD OF HUB COMMUNICATION,"Shelton, IV; Frederick E. et al.",,,16/209395,2018-12-04,,,1/1,,Ethicon LLC,,,9.2327175,
4,119,,2019-05-02,METHOD OF HUB COMMUNICATION WITH SURGICAL INSTRUMENT SYSTEMS,"Shelton, IV; Frederick E. et al.",,,16/172198,2018-10-26,,,1/1,,Ethicon LLC,,,10.875609,
2,120,,2019-05-02,METHOD OF HUB COMMUNICATION WITH SURGICAL INSTRUMENT SYSTEMS,"Stokes; Michael J. et al.",,,16/172155,2018-10-26,,,1/1,,Ethicon LLC,,,11.156927,
3,121,,2019-05-02,METHOD OF HUB COMMUNICATION WITH SURGICAL INSTRUMENT SYSTEMS,"Shelton, IV; Frederick E. et al.",,,16/172219,2018-10-26,,,1/1,,Ethicon LLC,,,9.953112,
1,122,,2019-05-02,METHOD OF HUB COMMUNICATION WITH SURGICAL INSTRUMENT SYSTEMS,"Shelton, IV; Frederick E. et al.",,,16/172328,2018-10-26,,,1/1,,Ethicon LLC,,,11.991341,
,123,,2023-05-11,METHOD OF HUB COMMUNICATION WITH SURGICAL INSTRUMENT SYSTEMS,"Shelton, IV; Frederick E. et al.",,,17/959683,2022-10-04,,,606/130,606/144,Cilag GmbH International,,,11.874869,
6,124,,2019-07-04,"METHOD OF HUB COMMUNICATION, PROCESSING, DISPLAY, AND CLOUD ANALYTICS","Shelton, IV; Frederick E. et al.",,,16/209416,2018-12-04,,,1/1,,Ethicon LLC,,,9.395754,
2,125,,2019-07-04,"METHOD OF HUB COMMUNICATION, PROCESSING, STORAGE AND DISPLAY","Shelton, IV; Frederick E. et al.",,,16/209385,2018-12-04,,,1/1,,Ethicon LLC,,,9.194033,
1,126,,2024-07-04,"METHOD OF HUB COMMUNICATION, PROCESSING, STORAGE AND DISPLAY","Shelton, IV; Frederick E. et al.",,,18/442812,2024-02-15,,,1/1,,Cilag GmbH International,,,9.195225,
,127,,2008-10-02,Method of providing business intelligence,"Azvine; Behnam et al.",,BRITISH TELECOMMUNCTIONS public limited company,11/727895,2007-03-28,,,1/1,707/999.103,,,,42.635113,
1,128,,2021-10-21,METHODS  DETERMINING AND TREATING CELLULAR RESISTANCE TO ADP-RIBOSYLATING TOXIN,"Lane; Andrew et al.",,,16/756545,2018-10-30,,,1/1,,"Dana-Farber Cancer Institute, Inc.,The Brigham and Women's Hospital, Inc.",,,9.767909,
3,129,,2023-11-16,METHODS AND APPARATUS FOR SCALABLE PROCESSING,"Lee; Te-Won et al.",,"SoftEye, Inc.",18/316206,2023-05-11,,,1/1,,"SoftEye, Inc.",,,30.932938,
,130,,2021-02-02,Methods and apparatus for unsupervised one-shot machine learning for classification of human gestures and estimation of applied forces,"Barachant; Alexandre",,"Facebook Technologies, LLC",16/288880,2019-02-28,"Gonzales; Vincent","Garner; Casey R.",1/1,,"Facebook Technologies, LLC",,,44.34764,
,131,,2023-02-21,Methods and apparatuses for a unified artificial intelligence platform to synthesize diverse sets of peptides and peptidomimetics,"Lee; Francis et al.",,"Peptilogics, Inc.",17/401715,2021-08-13,"Vanni; G Steven",,1/1,,"Peptilogics, Inc.",,,39.908752,
1,132,,2022-11-29,Methods and apparatuses for generating peptides by synthesizing a portion of a design space to identify peptides having non-canonical amino acids,"Lee; Francis et al.",,"Peptilogics, Inc.",17/401975,2021-08-13,"Hoover; Brent Johnston",,1/1,,"Peptilogics, Inc.",,,40.26378,
,133,,2022-08-25,METHODS AND APPARATUSES FOR LOW LATENCY BODY STATE PREDICTION BASED ON NEUROMUSCULAR DATA,"Hussami; Nadine et al.",,,17/741263,2022-05-10,,,1/1,,"Facebook Technologies, LLC",,,48.225327,
,134,,2023-04-06,METHODS AND COMPOSITIONS FOR IDENTIFYING CASTRATION RESISTANT NEUROENDOCRINE PROSTATE CANCER,"Beltran; Himisha et al.",,,17/796830,2021-02-08,,,435/6.14,,"Dana-Farber Cancer Institute, Inc.,Universita’ Degli Studi Di Trento",,,1.8939657,
4,135,,2020-10-08,METHODS AND SYSTEMS FOR AN ARTIFICIAL INTELLIGENCE ALIMENTARY PROFESSIONAL SUPPORT NETWORK FOR VIBRANT CONSTITUTIONAL GUIDANCE,"Neumann; Kenneth",,,16/836329,2020-03-31,,,1/1,,"KPN Innovations, LLC",,,36.712585,
9,136,,2013-12-12,Methods and Systems for Applications for Z-numbers,"Zadeh; Lotfi A.",,,13/953047,2013-07-29,,,382/195,,"Zadeh; Lotfi A.",,,13.33316,
1,137,,2014-07-17,Methods and Systems for Applications for Z-numbers,"Zadeh; Lotfi A. et al.",,,14/218923,2014-03-18,,,706/52,,"Zadeh; Lotfi A.,Tadayon; Saied,Tadayon; Bijan",,,36.385635,
,138,,2019-11-07,"METHODS AND SYSTEMS FOR DATA COLLECTION, LEARNING, AND STREAMING OF MACHINE SIGNALS FOR ANALYTICS AND MAINTENANCE USING THE INDUSTRIAL INTERNET OF THINGS","Cella; Charles Howard et al.",,"Strong Force IOT Portfolio 2016, LLC",16/369210,2019-03-29,,,1/1,,"Strong Force IOT Portfolio 2016, LLC",,,72.80208,
,139,,2020-04-02,"METHODS AND SYSTEMS FOR DATA COLLECTION, LEARNING, AND STREAMING OF MACHINE SIGNALS FOR COMPUTERIZED MAINTENANCE MANAGEMENT SYSTEM USING THE INDUSTRIAL INTERNET OF THINGS","Cella; Charles Howard et al.",,"Strong Force IOT Portfolio 2016, LLC",16/700413,2019-12-02,,,1/1,,"Strong Force IOT Portfolio 2016, LLC",,,72.90044,
13,140,,2020-04-30,METHODS AND SYSTEMS FOR DETECTING OPERATING CONDITIONS OF AN INDUSTRIAL MACHINE USING THE INDUSTRIAL INTERNET OF THINGS,"Cella; Charles Howard et al.",,"Strong Force IOT Portfolio 2016, LLC",16/685372,2019-11-15,,,1/1,,"Strong Force IOT Portfolio 2016, LLC",,,83.32874,
63,141,,2019-02-07,METHODS AND SYSTEMS FOR DETECTION IN AN INDUSTRIAL INTERNET OF THINGS DATA COLLECTION ENVIRONMENT WITH EXPERT SYSTEMS DIAGNOSTICS AND PROCESS ADJUSTMENTS FOR VIBRATING COMPONENTS,"Cella; Charles Howard et al.",,,16/150151,2018-10-02,,,1/1,,"Strong Force IoT Portfolio 2016, LLC",,,70.95213,
1,142,,2021-01-07,METHODS AND SYSTEMS FOR GENERATING A SUPPLEMENT INSTRUCTION SET USING ARTIFICIAL INTELLIGENCE,"Neumann; Kenneth",,,16/837370,2020-04-01,,,1/1,,"KPN Innovations, LLC",,,35.979008,
,143,,2023-09-07,METHODS AND SYSTEMS FOR GENERATING A SUPPLEMENT INSTRUCTION SET USING ARTIFICIAL INTELLIGENCE,"Neumann; Kenneth",,"KPN INNOVATIONS, LLC.",18/197149,2023-05-15,,,706/12,,"KPN INNOVATIONS, LLC.",,,34.5143,
2,144,,2020-10-08,METHODS AND SYSTEMS FOR GENERATING AN ALIMENTARY INSTRUCTION SET IDENTIFYING AN INDIVIDUAL PROGNOSTIC MITIGATION PLAN,"Neumann; Kenneth",,,16/837233,2020-04-01,,,1/1,,"KPN Innovations, LLC",,,36.10524,
1,145,,2021-07-01,METHODS AND SYSTEMS FOR GROUPING INFORMED ADVISOR PAIRINGS,"Neumann; Kenneth",,,16/948102,2020-09-03,,,1/1,,"KPN INNOVATIONS, LLC.",,,44.042477,
,146,,2024-06-20,METHODS AND SYSTEMS FOR GROUPING INFORMED ADVISOR PAIRINGS,"Neumann; Kenneth",,KPN Innovations LLC,18/591242,2024-02-29,,,1/1,,KPN Innovations LLC,,,51.27517,
100,147,,2018-10-04,METHODS AND SYSTEMS FOR INDUSTRIAL INTERNET OF THINGS DATA COLLECTION FOR EQUIPMENT ANALYSIS IN AN UPSTREAM OIL AND GAS ENVIRONMENT,"Cella; Charles Howard et al.",,,15/973309,2018-05-07,,,1/1,,"StrongForce IoT Portfolio 2016, LLC",,,75.592926,
3,148,,2015-11-26,METHODS AND SYSTEMS FOR NEURAL AND COGNITIVE PROCESSING,"Scheffler; Lee J.",,,14/718642,2015-05-21,,,706/16,706/27,"Scheffler; Lee J.",,,64.63242,
,149,,2024-04-04,METHODS AND SYSTEMS FOR ONTOLOGY CONSTRUCTION WITH AI-MEDIATED CROWDSOURCING AND CONCEPT MINING FOR HIGH-LEVEL ACTIVITY UNDERSTANDING,"KIM; Ji Eun et al.",,,17/956514,2022-09-29,,,1/1,,Robert Bosch GmbH,,,62.651657,
4,150,,2019-06-06,METHODS AND SYSTEMS FOR OPTIMIZED SELECTION OF DATA FEATURES FOR A NEURO-LINGUISTIC COGNITIVE ARTIFICAL INTELLIGENCE SYSTEM,"XU; GANG et al.",,"OMAI AI, INC.",16/120943,2018-09-04,,,1/1,,"OMNI AI, INC.",,,32.85367,
2,151,,2021-08-05,METHODS AND SYSTEMS FOR PHYSIOLOGICALLY INFORMED ACCOUNT METRICS UTILIZING ARTIFICIAL INTELLIGENCE,"Neumann; Kenneth",,,16/781540,2020-02-04,,,1/1,,"KPN Innovations, LLC",,,44.021744,
3,152,,2021-08-05,METHODS AND SYSTEMS FOR PHYSIOLOGICALLY INFORMED GESTATIONAL INQUIRIES,"Neumann; Kenneth",,,16/778847,2020-01-31,,,1/1,,"KPN Innovations, LLC",,,44.852943,
1,153,,2024-03-07,METHODS AND SYSTEMS FOR PHYSIOLOGICALLY INFORMED GESTATIONAL INQUIRIES,"Neumann; Kenneth",,"KPN INNOVATIONS, LLC.",18/387314,2023-11-06,,,1/1,,"KPN INNOVATIONS, LLC.",,,43.421394,
3,154,,2019-06-06,METHODS AND SYSTEMS FOR THE INDUSTRIAL INTERNET OF THINGS,"Cella; Charles Howard et al.",,,16/185625,2018-11-09,,,1/1,,"StrongForce IoT Portfolio 2016, LLC",,,62.979393,
2,155,,2017-10-12,METHODS AND SYSTEMS USING COGNITIVE ARTIFICAL INTELLIGENCE TO IMPLEMENT ADAPTIVE LINGUISTIC MODELS TO PROCESS DATA,"SEOW; Ming-Jung et al.",,,15/481302,2017-04-06,,,1/1,,"YANG; Tao,XU; Gang,COBB; Wesley Kenneth,Omni AI, Inc.",,,46.191807,
1,156,,2016-02-18,METHODS TO MONITOR CONSCIOUSNESS,"Sitt; Jacobo Diego et al.",,,14/783942,2014-04-02,,,600/409,"600/475;600/544;600/410",COMMISSARIAT A L'ENERGIE ATOMIQUE ET AUX ENERGIES ALTERNATIVES,,,41.302277,
,157,,2020-07-16,"METHODS, SYSTEMS, KITS AND APPARATUSES FOR MONITORING AND MANAGING INDUSTRIAL SETTINGS IN AN INDUSTRIAL INTERNET OF THINGS DATA COLLECTION ENVIRONMENT","CELLA; Charles et al.",,"STRONG FORCE IOT PORTFOLIO 2016, LLC",16/741470,2020-01-13,,,1/1,,"STRONG FORCE IOT PORTFOLIO 2016, LLC",,,60.150326,
,158,,2021-03-30,Microgrid model based automated real time simulation for market based electric power system optimization,"Meagher; Kevin",,Wavetech Global Inc.,15/925245,2018-03-19,"Gami; Tejal",,1/1,,WaveTech Global Inc.,,,21.976711,
1,159,,2017-05-16,Model-driven evaluator bias detection,"Taylor; Benjamin et al.",,"HIREVUE, INC.",14/543776,2014-11-17,"Jasmin; Lynda","Lindsey, III; Johnathan",1/1,,"HireVue, Inc.",,,54.22856,
1,160,,2007-04-19,MULTIFACTORIAL OPTIMIZATION SYSTEM AND METHOD,"Hoffberg; Steven M.",,,11/467931,2006-08-29,,,455/450,,,,,23.257614,
,161,,2025-02-13,MULTIWAVELET-BASED OPERATOR LEARNING FOR DIFFERENTIAL EQUATIONS,"Bogdan; Paul et al.",,,18/710880,2022-09-16,,,1/1,,University of Southern California,,,40.04554,
1,162,,2022-06-09,NEURO-SYMBOLIC NEXT STATE PREDICTION BASED ON MULTIPLE POTENTIAL CAUSES,"Wachi; Akifumi et al.",,,17/110400,2020-12-03,,,1/1,,International Business Machines Corporation,,,41.693527,
1,163,,2023-04-06,NEURO-SYMBOLIC REINFORCEMENT LEARNING WITH FIRST-ORDER LOGIC,"Kimura; Daiki et al.",,,17/494055,2021-10-05,,,706/25,,INTERNATIONAL BUSINESS MACHINES CORPORATION,,,49.65494,
1,164,,2020-03-12,NEUROADAPTIVE INTELLIGENT VIRTUAL REALITY LEARNING SYSTEM AND METHOD,"Nel; Kyle et al.",,,16/569542,2019-09-12,,,1/1,,"Singularity Education Group, dba Singularity University",,,29.023228,
,165,,2024-12-05,NEUROMORPHIC ARTIFICIAL NEURAL NETWORK ARCHITECTURE BASED ON DISTRIBUTED BINARY (ALL-OR-NON) NEURAL REPRESENTATION,"Shaiba Nassar; Youssef Mahmoud Massoud",,SilicoSapien Inc.,18/802585,2024-08-13,,,1/1,,SilicoSapien Inc.,,,18.142807,
,166,,2024-07-04,NEUROMORPHIC COMPUTING SYSTEM FOR EDGE COMPUTING,"Nunez; Juan",,,18/092694,2023-01-03,,,1/1,,GM Cruise Holdings LLC,,,65.060196,
,167,,2021-02-16,Neuromuscular control of physical objects in an environment,"Mao; Qiushi et al.",,"Facebook Technologies, LLC",16/584484,2019-09-26,"Cao; Chun",,1/1,,"Facebook Technologies, LLC",,,36.370205,
,168,,2023-01-31,"Neuromuscular text entry, writing and drawing in augmented reality systems","Berenzweig; Adam et al.",,"Meta Platforms Technologies, LLC",16/577352,2019-09-20,"Parcher; Daniel W",,1/1,,"META PLATFORMS TECHNOLOGIES, LLC",,,34.64203,
,169,,2015-10-15,Neuroperformance,"KULLOK; Jose Roberto et al.",,,14/681538,2015-04-08,,,434/236,,ASPEN PERFORMANCE TECHNOLOGIES,,,13.613595,
,170,,2023-06-15,OBJECT INTERACTION DETECTION AND INFERENCES USING SEMANTIC LEARNING,"Latapie; Hugo et al.",,,17/551407,2021-12-15,,,382/103,,"Cisco Technology, Inc.",,,81.49662,
,171,,2025-06-05,OBJECT PERCEPTION SYSTEM AND METHOD,"Theofilopoulos; Constantine",,"Theofilopoulos; Constantine",19/041382,2025-01-30,,,1/1,,"Theofilopoulos; Constantine",,,11.538004,
,172,,2024-04-04,OBJECT TRAJECTORY CLUSTERING WITH HYBRID REASONING FOR MACHINE LEARNING,"DING; Wenhao et al.",,,17/956518,2022-09-29,,,1/1,,Robert Bosch GmbH,,,62.868813,
,173,,2017-10-31,On demand guided virtual companion,"Suskind; Ronald Steven et al.",,"The Affinity Project, Inc.",15/166333,2016-05-27,"Grant; Michael",,1/1,,"The Affinity Project, Inc.",,,30.777182,
1,174,,2019-11-14,Optimal Screening Designs,"Lekivetz; Ryan Adam et al.",,,16/507769,2019-07-10,,,1/1,,SAS Institute Inc.,,,47.710045,
,175,,2024-01-04,Optimization of Trading Performance Using Both Brain State Models and Operational Performance Models,"Sajda; Paul et al.",,,18/343584,2023-06-28,,,1/1,,"Optios, Inc.",,,56.71475,
1,176,,2021-11-18,OPTIMIZING CAPACITY AND LEARNING OF WEIGHTED REAL-VALUED LOGIC,"Luus; Francois Pierre et al.",,,15/931223,2020-05-13,,,1/1,,International Business Machines Corporation,,,40.05391,
,177,,2023-08-29,Parallel and incremental processing techniques for data protection,"Yewchin; Darryl Edward et al.",,"SAS Institute, Inc.",18/172614,2023-02-22,"Jhaveri; Jayesh M",,726/26,,SAS Institute Inc.,,,52.409668,
,178,,2020-02-27,PATIENT -CENTERED SYSTEM AND METHODS FOR TOTAL ORTHODONTIC CARE MANAGEMENT,"Sachdeva; Rohit C. et al.",,,16/548850,2019-08-23,,,1/1,,"Sachdeva; Rohit C.",,,42.853207,
,179,,2023-01-31,Performing global image editing using editing operations determined from natural language requests,"Xu; Ning et al.",,Adobe Inc.,17/374103,2021-07-13,"Rodriguezgonzalez; Lennin R",,1/1,,Adobe Inc.,,,33.239094,
5,180,,2010-12-23,PHARMACY MANAGEMENT AND ADMINISTRATION WITH BEDSIDE REAL-TIME MEDICAL EVENT DATA COLLECTION,"Vishnubhatla; Suresh-Kumar Venkata et al.",,,12/765681,2010-04-22,,,705/3,"235/375;705/2;706/12;715/810",,,,31.135105,
3,181,,2020-11-05,PLATFORM FOR FACILITATING DEVELOPMENT OF INTELLIGENCE IN AN INDUSTRIAL INTERNET OF THINGS SYSTEM,"CELLA; Charles H. et al.",,"STRONG FORCE IOT PORTFOLIO 2016, LLC",16/868018,2020-05-06,,,1/1,,"STRONG FORCE IOT PORTFOLIO 2016, LLC",,,80.34544,
,182,,2024-11-28,PREDICTING AND MITIGATING CONTROVERSIAL LANGUAGE IN DIGITAL COMMUNICATIONS,"RODRIGO CAVALIN; PAULO et al.",,,18/323374,2023-05-24,,,1/1,,INTERNATIONAL BUSINESS MACHINES CORPORATION,,,25.429884,
,183,,2024-05-09,PREDICTING SYMMETRICAL PROTEIN STRUCTURES USING SYMMETRICAL EXPANSION TRANSFORMATIONS,"Evans; Richard Andrew et al.",,,18/027571,2021-11-23,,,1/1,,DeepMind Technologies Limited,,,23.101665,
,184,,2025-04-03,PROBABILISTIC LOGICAL NEURAL NETWORK WITH INTERPRETABLE PARAMETERS,"Khan; Naweed Aghmad et al.",,,18/477575,2023-09-29,,,1/1,,INTERNATIONAL BUSINESS MACHINES CORPORATION,,,24.388325,
,185,,2023-08-17,QUANTIZATION METHOD TO IMPROVE THE FIDELITY OF RULE EXTRACTION ALGORITHMS FOR USE WITH ARTIFICIAL NEURAL NETWORKS,"KASIOUMIS; Theodoros et al.",,Fujitsu Limited,18/091410,2022-12-30,,,706/25,,Fujitsu Limited,,,40.824924,
,186,,2024-02-15,RANGE OF MOTION DETERMINATION,"Greenberg; Jeffrey Miles et al.",,,18/496438,2023-10-27,,,1/1,,"Bardavon Health Digital, Inc.",,,50.420536,
1,187,,2015-05-12,Real-time predictive systems for intelligent energy monitoring and management of electrical power networks,"Nasle; Adib",,Power Analytics Corporation,14/532559,2014-11-04,"Chad; Aniss","Louis; Andre Pierre",703/13,703/18,"Causam Energy, Inc.",,,28.05656,
,188,,2023-07-04,"Recommendation methods, systems and devices","Van Wilt; Yasmine et al.",,,16/735610,2020-01-06,"Tomaszewski; Michael",,600/27,705/2,"Van Wilt; Yasmine,Bahk; Kenneth",,,60.667408,
,189,,2022-10-27,REGIONALIZED CLIMATE MODELS USING PHYSICS-INFORMED NEURAL NETWORKS,"Vos; Etienne Eben et al.",,,17/302077,2021-04-23,,,1/1,,INTERNATIONAL BUSINESS MACHINES CORPORATION,,,63.00455,
1,190,,2023-04-13,SELF-LEARNING ANNOTATIONS TO GENERATE RULES TO BE UTILIZED BY RULE-BASED SYSTEM,"Ray; Anupama et al.",,,17/500221,2021-10-13,,,704/9,,International Business Machines Corporation,,,38.508617,
4,191,,2020-11-19,SENSITIVITY ASSESSMENT FOR MEDIA PRODUCTION USING ARTIFICIAL INTELLIGENCE,"Pau; Hitesh et al.",,,16/536229,2019-08-08,,,1/1,,WARNER BROS. ENTERTAINMENT INC.,,,31.772507,
1,192,,2019-04-18,SKETCH ENTRY AND INTERPRETATION OF GRAPHICAL USER INTERFACE DESIGN,"Bequet; Henry Gabriel Victor",,SAS Institute Inc.,16/205424,2018-11-30,,,1/1,,SAS Institute Inc.,,,36.360687,
,193,,2003-03-11,Stable adaptive control using critic designs,"Werbos; Paul J.",,,09/404197,1999-09-23,"Follansbee; John A.","Hirl; Joseph P.",706/14,"706/23;706/21",,,,26.916924,
7,194,,2010-12-16,SYSTEM AND METHOD,"Hoffberg; Steven M.",,,12/837504,2010-07-16,,,463/1,,,,,29.681458,
,195,,2025-05-15,SYSTEM AND METHOD FOR AI BASED TAILORED ADVERTISING CONTENT GENERATION,"Crabtree; Jason et al.",,,19/019344,2025-01-13,,,1/1,,QOMPLX LLC,,,72.53024,
,196,,2024-12-26,SYSTEM AND METHOD FOR AI-BASED GENERATION OF RESPONSIVE WEBSITES USING A WEBSITE BUILDING SYSTEM,"Ronen; Naama Ben Oliel et al.",,,18/750403,2024-06-21,,,1/1,,WIX.COM LTD.,,,45.43604,
,197,,2025-02-13,SYSTEM AND METHOD FOR ARTIFICIAL INTELLIGENCE-BASED DIAGNOSTIC AND/OR TREATMENT GUIDANCE FOR PATIENTS,"JAMEEL; MOHAMED ANVER",,,18/930520,2024-10-29,,,1/1,,"JAMEEL; MOHAMED ANVER",,,44.999435,
,198,,2021-05-25,System and method for building computational models of a goal-driven task from demonstration,"Zia; Muhammad Zeeshan et al.",,"Retrocausal, Inc.",17/126068,2020-12-18,"Adams; Eileen M",,1/1,,"Retrocausal, Inc.",,,53.571163,
,199,,2024-10-03,SYSTEM AND METHOD FOR COGNITIVE NEURO-SYMBOLIC REASONING SYSTEMS,"OLTRAMARI; Alessandro",,,18/128073,2023-03-29,,,1/1,,Robert Bosch GmbH,,,54.099888,
,200,,2020-07-16,SYSTEM AND METHOD FOR DEEP MIND ANALYSIS,"Howard; Newton",,,16/785969,2020-02-10,,,1/1,,"Howard; Newton",,,56.89841,
3,201,,2010-04-01,System and Method for Distributed Denial of Service Identification and Prevention,"Liu; Lei",,,12/239521,2008-09-26,,,706/46,"706/61;726/23",,,,29.39539,
,202,,2024-11-21,SYSTEM AND METHOD FOR ENHANCED MODEL INTERACTION INTEGRATION WITHIN A WEBSITE BUILDING SYSTEM,"Perez; Meir et al.",,,18/665423,2024-05-15,,,1/1,,WIX.COM LTD.,,,45.596786,
1,203,,2018-07-19,System and Method for Extremely Efficient Image and Pattern Recognition and Artificial Intelligence Platform,"Zadeh; Lotfi A. et al.",,"Z Advanced Computing, Inc.",15/919170,2018-03-12,,,1/1,,"Z Advanced Computing, Inc.",,,38.149532,
1,204,,2020-06-11,System and Method for Extremely Efficient Image and Pattern Recognition and Artificial Intelligence Platform,"Zadeh; Lotfi A. et al.",,"Z Advanced Computing, Inc.",16/729944,2019-12-30,,,1/1,,"Z Advanced Computing, Inc.",,,38.627125,
2,205,,2022-04-21,System and Method for Extremely Efficient Image and Pattern Recognition and Artificial Intelligence Platform,"Zadeh; Lotfi A. et al.",,"Z Advanced Computing, Inc.",17/543485,2021-12-06,,,1/1,,"Z Advanced Computing, Inc.",,,39.0175,
,206,,2024-12-12,SYSTEM AND METHOD FOR INTEGRATING CUSTOM CONTENT OBJECT REPOSITORIES WITHIN A WEBSITE BUILDING SYSTEM,"Sherman; Jill Robin et al.",,,18/401040,2023-12-29,,,1/1,,Wix.com LTD.,,,51.4378,
,207,,2023-04-27,System and Method for Knowledge-Based Entity Prediction,"Henson; Cory et al.",,,17/508227,2021-10-22,,,706/12,,Robert Bosch GmbH,,,32.92733,
,208,,2022-09-01,SYSTEM AND METHOD FOR MULTIMODAL NEURO-SYMBOLIC SCENE UNDERSTANDING,"FRANCIS; Jonathan et al.",,,17/186640,2021-02-26,,,1/1,,Robert Bosch GmbH,,,79.16492,
,209,,2024-09-05,SYSTEM AND METHOD FOR NETWORK TRANSACTION FACILITATOR SUPPORT WITHIN A WEBSITE BUILDING SYSTEM,"Sagiv; Amit et al.",,,18/437603,2024-02-09,,,1/1,,WIX.COM LTD.,,,35.103344,
,210,,2021-05-13,SYSTEM AND METHOD FOR NEURAL STIMULATION USING SPIKE FREQUENCY MODULATION,"Howard; Newton",,,16/944963,2020-07-31,,,1/1,,"Howard; Newton",,,55.898773,
1,211,,2025-03-20,SYSTEM AND METHOD FOR PROVIDING LOCATION-BASED POSITIONING AND NAVIGATION IN GPS-DENIED ENVIRONMENTS,"Steinberg; Gregory M. et al.",,,18/951541,2024-11-18,,,1/1,,"Steinberg; Gregory M.,Steinberg; Samuel H.",,,53.846245,
,212,,2024-09-12,SYSTEM AND METHOD FOR REFLECTION-BASED INTEGRATED CODE AND DESIGN EDITING,"ABRAHAMI; Nadav et al.",,,18/602121,2024-03-12,,,1/1,,Wix.com Ltd.,,,55.15435,
,213,,2020-11-03,System and method for rule generation using data processed by a binary classifier,"Yan; Rui et al.",,"HUAWEI TECHNOLOGIES CO., LTD.",15/069247,2016-03-14,"Huang; Miranda M","Hinckley; Chase P.",1/1,,"Yan; Rui,Yuan; Shutao",,,22.289417,
1,214,,2022-05-12,SYSTEM AND METHOD FOR SCREENING CONDITIONS OF DEVELOPMENTAL IMPAIRMENTS,"BURSTEIN; Anat et al.",,KNOWME SOLUTIONS LTD.,17/437856,2020-03-09,,,1/1,,KNOWME SOLUTIONS LTD.,,,21.388927,
1,215,,2019-06-06,"System and method of a requirement, active compliance and resource management for cyber security application","Wiig; Rex et al.",,,16/350560,2018-12-03,,,1/1,,"Wiig; Rex,Martinez; Angel",,,50.581886,
,216,,2019-12-26,"System and method of a requirement, active compliance and resource management for cyber security application","Wiig; Rex et al.",,,16/501864,2019-06-21,,,1/1,,"Wiig; Rex,Martinez; Angel",,,49.92191,
,217,,2019-12-26,"System and method of a requirement, active compliance and resource management for cyber security application","Wig; Rex et al.",,,16/501863,2019-06-21,,,1/1,,"Wig; Rex,Martinez; Angel",,,51.69434,
1,218,,2017-10-05,"System and method of a requirement, compliance and resource management","Wiig; Rex et al.",,,15/731302,2017-05-22,,,1/1,,"Wiig; Rex,Martinez; Angel",,,27.945864,
1,219,,2018-04-26,"System and method of a requirement, compliance and resource management","Wiig; Rex et al.",,,15/732485,2017-11-20,,,1/1,,"Wiig; Rex,Martinez; Angel",,,27.922037,
,220,,2024-08-29,SYSTEM AND METHOD PROVIDING INTERACTION MECHANISM,"Gabay; Amir et al.",,,18/583922,2024-02-22,,,1/1,,Wix.com Ltd.,,,52.85196,
,221,,2025-01-30,SYSTEM AND METHOD PROVIDING SPECIALIZED SIZE UNITS IN RESPONSIVE EDITING,"SHTEKEL; Itay et al.",,,18/782091,2024-07-24,,,1/1,,Wix.com Ltd.,,,54.40483,
