Domain,Input,Output,Modeling category,Modeling technique,Explainability,Relevance,EID
Hydraulic equipment,"['Sensor data', 'Structured data']",['Fault prediction'],Data driven,"Sensor signal processing, filtering",Yes: Filtering and postprocessing,4,2-s2.0-85126302223
Electrical power distribution systems,"['Differential voltage signals', 'Waveforms', 'Filtered signals']",['Fault prediction'],Data driven,Signal processing with band-stop filtering and similarity measurement,Yes: Signal analysis and threshold-based detection,1,2-s2.0-105001092309
Aerospace / Aero-Propulsion systems,Sensor data,Remaining Useful Life,Data driven,"Graph convolutional networks, Self-attention, LSTM",Yes: feature map visualization and interpretable analysis,4,2-s2.0-85188006275
Rotating machinery,"['Images', 'Structured data']",['Fault prediction'],Data driven,"['YOLOv5-Deepsort', 'Finite element analysis']",No,4,2-s2.0-85161488352
Manufacturing systems,Sensor data,Remaining Useful Life,Data driven,"Latent variable models, multitask learning, quadratic programming, MAP-EM algorithm",Yes: Model interpretability via health indices and latent variables,4,2-s2.0-85187390130
Vehicles / Automotive systems,Sensor data,Fault prediction,Rules and/or logic based,Belief rule base (BRB),Yes: Belief rule base (BRB),3,2-s2.0-85153381216
Rotating machinery / Mechanical systems,"Sensor data, Time series",Remaining Useful Life,Data driven,"CNN, Attention mechanisms",No,2,2-s2.0-85139516081
Chip manufacturing,"Sensor data, Time series",Fault prediction,Data driven,Prototypical networks,No,4,2-s2.0-85189167640
Industrial machinery and equipment (specifically oil monitoring systems),"Sensor data, Signal characteristics","Fault prediction, Maintenance needs",Data driven,"Signal analysis, Sensor signal processing",Yes: Signal characteristic analysis,3,2-s2.0-85133566621
Industrial systems / Rotating machinery,Time series / Time-frequency representation,Fault prediction / Fault diagnosis,Data driven,Time-frequency ridge estimation / ridge estimation methods,Yes: Interpretable methods based on time-frequency analysis,3,2-s2.0-85124718090
Rotating machinery / Industrial systems,"Sensor data, Time series, Images",Fault prediction,Data driven,"Deep learning, Data fusion",No,4,2-s2.0-85122076307
Electrical energy production and distribution systems,Sensor data,"Fault prediction, Condition monitoring",Physics informed,Finite element simulations,Yes: Finite element simulations,3,2-s2.0-85135764515
Hydrogenerators,['Sensor data'],['Fault prediction'],Data driven,Embedded signal processing,Yes: Signal processing techniques,3,2-s2.0-105003004500
Aircraft engines / Aerospace systems,Sensor data,Remaining Useful Life,Data driven,"Feature extraction, Local models, Importance Sampling",No,2,2-s2.0-85207105282
Power transformers in electric power systems,Sensor data,Fault prediction,Data driven,['Ensemble Machine Learning'],No,3,2-s2.0-85166751778
Autonomous Vehicles,Sensor data,Fault prediction,Data driven,"['LSTM', 'Deep neural network with attention and thresholding']",No,2,2-s2.0-85136898189
Gas Insulated Switchgear (GIS),"Sensor data, Time series",Fault prediction,Data driven,Not explicitly specified in the abstract,No,2,2-s2.0-85120034158
Rotating machinery in industrial systems,"Sensor data, Time series",Fault prediction,Data driven,"Transformer, Contrastive learning",No,4,2-s2.0-105005310552
Industrial systems,Sensor data,Fault prediction,Data driven,"['cloud model (CM)', 'dynamic-inner principal component analysis (DiPCA)', 'dual stochastic configuration network (dualSCN)']",Yes: rule-based and feature fusion interpretability,3,2-s2.0-105001598835
Industrial machinery / Equipment,Sensor data,Fault prediction,Data driven,Separable convolutional neural network (CNN),No,4,2-s2.0-85139410019
Other,['Structured data'],['Fault prediction'],Rules and/or logic based,,Yes: rules-based approach,1,2-s2.0-85119001576
Land vehicle navigation systems,Sensor data,Fault prediction,Hybrid,"['Factor graph optimization', 'Dynamic Kernel Principal Component Analysis (DKPCA)']",Yes: Rule-based and interpretability of outlier detection via DKPCA,2,2-s2.0-85189622115
Industrial processes,"Sensor data, Time series",Fault prediction,Data driven,"Multiscale content learning, Disentanglement modules",Yes: Disentangled feature representations,4,2-s2.0-105002576442
Electrical switchgear systems,Sensor data,Fault prediction,Data driven,"Simulation (COMSOL multiphysics), thermal monitoring",Yes: Simulation and rule-based threshold,3,2-s2.0-85201272504
Electrical power systems,Sensor data,Fault prediction,Data driven,Similarity measure,Yes: Similarity measure,2,2-s2.0-105003380748
Battery systems / Electric vehicle batteries,Sensor data,Remaining Useful Life,Data driven,"['Kalman filter', 'Expectation-Maximization algorithm', 'Gaussian process regression']",Yes: Gaussian process regression,4,2-s2.0-85181565538
Industrial sensors,Sensor data,Remaining Useful Life,Data driven,"['Dimensionality reduction', 'Artificial Neural Networks']",No,4,2-s2.0-105001065825
Industrial gearboxes and transmission systems,"Sensor data, Time series",Fault prediction,Data driven,"Time series analysis, feature extraction (implied), no specific ML model specified",Yes: feature extraction and signal analysis techniques,3,2-s2.0-85192956783
Industrial systems / Sensors and sensing platforms,Sensor data,Fault prediction,Data driven,Measurement campaign with experimental data analysis,Yes: Interpretability through specific metrics and characterization,2,2-s2.0-85193219049
"Industrial processes with distributed parameter systems (e.g., curing ovens, heat exchangers)","Sensor data, Time series, Structured data",Fault prediction,Data driven,"Dynamic partial least-squares (D-PLS), Kernel density estimation (KDE)",Yes: Partial Least Squares (PLS) is generally interpretable,2,2-s2.0-85189176973
Other,Sensor data,Fault prediction,Rules and/or logic based,Observer-based control,Yes: Rules and logic,0,2-s2.0-85131633432
Manufacturing equipment,Sensor data,Fault prediction,Hybrid,"Evidence theory, VGG neural networks",Yes: evidence theory,4,2-s2.0-85149379978
Pharmaceutical facilities,Structured data,Remaining Useful Life,Hybrid,Model risk assessment and weight fusion,Yes: Model risk assessment and weight fusion techniques are interpretable,4,2-s2.0-85137907431
Industrial equipment / machinery,Sensor data,Remaining Useful Life,Data driven,"Graph neural network (GNN), Knowledge graph, Informer network",No,4,2-s2.0-85169691368
Machine tools / Mechanical systems,Sensor data,Fault prediction,Data driven,"Vibration analysis, Path error modeling",Yes: Path error model,2,2-s2.0-105001077616
Industrial systems monitoring / Mechanical systems faults,Sensor data,Material differentiation / Fault prediction,Data driven,Signal analysis / Inductive sensing,Yes: signal shape and amplitude analysis,2,2-s2.0-85149397282
Industrial machines / rotating machinery,"Sensor data, Time series, Structured data",Fault prediction,Hybrid,"Self-supervised learning, Vibration statistics",Yes: Feature visualization and statistical features,4,2-s2.0-105006514245
Power equipment / Industrial systems,"['Sensor data', 'Time series']",['Fault prediction'],Data driven,Fusion analysis with signal processing,Yes: rule-based fusion analysis,2,2-s2.0-85159829405
Industrial parks containing energy systems,Unstructured data,"['Fault prediction', 'State prediction']",Data driven,"['Graph neural networks', 'Recurrent neural networks', 'Attention mechanisms']",No,3,2-s2.0-85141446281
Power transformers,Sensor data,Fault prediction,Data driven,ChemFET sensors measurement analysis,Yes: sensor-based interpretability,4,2-s2.0-105010121113
Complex industrial processes,Sensor data,Fault prediction,Data driven,"Graph Convolution Network (GCN), Multiscale Residual Network (MSRN)",No,4,2-s2.0-85182383958
Unmanned Aerial Vehicles (Drones) / Aerospace systems,Flight control data,Remaining Useful Life,Kalman filter-based / Data driven,"Kalman filter, Particle filter",Yes: Kalman filter techniques are interpretable,3,2-s2.0-85177031804
Industrial systems (specifically sensor measurement systems in metallurgical or manufacturing processes),Sensor data,Fault prediction,Data driven,"['Binary convolutional autoencoder', 'Bayesian inference', 'Gaussian Copula', 'Mutual information coefficient']",Yes: Bayesian inference and statistical dependency models provide interpretability,3,2-s2.0-105003088970
Magnetic bearings / Active magnetic bearing (AMB) systems,Sensor data,Fault prediction,Rules and/or logic based,Tracking differentiator (Fast-TD),Yes: Rules and logic based,4,2-s2.0-105001728596
Aerospace / Turbofan engines,"Sensor data, Time series",Remaining Useful Life,Data driven,"CNN, Gaussian encoder",No,4,2-s2.0-85164407953
"Industrial processes (general), specifically sensor fault detection in process control","Sensor data, Time series, Structured data",Fault prediction,Hybrid,"Graph Convolutional Network (GCN), Graph Neural Networks (GNN), Attention mechanisms",Yes: Attention mechanisms and graph structure provide interpretability for fault location,3,2-s2.0-85173050519
Natural gas pipeline systems,"Sensor data, Time series",Fault prediction,Data driven,"Graph sample and aggregation network, GRU",No,4,2-s2.0-105003088177
Industrial systems,"Sensor data, Time series",Fault prediction,Data driven,"['Random Forest', 'Deep Neural Network']",No,4,2-s2.0-85168678907
Aerospace systems (aero-propulsion systems) and batteries,"Sensor data, Time series",Remaining Useful Life,Hybrid,Deep hybrid multitask model (DHMTM),No,3,2-s2.0-85164414995
Industrial systems (furnace wall degradation),Sensor data,Remaining Useful Life,Hybrid,"Variable Structure Degradation Model, Kalman Filter, Maximum Likelihood Estimation",Yes: Rules and/or logic based,4,2-s2.0-105007473569
Hydraulic systems,Images,Fault prediction,Data driven,"Multichannel dual attention convolutional neural network (MC-DA-CNN), Gramian angular sum field (DE-GASF)",No,3,2-s2.0-85130074140
Aircraft engine systems,"Sensor data, Time series",Remaining Useful Life,Data driven,"Sequence-feature attention mechanism, Deep learning",No,4,2-s2.0-105007631660
Industrial motors and drives,Sensor data,Fault prediction,Hybrid,"['Sliding mode observer', 'Super-twisting sliding mode observer']",Yes: Sliding mode observer,3,2-s2.0-85204443256
"Industrial systems (general), possibly applicable to manufacturing or complex machinery, but not explicitly specified for HVAC, pharma, or chip manufacturing.","Sensor data, Time series, Structured data, Unstructured data, Images",Fault prediction,Data driven,"Multichannel Variational Hypergraph Autoencoder (MC-VHAE), CNN, Discrete Wavelet Transform (DWT), Hypergraph convolutional layers",No,3,2-s2.0-85194085485
Mechanical equipment / Bearings,Sensor data,Fault prediction,Data driven,"CNN, Maximum Mean Discrepancy (MMD), Transfer learning",No,4,2-s2.0-85171589377
Robotics (specifically robotic manipulators),Sensor data,Fault prediction,Data driven,"Kalman filter, broad learning system (BLS)",No,2,2-s2.0-85208142995
Industrial systems with multisensor data for RUL prediction,"Sensor data, Time series",Remaining Useful Life,Reinforcement learning,Reinforcement Learning,No,3,2-s2.0-85149417518
Other,Sensor data,Fault prediction,Hybrid,"Decoupling design approach, Command filter technique",Yes: Use of decoupling and adaptive compensation techniques,1,2-s2.0-85178052087
Industrial heat exchangers / Heat transfer equipment,"Sensor data, Time series",Fault prediction,Hybrid,Physical mechanisms + inference analytics,Yes: interpretable models based on physical mechanisms,3,2-s2.0-85135233229
Chemical diffusion-reaction processes,Sensor data,Fault prediction,Rules and/or logic based,Linear matrix inequality (LMI),Yes: LMI,2,2-s2.0-105001587984
Industrial systems / Fault diagnosis,Sensor data,Fault prediction,Other,Statistical divergence and decision rules,Yes: decision rules and statistical measures,2,2-s2.0-85193224341
Mechanical systems / Gearbox fault diagnosis,"Structured data, Categorical features, Numerical data",Fault prediction / Fault diagnosis,"Unspecified (clustering-based, possibly unsupervised, data-driven)","Density peaks clustering, Kernel methods",Yes: density peaks clustering is interpretable,1,2-s2.0-85140768110
Mechanical systems / Bearing systems,Sensor data,Fault prediction,Data driven,"Masked Autoencoder, Zero-Shot Learning",No,2,2-s2.0-85207137059
Wind turbines,Sensor data,Fault prediction,Data driven,"['Beta Variational Autoencoder', 'Graph Attention Network']",No,4,2-s2.0-85162711255
Microgrids with nonlinear loads,Sensor data,Fault prediction / Fault detection and isolation,Data driven,Unscented Kalman Filter (UKF),No,3,2-s2.0-85121769367
Industrial systems or machinery,Sensor data,Fault prediction,Data driven,"Domain adaptation with adversarial networks, partial transfer learning",No,4,2-s2.0-85172993243
Industrial systems,Sensor data,Fault prediction,Data driven,"['Separable multiscale convolution', 'Linear transformer']",No,4,2-s2.0-105001133520
Mechanical systems / Industrial machinery (specifically planetary gearboxes),Sensor data,Fault prediction,Data driven,"Transformer, Multiscale feature fusion",No,3,2-s2.0-85139866146
Chip manufacturing,Sensor data,Fault prediction,Data driven,"['Gramian Angular Field (GAF)', 'Markov Transition Field (MTF)', 'ConvNeXt', 'ResNet', 'CNN', 'GCNet']",No,4,2-s2.0-85181570875
Power transformer internal systems,"Sensor data, Time series",Fault prediction,Data driven,Not explicitly specified,No,2,2-s2.0-85208225280
Gearbox fault diagnosis in industrial systems,Sensor data,Fault prediction,Hybrid,"['Energy operator (EO)', 'Genetic algorithm (GA)', 'Support vector machine (SVM)']",Yes: Support vector machine (SVM),3,2-s2.0-85133633333
Complex equipment in manufacturing / industrial systems,Sensor data,Fault prediction,Hybrid,Residual-hypergraph convolution network (Res-HGCN),No,4,2-s2.0-85144782683
Chip manufacturing,Sensor data,Fault prediction,Physics informed,Current-source model analysis,Yes: System modeling and analysis,3,2-s2.0-85147228080
Industrial rotating machinery,Sensor data,Fault prediction,Data driven,Attention mechanism,Yes: Mutual attention mechanism,4,2-s2.0-85153795307
Mechanical systems / Lubrication systems,Sensor data,Fault prediction,Physics based,"Electromagnetism theory, COMSOL simulation",Yes: Physics-based models,2,2-s2.0-85206932717
Industrial electrical systems,"['Sensor data', 'Time series']",['Anomaly detection'],Data driven,"['Short-time Fourier Transform (STFT)', 'Machine Learning']",No,3,2-s2.0-85173002273
Other,Sensor data,Fault prediction,Hybrid,Distributed fault detection observer,Yes: Fault detection observer,1,2-s2.0-85206333927
Aerospace / Aircraft engines,Sensor data,Remaining Useful Life,Data driven,"['CNN', 'GRU', 'Attention mechanism']",No,4,2-s2.0-105008037553
Industrial motors / Mining operations,"Sensor data, Time series",Degradation parameters estimation,Hybrid,"Encoder-decoder architecture, Graph attention network (GAT), Time-frequency processing",No,2,2-s2.0-105001091310
Rolling stock / Railway systems,Sensor data,Fault prediction,Data driven,"Deep Q-Learning, Contrastive Learning",No,3,2-s2.0-85144010102
Industrial machinery / rotating machinery / bearing systems,"Sensor data, Time series, Images, Unstructured data",Fault prediction,Data driven,"Graph Attention Network (GAT), Kernel functions, Singular value decomposition (SVD)",Yes: GAT (attention mechanisms provide interpretability in component weighting),3,2-s2.0-85166774918
Vehicle navigation and positioning systems,Sensor data,Fault prediction,Hybrid,"['Unscented Kalman Filter (UKF)', 'Variance-based adaptive sharing']",No,1,2-s2.0-85131719778
Electrical safety systems / power systems,Sensor data,Fault prediction,Data driven,"Signal processing and analysis techniques (e.g., frequency filtering, resonant condition analysis)",Yes: Signal analysis and characteristic extraction,2,2-s2.0-105002797070
Geotechnical monitoring / landslide detection,Sensor data,Fault prediction,Rules and/or logic based,Fault filtering and noise removal techniques,Yes: rule-based filtering and fault detection methods,1,2-s2.0-85159644379
Industrial processes,Sensor data,Fault prediction,Data driven,"Interval Principal Component Analysis (IPCA), Generalized Gaussian Distribution-based estimation",Yes: Interpretable features and statistics,2,2-s2.0-85190343517
Electromechanical drive systems,Sensor data,Fault prediction,Data driven,"Wavelet packet decomposition, Fusion networks, Attention mechanisms (implied by reweighting and excitation maps)",No,4,2-s2.0-85185545380
Hydraulic or pump systems,Sensor data,Fault prediction,Data driven,Multihead attention networks,No,3,2-s2.0-85192966831
Distribution networks / Power grid systems,Sensor data,Fault prediction,Data driven,"['TICC', 'DTW']",No,3,2-s2.0-86000388815
Chip manufacturing,"Sensor data, Time series",Fault prediction,Data driven,"Transfer learning, Distribution adaptation, Signal preprocessing",No,4,2-s2.0-85169694793
Electric motors / Rotating machinery,Sensor data,Fault prediction,Data driven,Signal analysis / Frequency analysis (implied by fault frequency detection),Yes: Signal and fault frequency analysis,4,2-s2.0-85200814760
Industrial IoT devices / Battery health monitoring,Sensor data,Remaining Useful Life,Data driven,"['Extreme learning machine (ELM)', 'Random vector functional link (RVFL) neural network']",No,2,2-s2.0-85141534120
Electrical systems / Power converters in motor drives,Sensor data,Fault prediction,Rule-based,"Current waveform analysis, threshold-based testing",Yes: Rule-based thresholds and waveform characteristics,2,2-s2.0-85212391253
"Industrial equipment/Systems (e.g., turbofan engines)","Sensor data, Time series",Remaining Useful Life,Data driven,"Transformer, Self-attention",No,4,2-s2.0-85126718326
Cyber-physical systems,"Multivariate time series, Sensor data",Anomaly detection,Data driven,"Variational Graph Attention Networks, Variational Autoencoder, Self-supervised learning",Yes: interpretability and flexibility,4,2-s2.0-86000429765
Rotating machinery,Multichannel signals,Remaining Useful Life,Data driven,"Complex Graph Neural Network (CGNN), Graph convolution, PIP strategy",No,4,2-s2.0-85153508364
Tunnel Boring Machine (TBM) main bearing,Vibration data (radial and axial vibration signals from accelerometers),Fault prediction,Data driven,Two-stream CNN with multichannel detrending inputs (TSCNN-MCDI),No,4,2-s2.0-85139872918
Rotating machinery / Industrial systems,Sensor data,Fault prediction,Data driven,Principal Properties Attention Matching (PPAM),No,3,2-s2.0-85185373371
"Industrial bearings (often within manufacturing or machinery maintenance, but specific to bearing systems)",Sensor data,Remaining Useful Life,Data driven,"['Chebyshev graph convolutional network (ChebGCN)', 'BiLSTM']",No,2,2-s2.0-85135208384
Industrial motors / Electrical systems,Sensor data,Fault prediction,Data driven,"Wavelet transform, Linear regression",Yes: Linear regression,4,2-s2.0-85098773611
Vehicle systems / Automotive systems,Structured data,Security vulnerability / Attack success rate,Other,None explicitly mentioned,No,0,2-s2.0-85189528195
Commercial buildings,"Sensor data, Time series",Remaining Useful Life,Data driven,Graph Neural Network (GNN),No,5,2-s2.0-85178023045
Industrial systems,Time series,Fault prediction,Data driven,Deep cellular recurrent neural network (DCRNN),No,3,2-s2.0-85105049039
Marine surface vessels,Sensor data,Fault prediction,Rules and/or logic based,Prescribed performance control,Yes: Rules-based control approach,0,2-s2.0-85210941018
Autonomous systems / Vehicles,"Sensor data, Time series",Fault prediction,Data driven,"Clustering, Active learning",No,3,2-s2.0-85170549064
Inertial Navigation Systems / GPS Integration for Moving Vehicles,"Sensor data, Time series",Initial alignment / Attitude estimation,Data driven,Robust optimization-based alignment (ROBA) method,Yes: Optimization-based methods are generally interpretable,1,2-s2.0-85099227740
Gas Insulated Switchgear (GIS) / HVDC equipment,"Sensor data, Spectral data","Fault prediction, Discharge severity evaluation, Fault localization",Data driven,Spectral analysis,Yes: Spectral analysis,4,2-s2.0-85093653778
Electric Locomotive systems,Time series,Fault prediction,Data driven,Similarity analysis / TSEM,Yes: Similarity analysis,3,2-s2.0-105001085182
Industrial power monitoring,"Sensor data, Time series",Fault prediction,Data driven,Electrical anomaly detection,No,2,2-s2.0-85096752627
Connected and automated vehicle (CAV) transportation,Sensor data,Fault prediction,Data driven,"['Extended Kalman Filter (EKF)', 'One Class Support Vector Machine (OCSVM)']",No,2,2-s2.0-85102479610
Industrial systems (specifically induction motors),Sensor data,Fault prediction,Data driven,Empirical mode decomposition (cEMD),Yes: Empirical mode decomposition (cEMD),4,2-s2.0-85117620611
Industrial processes,Sensor data,Fault prediction,Data driven,Graph Neural Networks (GNN),No,4,2-s2.0-85121784331
Automobile transmission / Manufacturing industry,Multisensory data,Fault prediction,Data driven,"Deep capsule network (CN), Ensemble learning",No,4,2-s2.0-85083226087
Other,Sensor data,Fault prediction,Data driven,,No,1,2-s2.0-85091167586
Automotive systems,Sensor data,Remaining Useful Life,Data driven,"['Deep Q-Network (DQN)', 'Federated Learning']",No,3,2-s2.0-85194062454
Aerospace systems / Aero-propulsion systems,"['Sensor data', 'Time series']",['Remaining Useful Life'],Data driven,"['Bayesian linear models', 'Artificial neural network']",No,3,2-s2.0-85097335566
Rotating machinery monitoring,"['Sensor data', 'Time series']",['Fault prediction'],Data driven,"['Variational mode decomposition', 'Order tracking', 'Independent component analysis']",Yes: Independent component analysis,4,2-s2.0-85079618545
"Industrial systems (bearing fault diagnosis, applicable to machinery in manufacturing plants)","Sensor data, Time series",Fault prediction,Data driven,"Convolutional Neural Network (CNN), Attention mechanism",No,2,2-s2.0-85104676476
Industrial rotating machinery (induction motors),Sensor data,Fault prediction,Data driven,Deep learning,No,4,2-s2.0-85114619476
HVdc systems,Sensor data,Fault prediction,Hybrid,Rule-based and data-driven,Yes: rules and clustering algorithms,4,2-s2.0-85107190813
Intelligent Vehicles / Navigation systems,Sensor data,Fault prediction,Data driven,"Information filters, Student's t-distribution",Yes: Use of information filters and statistical bounds,4,2-s2.0-85128134529
Power transmission and distribution,Electromagnetic signals (RF PD signals),Fault prediction,Physics based,Finite-difference time-domain (FDTD),Yes: Transfer functions and physical modeling,2,2-s2.0-85141647439
Industrial systems,"Sensor data, Time series",Fault prediction,Data driven,CNN,No,2,2-s2.0-85084955732
3-D printers / Additive manufacturing,Sensor data,Fault prediction,Data driven,"Autoencoder, Echo State Network (ESN)",No,2,2-s2.0-85079623181
Industrial equipment (bearings and pumps in manufacturing),"Images, Time series",Fault prediction,Data driven,"Transfer CNN, Convolutional Neural Networks (LeNet-5 variant)",No,4,2-s2.0-85077771567
Industrial motors / rotating machines,Sensor data,Fault prediction,Data driven,"Electrical signature analysis (ESA), peak and energy magnitude computation",Yes: rule-based or feature-based interpretation,4,2-s2.0-85100949469
Unmanned Underwater Vehicle,Sensor data,Fault prediction,Hybrid,Adaptive interval observer,Yes: Adaptive interval observer,1,2-s2.0-85096422080
Medical procedures / Surgical systems,"['Sensor data', 'Time series']",['Fault prediction'],Data driven,"['Kalman filters', 'Sensor fusion']",Yes: Kalman filters provide interpretable estimates,2,2-s2.0-85194817675
Aerospace systems (turbofan engines),Sensor data,Remaining Useful Life,Hybrid,"['Stacked contractive autoencoders', 'Stochastic process model']",Yes: Likely interpretable components via degradation modeling and probabilistic RUL estimates,3,2-s2.0-85172990333
Motor drives,Sensor data,Fault prediction,Rules and/or logic based,Synthetic hybrid-integral-threshold logic,Yes: threshold-based logic,4,2-s2.0-85098322584
Automated Vehicles,Sensor data,Anomaly prediction,Data driven,"['LSTM', 'CNN', 'Attention mechanism']",No,4,2-s2.0-85110753705
Photovoltaic (PV) systems,Sensor data,Fault prediction,Data driven,Not explicitly specified in the abstract,No,3,2-s2.0-85099743081
Navigation systems in challenging environments,Sensor data,State estimation / Position estimation,Hybrid,"Markov chain, Elemental filter (e.g., Kalman filter variants)",Yes: Sensor priority and sensor management strategies are interpretable,1,2-s2.0-85125304602
Chip manufacturing,Sensor data,Fault prediction,Data driven,Not explicitly specified,No,3,2-s2.0-85088875932
Smart cities / IoT systems,Time series,Fault prediction / Anomaly detection,Data driven,GRU-based Gaussian Mixture Variational Autoencoder (GGM-VAE),No,2,2-s2.0-85098876884
Aircraft engines,Sensor data,Remaining Useful Life,Data driven,"Supervised learner, Unsupervised learner",No,3,2-s2.0-85171580347
Chip manufacturing,"Sensor data, Time series",Remaining Useful Life,Data driven,Artificial Neural Network (ANN),No,3,2-s2.0-85191314685
Electric utility / Power transformers,Sensor data,Fault prediction,Data driven,"Feature extraction algorithms, possibly machine learning methods (implied but not explicitly specified)",No,4,2-s2.0-85103407599
Power systems / Transmission systems,Sensor data,Fault prediction,Data driven,Mixed Integer Linear Programming (MILP),Yes: MILP (interpretable mathematical programming),4,2-s2.0-85078723724
Chip manufacturing,Images,Fault prediction,Data driven,"Simplified calibration approach, forward modeling",Yes: simplified calibration approach and forward model,2,2-s2.0-85159819224
Chip manufacturing,Sensor data,Remaining Useful Life,Data driven,"Selective convolutional recurrent neural network (SCRNN), transfer learning",No,4,2-s2.0-85107218128
Transformers / Power systems,"['Optical signals', 'Wavelength data']",['Fault prediction'],Data driven,Signal analysis,Yes: Interpretable optical signal characteristics,2,2-s2.0-85169700532
Fuel cell systems,Sensor data,Fault prediction,Physics based,Equivalent circuit modeling,Yes: Equivalent circuit analysis,4,2-s2.0-85201750868
Transmission lines / Power systems,Images,Fault prediction,Knowledge based,"Image processing, Energy gradient algorithm, Threshold segmentation",Yes: Image processing and feature analysis,2,2-s2.0-85093977005
Chip manufacturing,Sensor data,Fault prediction,Data driven,Current measurement analysis,Yes: Interpretable rules based on current measurement,4,2-s2.0-85212332613
Transport systems / Rail systems,Sensor data,Fault prediction,Data driven,Lightweight CNN,No,4,2-s2.0-85110789201
Other,"['Sensor data', 'Structured data']",['Fault prediction'],Rules and/or logic based,"Residual decomposition, greedy search strategy",Yes: rules-based and residual analysis,2,2-s2.0-85100543316
Aerospace systems,"Sensor data, Time series",Fault prediction,Data driven,"HSTA-GRU, STL, DTW",Yes: Similarity measure based on DTW,2,2-s2.0-85118972599
Electromechanical systems / Electric motors,"Position signals, Nonconduction phase current, Switch driving signals",Fault prediction / Fault diagnosis,Rules and/or logic based,Logic-based fault diagnosis,Yes: Interpretable rules / logic,2,2-s2.0-85190166130
Transformer diagnostics / Power systems,Sensor data,Fault prediction,Physics based,Light-Induced Thermoelastic Spectroscopy (LITES),Yes: physics-based / spectroscopy data,2,2-s2.0-105009376299
Chip manufacturing,"Sensor data, Time series",Fault prediction,Data driven,Signal processing algorithms,Yes: Signal processing and instrumentation hardware,4,2-s2.0-85099105464
Residential appliances,Sensor data,Fault prediction,Data driven,"Load profiling, residual current analysis",Yes: Load profiling and residual current analysis are interpretable techniques,2,2-s2.0-85076307816
Security sensing / Tamper detection in packaging,Sensor data,Fault prediction,Data driven,Impedance measurement and analysis,Yes: Impedance response analysis,2,2-s2.0-85105858564
Power Electronics / Inverters,"Sensor data, Time series",Fault prediction,Data driven,Temporal convolutional neural network (CNN with residual blocks),No,3,2-s2.0-105000650934
Industrial equipment / Rotary machinery,Sensor data,Fault prediction,Physics based,Finite element simulations,Yes: analytical model,4,2-s2.0-105002697417
Industrial machinery,Sensor data,Remaining Useful Life,Data driven,"Temporal Convolutional Network (TCN), Attention mechanism, Domain adaptation (MK-MMD)",No,4,2-s2.0-85100729667
Robotics systems,Sensor data,Fault prediction,Data driven,"['Neural network', 'Adaptive observer', 'Deterministic learning']",Yes: rules and observational logic,2,2-s2.0-85112400951
Other,Structured data,Other,Other,Other,No,0,2-s2.0-85201783987
Rotating machinery,Sensor data,Fault prediction,Data driven,Convolutional Gated Recurrent Unit (ConvGRU),No,2,2-s2.0-85112151165
Vehicular systems / Intelligent transportation systems,Sensor data,Fault prediction,Data driven,"Homomorphic encryption, Differential privacy techniques",No,2,2-s2.0-85099192973
Lithium-ion batteries / Battery management systems,Sensor data,State estimation,Hybrid,Extended nonlinear observer,Yes: observer-based,4,2-s2.0-85190169990
Chip manufacturing,"['Sensor data', 'Images', 'Time series']",['Fault prediction'],Data driven,"['Kalman Filter', 'Probabilistic health monitor']",Yes: Rules and probabilistic models,1,2-s2.0-85196100920
Industrial systems,Sensor data,Remaining Useful Life,Data driven,"Differential Evolution, State-space model",No,4,2-s2.0-85112521799
Electric power transformers,Sensor data,Fault prediction,Hybrid,Finite-element electromagnetic-thermofluid method,Yes: finite-element modeling,1,2-s2.0-85089945286
Electrical systems / Power electronics,"Sensor data, Time series","Fault prediction, Root cause analysis",Data driven,Not explicitly specified (implied use of signal analysis and simulation),No,2,2-s2.0-86000426116
Mechanical systems / Gearboxes,"Structured data, Discrete monitoring data, Failure data","Remaining Useful Life, Fault prediction",Data driven,"Proportional hazard models, Matrix partition-based approximation",Yes: Proportional hazard models are interpretable and based on established statistical theory,4,2-s2.0-85112046526
Satellite systems,"['Sensor data', 'Time series']",['Fault prediction'],Hybrid,"['Kalman filter', 'chi-square test']","Yes: Parity equation, chi-square test, adaptive Kalman filter are interpretable techniques",4,2-s2.0-85110916379
Autonomous Vehicles / Intelligent Transportation Systems,"Sensor data, Time series, Images",Anomaly detection,"Data driven, Hybrid","Transformer-based one-class classifier, Federated learning",No,1,2-s2.0-85123793938
Air quality sensor networks in environmental monitoring,Sensor data,Fault prediction,Data driven,Recurrent autoencoder with attention mechanism,Yes: attention mechanism,3,2-s2.0-85210083281
Wind turbines,"['Sensor data', 'Time series']",['Fault prediction'],Hybrid,Signal processing + feature extraction methods,Yes: Signal processing techniques,4,2-s2.0-105001942851
Industrial systems / Machinery monitoring,"Sensor data, Spectrogram, Vibration signals","Fault prediction, Device identification",Data driven,"Spectrogram analysis, Pattern recognition","Yes: Spectrogram visualization, Vibration fingerprinting",4,2-s2.0-85139515877
Battery systems / Lithium-ion battery packs,"['Sensor data', 'Time series']","['Fault prediction', 'Root cause analysis']",Hybrid,"['H-infinity filter', 'Pearson correlation coefficients (PCCs)', 'Fault modeling']",Yes: PCCs and threshold-based diagnosis,3,2-s2.0-105000118036
Other,Sensor data,Root cause analysis,Data driven,,Yes: Temperature compensation strategy,0,2-s2.0-85140736512
