Domain,Input,Output,Modeling category,Modeling technique,Explainability,Relevance,EID
Renewable energy systems (specifically PV solar systems),Sensor data,Fault prediction,Data driven,"Not explicitly mentioned, but likely sensor-based analysis and IoT communication protocols",No,2.0,2-s2.0-85110581252
Other,Sensor data,Anomaly detection,Data driven,Unspecified ML algorithms,No,2.0,2-s2.0-85203211409
Manufacturing,Sensor data,Remaining Useful Life,Data driven,Machine Learning,No,4.0,2-s2.0-85209215868
Industrial process safety,Sensor data,Fault prediction,Data driven,"Statistics pattern analysis, Mahalanobis distance",Yes: statistical analysis methods,2.0,2-s2.0-85166939590
Industrial IoT applications,Sensor data,Fault prediction,Hybrid,"['Genetic algorithm', 'Support Vector Machine']",No,4.0,2-s2.0-85148227180
Chip manufacturing,Sensor data,Fault prediction,Hybrid,"['Symbolic regression', 'fisher information', 'k-Nearest Neighbors']","Yes: symbolic regression, information theory, sensor selection criteria",4.0,2-s2.0-85178091973
Wastewater treatment plants,Sensor data,"Data quality assessment, Fault detection",Data driven,"Pareto optimization, Multi-objective optimization",Yes: Pareto optimality analysis,3.0,2-s2.0-85084849222
Chemical process systems,Sensor data,Fault prediction,Rules and/or logic based,Statistical process control (SPC),Yes: Statistical process control (SPC),2.0,2-s2.0-85165123774
Environmental monitoring / Air quality sensors,Sensor data,Fault prediction / Anomaly detection,Hybrid,"Deep Belief Networks (DBN), One-class SVM (OCSVM)",No,2.0,2-s2.0-85084174732
Urban rail systems,Sensor data,Operation State Prediction,Data driven,,Yes: visual collaborative maintenance and early warning,4.0,2-s2.0-85090051095
Large industrial equipment,"['Sensor data', 'Images', 'Expert knowledge']",['Fault prediction'],Hybrid,"['Graph convolutional networks', 'Knowledge graphs']",Yes: interpretability via knowledge graphs and reasoning,4.0,2-s2.0-85195422988
Industrial process systems,Structured data,Fault prediction,Rules and/or logic based,"Graph topology analysis, Community detection",Yes: Interpretable rules based on causal network decomposition,3.0,2-s2.0-85135504135
Wastewater treatment plants,Sensor data,Fault prediction,Data driven,Adaptive dynamic principal component analysis (dPCA),Yes: Principal component analysis (PCA) based techniques are generally interpretable,3.0,2-s2.0-85136146989
Other,Sensor data,Health Indicator,Data driven,"['Gaussian mixture models', 'Variational Autoencoders (VAE)', 'One Class Support Vector Machine (OC-SVM)']",No,3.0,2-s2.0-85101575516
Oil well network systems,Sensor data,Fault prediction,Rules and/or logic based,Disturbance analysis,Yes: Interpretable disturbance analysis,3.0,2-s2.0-85196771466
HVAC systems,Sensor data,Fault prediction,Rules and/or logic based,Genetic programming,Yes: Symbolic regression using genetic programming,4.0,2-s2.0-85121306616
Industrial systems,"Sensor data, Time series, Structured data",Fault prediction,Data driven,Graph Neural Network (GNN),No,4.0,2-s2.0-85131710989
Chemical processes,Sensor data,Fault prediction,Hybrid,"PCA, Large Language Models (LLMs)",Yes: Interpretability through LLM-generated explanations,4.0,2-s2.0-105004180071
Robotics and Industrial Machinery,"Sensor data, Time series","Fault prediction, Vibration source localization",Data driven,Time difference of arrival (TDOA) algorithm,Yes: TDOA-based localization algorithm,2.0,2-s2.0-105008380572
Automobile industry,Sensor data,Fault prediction,Data driven,Machine learning (ML),No,2.0,2-s2.0-85140402572
Power stations,"['Sensor data', 'Time series']",['Fault prediction'],Hybrid,"['Density-Based Spatial Clustering (DBSCAN)', 'Random Forest']",Yes: Random Forest,4.0,2-s2.0-85145355138
Other,Structured data,"Service Level Optimization (SLO) improvement metrics (latency, violations)",Rules and/or logic based,"Autoscaling, metrics-based adaptation",Yes: rule-based autoscaling mechanisms,1.0,2-s2.0-85079588412
Distributed parameter systems,Sensor data,Fault prediction,Data driven,"['Diffusion model', 'Attention mechanism']",No,3.0,2-s2.0-105004879863
Manufacturing processes,Sensor data,Fault prediction,Data driven,"['Q-learning', 'Bellman equations', 'Riccati equations']",No,2.0,2-s2.0-85171536210
Urban infrastructure management / Street lighting systems,Sensor data,Fault prediction,Data driven,Not specified,No,2.0,2-s2.0-105007271385
Power plant equipment,Sensor data,Fault prediction,Data driven,LSTM,No,4.0,2-s2.0-85134425627
Commercial buildings,Sensor data,Fault prediction,Hybrid,"Cumulative Sum Chart, symbolic regression, digital twin",Yes: symbolic regression,3.0,2-s2.0-85136270006
Smart cities / Coastal earthquake monitoring,Remote sensing data (MODIS data),Event alert / Detection of earthquake anomalies,Data driven,"Wavelet transform, Power spectrum analysis",Yes: wavelet transform and spectral analysis are interpretable techniques,2.0,2-s2.0-85079355354
Structural health monitoring,Sensor data,Fault prediction,Physics informed,Neural network (NN),Yes: physics informed neural network,2.0,2-s2.0-85163669809
Industrial systems,"Sensor data, Time series",Remaining Useful Life,Data driven,"Dynamic Time Warping, Matrix Profile, ARIMA, Holt-Winters, LSTM",No,4.0,2-s2.0-85104728919
"Smartphone activity classification (related to sensor data analysis, not specific to a primary industrial system, but could relate to wearable or mobile sensor data in industrial contexts if reinterpreted)",Sensor data,Classification of activities of daily living,Data driven,"Neural networks (implied by PyTorch framework, autograd functionality)",No,2.0,2-s2.0-85101543108
Industrial systems / Manufacturing,"Sensor data, Time series",Fault prediction,Data driven,"Unsupervised learning, Outlier monitoring",No,3.0,2-s2.0-85083642749
Internet of Things (IoT) systems,Structured data,Evaluation of measurement solutions (not typical predictive maintenance output),Other,,Yes: Metrological and evaluation principles,1.0,2-s2.0-85169687188
Industrial heat exchangers / chemical processing,Sensor data,Fouling rate prediction,Data driven,Multiple Linear Regression,Yes: Linear regression,4.0,2-s2.0-85165045458
Industrial machinery and rotating equipment,Sensor data,Fault prediction,Data driven,"Deep Neural Networks, Spiking Neural Networks",No,4.0,2-s2.0-85126178950
Hydraulic systems,Sensor data,Fault prediction,Data driven,"['Support Vector Machine (SVM)', 'Multilayer Perceptron (MLP)', 'k-Nearest Neighbour (kNN)', 'Decision Tree (C4.5)', 'Bagging', 'Random Forest (RF)', 'Adaptive Boosting (AdaBoost)']",No,2.0,2-s2.0-85133154950
Building structural health monitoring systems,Sensor data,Fault prediction,Data driven,Sensor fault detection algorithm,Yes: rule-based and fault diagnosis methodology,4.0,2-s2.0-85085240051
Marine application with health monitoring sensors,Sensor data,None explicitly specified (focus on cycle extraction and anomaly detection),Data driven,Unsupervised cycle extraction method (mining footprints in sensor data),Yes: footprint mining and cycle identification provide interpretability,2.0,2-s2.0-85101539253
Industrial process control / Fluid systems,Sensor data,Fault prediction,Data driven,"Artificial Neural Network (ANN), System identification, chaos theory models (Lorenz and Rössler)",No,0.0,2-s2.0-85185946744
Process plants,Sensor data,Remaining Useful Life,Data driven,Simple prognostic model,Yes: simple model,4.0,2-s2.0-85092792632
Healthcare,Sensor data,Monitoring health vitals / Fault prediction,Other,,No,2.0,2-s2.0-85100078478
Maritime/Ship maintenance,Sensor data,Remaining Useful Life,Hybrid,"Digital Twins, IoT",Yes: Digital Twins and simulation-based approaches,4.0,2-s2.0-85207714256
Industrial manufacturing / Cement factory,Sensor data,Fault prediction / Remaining Useful Life,Data driven,Deep Long Short Term Memory (LSTM),No,4.0,2-s2.0-85119424740
Industrial systems involving sensor fault diagnosis,"Sensor data, Time series",Fault prediction,Data driven,"['Support Vector Machine', 'Grey Wolf Optimization', 'Kernel Principal Component Analysis']",No,2.0,2-s2.0-85115767493
Hydraulic systems,Sensor data,Fault prediction,Data driven,LSTM,Yes: XAI techniques,3.0,2-s2.0-85207725782
Industrial production / Industry 4.0,Sensor data,Fault prediction,Data driven,Machine learning / unspecified ML techniques,No,4.0,2-s2.0-105005771063
Gearbox condition monitoring in industrial machinery,Sensor data,"Fault prediction, Fault severity estimation",Data driven,"Reinforcement learning, Adaptive filtering, Spectral analysis",No,2.0,2-s2.0-85210105076
Chip manufacturing,Sensor data,Fault prediction,Rules and/or logic based,αβ parameters analysis (likely rule-based or signal processing techniques),Yes: rules and/or logic based,1.0,2-s2.0-105004816406
Manufacturing/Production systems,['Sensor data'],['Fault prediction'],Hybrid,['Fuzzy logic'],Yes: Fuzzy logic,3.0,2-s2.0-85207750286
Industrial systems (specifically component/component degradation monitoring),"Sensor data, Time series",Remaining Useful Life,Data driven,"CNN, LSTM, Recursive least squares, Exponential smoothing",No,3.0,2-s2.0-85093667709
Cement manufacturing,"['Sensor data', 'Time series']","['Root cause analysis', 'Production reports', 'Quality modeling', 'Predictive maintenance']",Data driven,Not specified,No,2.0,2-s2.0-85162729375
Industrial Internet of Things (IIoT) systems / Industrial environments,Structured data,Fault prediction,Hybrid,"Voting ensemble, Genetic Algorithm (GA)",No,4.0,2-s2.0-85219752482
Industrial maintenance systems,Unstructured data,Fault prediction,Other,Queuing model,Yes: Queuing model,2.0,2-s2.0-85099215347
Industrial manufacturing plants,"Experimental data, Pressure drop data","Monitoring and control, Potential for failure and anomaly detection",Physics based,Computational fluid dynamics (CFD),Yes: Interpretable physical model,3.0,2-s2.0-85204971272
Manufacturing,Sensor data,Remaining Useful Life,Data driven,,No,2.0,2-s2.0-105000100728
Rotating machinery in manufacturing,PROFINET process data,Fault prediction,Data driven,"['Support Vector Machine (SVM)', 'One-Class Support Vector Machine (OCSVM)']",No,4.0,2-s2.0-85099529820
Chip manufacturing,Structured data,Fault prediction,Physics based,Time-based analysis / Circuit timing analysis,Yes: Circuit timing analysis,4.0,2-s2.0-85165784249
Industrial motors/conveyor systems (factory automation/equipment maintenance),Sensor data,Fault prediction,Data driven,"['Long Short-Term Memory (LSTM)', 'k-Nearest Neighbors (k-NN)', 'Random Forest']",No,4.0,2-s2.0-105007748696
Industrial systems,"Sensor data, Time series",Remaining Useful Life,Data driven,LSTM,No,4.0,2-s2.0-85136086823
Aerospace systems,Sensor data,Fault prediction,Data driven,"['Kernel Extreme Learning Machine (KELM)', 'Wavelet Packet Decomposition (WPD)', 'Dung Beetle Optimizer (IDBO)']",No,2.0,2-s2.0-85171358883
Industrial equipment maintenance,Sensor data,Remaining Useful Life,"Unsupervised, Data driven","Feature extractor, Cross-attention mechanism, Domain adaptation, Multi-task learning",No,4.0,2-s2.0-86000773061
Photovoltaic (PV) systems,Sensor data,Fault prediction,Data driven,Generative Adversarial Network (CGAN),No,3.0,2-s2.0-105008648148
HVAC systems,Sensor data,Fault prediction,Data driven,Supervised learning algorithms (implied from the use of predictive models and SMOTE for data balancing),No,4.0,2-s2.0-85132545664
Industrial systems,"Sensor data, Time series","Remaining Useful Life, Fault prediction",Data driven,"['Neural network', 'Partial least squares']",No,4.0,2-s2.0-85130150788
Pharmaceutical facilities,"['Sensor data', 'Structured data', 'Unstructured data', 'Images']","['Fault prediction', 'Root cause analysis']",Data driven,Not explicitly specified,No,3.0,2-s2.0-85166379485
Industrial systems,Sensor data,Fault prediction,Data driven,Not specified,No,3.0,2-s2.0-105000188882
Power electronics / Electric systems,Sensor data,Fault prediction,Data driven,Not specified,No,0.0,2-s2.0-85192728459
Industrial systems,Sensor data,Fault prediction,Data driven,Not specified,No,4.0,2-s2.0-85076038840
Internet of Things (IoT) resource monitoring,Sensor data,Fault prediction,Data driven,Deep neural network (DNN),No,3.0,2-s2.0-85131421873
Chip manufacturing,Sensor data,Fault prediction,Data driven,Not explicitly specified but likely includes signal estimation and comparison techniques,Yes: relies on voltage and current sensor measurements and estimated values,3.0,2-s2.0-85201701203
Aquaculture water quality monitoring,Impedance measurement data,Fault prediction,Data driven,Impedance measurement and threshold-based analysis,Yes: threshold-based and physical understanding of impedance-fault relationship,2.0,2-s2.0-85166734023
Textile manufacturing,Images,Fault prediction,Data driven,Deep learning,No,2.0,2-s2.0-105006880383
Home appliances,Sensor data,Fault prediction,Data driven,Not explicitly specified in the abstract,No,3.0,2-s2.0-105004804645
Hydrogenerators,Multimodal data,Fault prediction,Data driven,Deep learning-based methods,No,4.0,2-s2.0-85165999989
Aerospace (specifically turbofan engine health management),"Sensor data, Time series",Remaining Useful Life,Data driven,"LSTM, Attention mechanism, Similarity-based method",No,2.0,2-s2.0-85135996271
Semiconductor manufacturing,Time series,Remaining Useful Life,Data driven,"['Artificial Neural Networks (ANN)', 'Support Vector Regression (SVR)', 'Multi-Layer Perceptron (MLP)', 'Random Forest Regressor (RFR)', 'Autoregressive Integrated Moving Average (ARIMA)']",No,4.0,2-s2.0-105004723945
Chip manufacturing,Sensor data,Fault prediction,Data driven,"Deep learning, Unsupervised adaptation, Semi-supervised adaptation",No,3.0,2-s2.0-85114017185
Structural health monitoring systems in civil/building structures,Sensor data,Fault prediction,Data driven,Collection of ML classification algorithms,No,3.0,2-s2.0-85134435189
Aerospace or Turbomachinery systems,Sensor data,Remaining Useful Life,Data driven,"Deep reinforcement learning, Particle filtering",No,3.0,2-s2.0-85087629388
Industrial robots,IAS signal,Fault prediction,Data driven,,No,3.0,2-s2.0-85197794214
Textile manufacturing / Conductive textiles,"['Sensor data', 'Structured data']",['Remaining Useful Life'],Data driven,"['Curve fitting', 'Statistical analysis']",Yes: Statistical models and curve fitting,2.0,2-s2.0-85166369653
Manufacturing / Casting processes,Sensor data,Quality prediction and defect location,Hybrid,"['Physical models', 'Machine learning algorithms']",Yes: physical models,4.0,2-s2.0-85208779786
Manufacturing facilities,Sensor data,Remaining Useful Life,Data driven,"['Random Forests', 'XGBoost', 'Multilayer Perceptron', 'Support Vector Regression']",No,4.0,2-s2.0-85171626213
Energy infrastructure (specifically IGBTs in hydrogen plant energy systems),Sensor data,Remaining Useful Life,Data driven,"['Random Forest', 'LSTM', 'Deep Neural Networks']",No,4.0,2-s2.0-85192725246
Chip manufacturing,"['Sensor data', 'Structured data']",Remaining Useful Life,Physics informed,Dead reckoning modeling,Yes: physics based,3.0,2-s2.0-85119518125
Aero-engine systems,Sensor data,Remaining Useful Life,Data driven,"['RF', 'Transformer', 'LSTM']",No,4.0,2-s2.0-85142763940
Structural health monitoring (SHM),Vibration data,"['Detection', 'Identification', 'Characterization']",Data driven,"Foundation models, Neural networks",No,2.0,2-s2.0-85208053364
Petrochemical facilities,Sensor data,Fault prediction,Data driven,Convolutional Neural Network (CNN),No,4.0,2-s2.0-85197819129
Vehicle systems / Automotive industry,"Sensor data, Time series",Fault prediction,Data driven,"Neural networks, Machine learning",No,3.0,2-s2.0-85189940864
Chip manufacturing,"Images, Sensor data",Monitoring/Quality assessment,Hybrid,"Proper Orthogonal Decomposition (POD), Radial Basis Functions (RBF)","Yes: Proper Orthogonal Decomposition, Radial Basis Functions",4.0,2-s2.0-105010566040
Industrial processes,Sensor data,Fault prediction,Data driven,"Independent Component Analysis (ICA), Kernel Density Estimation (KDE)",Yes: ICA and KDE are interpretable techniques,2.0,2-s2.0-85134433035
Industrial machinery / Electric motors,"Sensor data, Time series, Unstructured data, Audio signals",Fault prediction,Rules and/or logic based,"Chaos theory, Density of maxima, Signal analysis",Yes: Rules and/or logic based techniques,3.0,2-s2.0-85089936954
Other,Sensor data,Remaining Useful Life,Data driven,"['Kernel Principal Component Analysis', 'Similarity-Based Model']",Yes: Similarity-Based Model,4.0,2-s2.0-85131457800
Aerospace systems,"Sensor data, Time series",Remaining Useful Life,Hybrid,"Causal discovery algorithms, Spatial-Temporal Attention Network, Gating mechanism",Yes: Causal graph-based features,4.0,2-s2.0-85216705066
Mechanical systems,Sensor data,"['Remaining Useful Life', 'Fault prediction']",Data driven,"['Transformer', 'Kernel Density Estimation']",No,3.0,2-s2.0-85215867189
Other,Structured data,Remaining Useful Life,Hybrid,"['Wiener process', 'Expectation Maximization (EM algorithm)', 'Dynamic Bayesian networks (DBNs)']",Yes: Bayesian networks and degradation models are generally interpretable techniques,4.0,2-s2.0-85097459516
Network protocol testing on firmware for embedded architectures,"Code and runtime state data (instrumentation, program runtime information)",Vulnerabilities (including discovering 5 zero-day vulnerabilities),Data driven,Genetic algorithm,No,2.0,2-s2.0-85083191145
Material handling equipment,Sensor data,Breakdown prediction,Data driven,"['K-Nearest-Neighbors', 'Random Forest Classifier']",Yes: Random Forest Classifier (interpretable with feature importance),4.0,2-s2.0-85130596128
Industrial combustion systems,"['Sensor data', 'Time series']",['Fault prediction'],Data driven,"Power spectral analysis, Cross-correlation",Yes: spectral analysis and cross-correlation provide interpretable results,3.0,2-s2.0-85134434914
Spacecraft and satellite systems,Sensor data,Fault prediction,Model-based,Extended Kalman filter,Yes: Model-based and observer-based techniques,3.0,2-s2.0-85119501215
Agricultural machinery / Farming equipment,Sensor data,Torque estimation,Data driven,Correlation analysis / Linear modeling,Yes: Linear relationship / Correlation analysis,2.0,2-s2.0-85217857952
Process manufacturing,Sensor data,Fault prediction,Hybrid,Deep learning combined with domain knowledge,Yes: domain knowledge integration and explanation of faults,4.0,2-s2.0-85194939696
Wireless Sensor Networks,"Sensor data, Time series, Unstructured data","Fault prediction, Root cause analysis",Data driven,Correlation analysis,Yes: correlation-based analysis,2.0,2-s2.0-85119992056
Oil and gas industry,"['IoT', 'Big data', 'Predictive analytics', 'Data']",['Predictive maintenance'],Data driven,,No,2.0,2-s2.0-105010231959
Industrial systems,"Big data analytics, sensor data, IoT data","Maintenance scheduling, operational failure risk",Data driven,"Machine learning, predictive analytics",No,4.0,2-s2.0-85201683963
Water conservancy / Hydraulic electromechanical devices,Sensor data,Remaining Useful Life,Hybrid,"Digital twins, Transfer learning",No,2.0,2-s2.0-85130453228
Commercial buildings,Sensor data,Fault prediction,Hybrid,"Multi-agent systems, communication protocols",Yes: interpretability via multi-agent behavior and communication,4.0,2-s2.0-85216443398
Commercial buildings,Sensor data,Remaining Useful Life,Data driven,Not specified,No,3.0,2-s2.0-85133945086
Automotive systems,Time series,Fault prediction,Data driven,Classifiers with feature selection and transformation,Yes: feature selection and transformation techniques,2.0,2-s2.0-85118748069
Smart factory application,Not explicitly specified,Predictive maintenance,Data driven,Not specified,No,3.0,2-s2.0-85089464981
All-electric ship systems / Marine electrical systems,Sensor data,Fault prediction,Data driven,"Wavelet transform, Fourier transform, statistical fault detection algorithms",Yes: Statistical and transform-based features are interpretable,2.0,2-s2.0-85115715047
Greenhouses / Agricultural facilities,Sensor data,Fault prediction,Data driven,"['CNN', 'Decision tree', 'Linear regression']",No,3.0,2-s2.0-85196801000
HVAC systems,Sensor data,Fault prediction,Data driven,,No,4.0,2-s2.0-85132562822
Electric machines / Rotating machinery,"Sensor data, Time series",Fault prediction,Data driven,"EEMD, DWT, Kurtosis, Crest Factor",Yes: Indicator-based methods,4.0,2-s2.0-85113708607
Hydrogen production systems,Sensor data,Fault prediction,Data driven,"Random Forest, SSA (sparrow search algorithm)",Yes: Random Forest,3.0,2-s2.0-105004818917
Robotics / Autonomous systems,Sensor data,Fault prediction / Error state classification,Data driven,Forward stepwise algorithm,Yes: Feature scoring and stepwise selection,2.0,2-s2.0-85124253151
Structural health monitoring (SHM) of structures,"Sensor data, Time series",Fault prediction,Data driven,"Compressive sensing, Event-based monitoring, Simulation",Yes: rules and heuristics for triggering schemes,3.0,2-s2.0-85135095776
Agriculture,Images,Classification / Feature representation,Data driven,"['Neural network', 'Auto-encoder', 'Convolutional Neural Network (CNN)', 'Ensemble deep learning']",No,1.0,2-s2.0-85134618985
"Aerospace systems, Filtration systems",Sensor data,Remaining Useful Life,Data driven,Neural Turing Machine (NTM),No,3.0,2-s2.0-85135974823
Manufacturing / Industrial systems,Unstructured data,Other,Other,Other,No,1.0,2-s2.0-85077447599
Other,Sensor data,Component concentration prediction,Data driven,"Regression models (implied, e.g., PLS, linear regression)",No,0.0,2-s2.0-85090045525
Industrial machinery / Machine halls,Sensor data,Fault prediction,Hybrid,Statistical signal modeling,Yes: statistical signal modeling and model-based detection methods,3.0,2-s2.0-85134430269
Industrial machinery / Mechanical systems,['Sensor data'],['Fault prediction'],Data driven,Not explicitly mentioned,No,3.0,2-s2.0-85166109867
Industrial control systems,Structured data,Fault prediction,Rules and/or logic based,"Integral transformations, Trajectory planning",Yes: Residual generator and systematic method,2.0,2-s2.0-85119513427
Smart agriculture,Sensor data,Fault prediction,Hybrid,Not explicitly mentioned,No,2.0,2-s2.0-85137159815
Cement industry/Plant,Sensor data,Fault prediction,Data driven,Not explicitly specified,No,4.0,2-s2.0-85139445219
"Manufacturing, Energy, Transportation, Healthcare","Sensor data, Time series",Remaining Useful Life,Data driven,Machine learning,No,3.0,2-s2.0-105000095707
Gearbox fault detection for rotating machinery,Sensor data,Fault prediction,Data driven,"['Random forest', 'Dempster-Shafer information fusion']",No,4.0,2-s2.0-85103753147
3D printing / Additive manufacturing,Audio signals,Fault prediction,Data driven,Convolutional neural networks (CNN),No,3.0,2-s2.0-105004638874
Smart home applications,Log data,Failure prediction,Data driven,"['Bi-LSTM', 'GRU']",No,3.0,2-s2.0-85173616681
Baggage handling systems in airports,"Sensor data, Unstructured data",Fault prediction,Data driven,Machine learning algorithms,No,4.0,2-s2.0-85146855443
ATM systems,Structured data,Fault prediction,Data driven,Logistic regression,Yes: Logistic regression,2.0,2-s2.0-85211059433
Aeroengines,Time series,Remaining Useful Life,Data driven,Modified GRU-based variational autoencoder in GANs,No,2.0,2-s2.0-85083318429
Other,Structured data,Residual life prediction,Data driven,Not specified,No,1.0,2-s2.0-105000156742
Aerospace systems (specifically aircraft engine systems),Sensor data,Remaining Useful Life,Data driven,"['Deep belief network', 'Self-organizing map neural network', 'Uncertain random process']",No,4.0,2-s2.0-85200594556
Power plants / Thermal power plant systems,Sensor data,Fouling estimation,Data driven,Subspace identification,Yes: energy balance calculations and subspace identification,3.0,2-s2.0-85142730729
Hydroponic systems,"Sensor data, Environmental and operational variables","Fault prediction, Root cause analysis",Data driven,"RF, ANN, LSTM, KNN, SVM, Support Vector Regression",No,2.0,2-s2.0-105005072336
Physical equipment monitoring,Time series,Fault prediction,Data driven,"['Variational autoencoder (VAE)', 'Spatial–temporal graph network']",No,2.0,2-s2.0-85192228659
Hydraulic systems,Time series,Fault prediction,Data driven,Ensemble feature selection,Yes: Ensemble feature selection,4.0,2-s2.0-85124332386
Agricultural machinery equipment,Sensor data,Fault prediction,Data driven,"Support Vector Machine, Sparrow Search Algorithm",No,4.0,2-s2.0-105007972381
Wooden piece manufacturing,['Sensor data'],"['Remaining Useful Life', 'Fault prediction']",Data driven,"['Extreme Learning Machines', 'Single-layer feedforward neural networks']",No,2.0,2-s2.0-85183458311
Photovoltaic (PV) systems / Solar energy systems,['Sensor data'],['Fault prediction'],Data driven,"Statistical analysis, error mitigation techniques",Yes: Statistical analysis and error mitigation techniques,2.0,2-s2.0-85115985126
Renewable energy systems (solar PV power plants),Sensor data,Fault prediction,Data driven,Not specified,No,2.0,2-s2.0-85211607255
Gearbox and rotating machinery,Sensor data,Fault prediction,Data driven,"Signal analysis methods (e.g., vibration analysis)",Yes: signal analysis and sensor evaluation,3.0,2-s2.0-85113715514
"Electromechanical systems (Electrical machines, PMSM)",Sensor data,Fault prediction,Data driven,"['Variational Mode Decomposition (VMD)', 'Hilbert-Huang Transform (HHT)', 'Convolutional Neural Network (CNN)']",No,2.0,2-s2.0-85169600882
Automotive systems,Sensor data,Fault prediction,Data driven,Extended Kalman Filter (EKF),Yes: Kalman filter,2.0,2-s2.0-85172686438
Other,Sensor data,Fault prediction,Hybrid,"['Neural networks', 'Fuzzy systems', 'Takagi-Sugeno models', 'LPV models']","Yes: Fuzzy rules, rule-based models",2.0,2-s2.0-85148920316
Industrial bearings / Mechanical systems,Sensor data,Fault prediction,Data driven,"Enhanced channel attention network (implying use of neural networks, likely CNN or similar deep learning architecture)",No,4.0,2-s2.0-85145698138
Water treatment / Desalination systems,Sensor data,Fault prediction / Fouling detection,Data driven,"['K-nearest neighbor', 'Random forest', 'Artificial neural network', 'Support vector machine']",No,2.0,2-s2.0-85158830111
HVAC systems,"['Sensor data', 'Time series']",['Fault prediction'],Data driven,"['Genetic programming', 'Mathematical optimization', 'k-Nearest Neighbors']","Yes: symbolic regression, Fisher Information Matrix analysis",4.0,2-s2.0-85119499374
Aircraft navigation / Aerospace systems,"Sensor data, Time series, Images",Positioning and orientation estimation,Data driven,"Kalman Filter, Delayed-Error-State Kalman Filter (ESKF)",Yes: Kalman Filter,2.0,2-s2.0-85130797279
"Nuclear power plants (HTR-PM is a high temperature gas-cooled reactor, part of nuclear reactor systems)","Sensor data, Structured data",Fault prediction,Rules and/or logic based,"Structured residual design, system identification-based modeling",Yes: Structured residuals and decision rules are interpretable,3.0,2-s2.0-85143981938
Industrial systems / Motor condition monitoring,Sensor data / Time series,Fault prediction,Data driven,CNN,No,2.0,2-s2.0-85207088734
Three-tank system (experimental laboratory setup),Sensor data,Fault prediction,Data driven,"Koopman model, deep learning (neural networks)",Yes: Bilinear parity-space framework,4.0,2-s2.0-85175145643
Manufacturing,Sensor data,Predictive maintenance,Data driven,,No,3.0,2-s2.0-85190895145
"Distributed systems (including cloud computing, IoT networks, edge computing)","Large-scale data, Anomaly detection data","Fault prediction, System failure detection, Anomaly detection",Data driven,Machine learning algorithms,No,2.0,2-s2.0-85207860932
Hydraulic systems,Sensor data,Fault prediction,Data driven,"Multi-task learning network, dual-flow model",No,4.0,2-s2.0-85206344395
Vehicle systems / Automotive systems,Sensor data,Fault prediction,Data driven,DFT (Discrete Fourier Transform) and data fusion methods,Yes: data fusion and DFT provide interpretability in fault detection,2.0,2-s2.0-85190161716
Transportation safety,"['IoT', 'Sensor data']",['Predictive maintenance plans'],Data driven,Artificial intelligence (AI),No,2.0,2-s2.0-85208886858
Renewable energy,"['Sensor data', 'Time series', 'Structured data']","['Remaining Useful Life', 'Fault prediction']",Data driven,['AI-powered predictive maintenance'],No,2.0,2-s2.0-105007130747
Helicopter systems,Sensor data,Fault prediction,Model-based,"Interacting Multiple Model based Extended Kalman Filter, Interacting Multiple Model based Unscented Kalman Filter","Yes: Residual analysis, stochastic likelihood ratio, model probability",1.0,2-s2.0-85100637120
Process industry,Structured data,Fault prediction,Rules and/or logic based,Observer-based fault detection,Yes: Observer-based techniques,4.0,2-s2.0-85077988585
Industrial automation/Industrial machines,Sensor data,Remaining Useful Life,Data driven,Machine learning,No,2.0,2-s2.0-85175955558
Medical devices / Healthcare monitoring,Sensor data,Fault prediction,Supervised learning,"['Support Vector Machine', 'Logistic Regression', 'k-Nearest Neighbors', 'Decision Tree', 'Random Forest', 'Adaptive Boosting']",Yes: Decision Tree,2.0,2-s2.0-85175831563
Other,Images,Other,Data driven,Deep neural networks,No,0.0,2-s2.0-85151630373
Manufacturing,"['Sensor data', 'Time series']","['Remaining Useful Life', 'Fault prediction']",Data driven,,No,4.0,2-s2.0-85191445595
Manufacturing Industry,Sensor data,Fault prediction,Ensemble,"MLP, KNN, SVM",No,4.0,2-s2.0-85207536539
Manufacturing,Sensor data,Fault prediction,Hybrid,"['Recurrent Neural Networks (RNNs)', 'Convolutional Neural Networks (CNNs)', 'Hybrid physics-based and data-driven models']",Yes: Explainable AI methods,4.0,2-s2.0-85207565072
Other,Sensor data,Fault prediction,Data driven,Not explicitly specified,No,2.0,2-s2.0-85200257100
Vehicle steering systems,Sensor data,Fault prediction,Hybrid,Extended disturbance observer,Yes: disturbance observer,3.0,2-s2.0-105002139648
Other,Unstructured data,Other,Other,Other,No,0.0,2-s2.0-85207541729
Power converters / Electrical systems,Sensor data,Fault prediction,Data driven,Simulation-based validation (PSIM),No,2.0,2-s2.0-85201535603
Sugar mills,Sensor data,Predictive maintenance,Data driven,"Automated sensors (implying sensor data analysis, possibly involving ML techniques)",Yes: interpretable techniques (likely rule-based or simple models based on sensors and qualitative methods),2.0,2-s2.0-85215297724
Chip manufacturing,Sensor data,Remaining Useful Life,Data driven,LSTM,No,4.0,2-s2.0-85181902665
Water treatment systems,Sensor data,"Salt passage, Nitrate passage, Permeate flux",Data driven,LSTM RNN with attention mechanism,No,2.0,2-s2.0-85200408863
Power grid infrastructure,Sensor data,Fault prediction,Data driven,"['K-nearest neighbor', 'Decision tree']",Yes: Decision tree,4.0,2-s2.0-85188744535
