text,EID
"Fault Diagnosis and Maintenance Strategy of Electrical Automation Equipment Firstly, this paper summarizes the importance of electrical automation equipment in modern industrial production, and points out the fault diagnosis and maintenance challenges brought by the complexity of equipment with the development of technology. Then, the paper introduces the fault detection technology in detail, including the application of sensor technology and the fault detection method based on data analysis, with special emphasis on the key role of big data and artificial intelligence technology in fault detection. This paper further discusses the fault diagnosis strategy, including condition monitoring, data analysis, self-diagnosis function and the application of fault diagnosis tools, and discusses the application of fuzzy neural network (FNN) in fault diagnosis. In the part of maintenance strategy, the article discusses preventive maintenance, responsive maintenance and improved maintenance strategies, and emphasizes the importance of these strategies in reducing equipment failures, prolonging equipment life and reducing maintenance costs. Finally, through a case of fault diagnosis and maintenance of centrifugal pump in a chemical plant, the effect of modern technical means in practical application is demonstrated. The research shows that the comprehensive use of modern technical means can significantly improve the accuracy and efficiency of fault diagnosis, and build a scientific and reasonable maintenance system to realize the effective management of the whole life cycle of electrical automation equipment.  © 2025 IEEE.",2-s2.0-105011351984
"Algorithmic Conflict Detection in Process-Oriented Programs Microcontrollers are the main devices which control manufactures and different industrial processes in the modern world. These microcontrollers, represented by programmable logic controllers, execute programs with an enormous number of parallel processes linked by numerous shared real-world sensors and actuators. One of the current requirements for the manufactures is a high fault tolerance, and the ideas from Industry 4.0 force the minimal acceptable tolerance to the new heights. There are several algorithms and program paradigms which try to achieve that by removing all non-deterministic behaviour. One of them is process-oriented programming which was proposed at IA&E SB RAS. The paradigm was used in large-scale projects and proves its effectiveness for the domain. But the question of how to check whenever this is enough remains. This paper proposes an algorithm which allows for the developer to check their programs for the possible conflicts between processes and then solve those issues during the development processes.  © 2024 IEEE.",2-s2.0-85197287113
"Imperative Role of Internet of Things in Power Plant Monitoring Internet of Things is utilized by multiple applications in field of energy generation power plants. This study discusses about the implementation of IoT based smart systems with power plants i.e., solar power plant, wind power plant, geothermal power plants and hydropower plant. The study discuses about monitoring of the function parameters of power plants while resolving the real-time fault detection in systems. The paper further emphasizes on IoT features about better access of data, decision-making, sustainability, greater collaboration of technologies of sensors, micro-controllers and communication protocols; whereas self-healing IoT devices with auto calibration which improves reliability of systems gives the further point to researchers to create something new. © 2024 IEEE.",2-s2.0-85193209705
"Identification of Key Parameters for Remaining Useful Life Prediction of Radar T/R Module Using Least-Squares Method The failure of radar sensors during military operations could result in false positives or negatives for intruder detection. The predictive life cycle estimation of electronic components in radar is an important topic. However, due to the sensitivity of radar to thermal noise from monitoring circuits, it is difficult to monitor its electronic components of radar for fault detection. Using statistical information of past events of faulty Transmit/Receive (T/R) modules of large phased array radars (LPAR), this paper identified parameters responsible for the degradation of radar subsystems. From historical data, relationship between 17 monitoring parameters and 3 fault categories is determined using least-squares (LS) method. A set of weight coefficients obtained by LS method is used to represent the relationship, and key parameters that contributed majorly to each fault category are examined. Using simulation, faults are injected into the identified parameters, and fault degradation level of the T/R module is estimated using linear degradation model. The proposed prediction method has lower average prediction error compared to index similarity-based prediction method for two fault categories (fault 1 and 2).  © 2023 IEEE.",2-s2.0-85165103168
"Approach for Analyzing the Performance of 5G Networks During the Initial Planning Phase Without Deployment Using the NS-3 Network Simulator This study aims to enhance the performance of fifth-generation (5G) wireless networks. The research involves analyzing existing approaches to the design and deployment of 5G infrastructure, as well as conducting simulation experiments using current network configurations. These experiments will provide insights into key parameters of 5G systems and enable the evaluation of their performance at the preliminary planning stage, thereby reducing risks and improving the accuracy of network deployment. This approach will facilitate more efficient network planning, particularly for industrial Internet of Things (IoT) applications. Optimizing 5G networks for industrial needs will unlock advanced capabilities such as real-time monitoring, predictive maintenance, and seamless integration of equipment and devices. This, in turn, will support Industry 4.0 initiatives, enhancing productivity and boosting the competitiveness of industrial enterprises. © 2025 IEEE.",2-s2.0-105007151668
"Diagnostics and Prognostics for Retrofitted Systems: A Comprehensive Approach for Enhanced System Health Assessment Predicting the remaining useful life of technical systems has gained significant attention in recent years due to increasing demands for extending the lifespan of degrading system components. Therefore, already used systems are retrofitted by integrating sensors to monitor their performance and functionality, enabling accurate diagnosis of their condition and prediction of their remaining useful life. One of the main challenges in this field is identified in the missing data from the time where the retrofitted system has already run but without being monitored by sensors. In this paper, a novel approach for the combined diagnostics and prognostics of retrofitted systems is proposed. The methodology aims to provide an accurate diagnosis of the system's health state and estimation of the remaining useful life by a combination of a machine learning and expert knowledge. To evaluate the effectiveness of the proposed methodology, a case study involving a retrofitted system in an industrial setting is selected and applied. It is demonstrated that the approach effectively diagnose the current system's health state and accurately predict its remaining useful life, thereby enabling predictive maintenance and decision-making. Overall, our research contributes to advancing the field of condition monitoring for retrofitted systems by providing a comprehensive methodology that addresses the challenge of missing data.  © 2024 IEEE.",2-s2.0-85214682543
"Blynk-Powered IoT System with Machine Learning for Personalized Plant Care This research explores the development of a prototype Internet of Things (IoT)-enabled smart irrigation system and investigates its potential integration with machine learning (ML). The primary mechanism, constructed using Blynk, facilitates real-time sensor data monitoring (temperature, humidity, and moisture) and enables manual irrigation control via a mobile application. The secondary mechanism includes the integration of Machine Learning (ML) model, facilitating data-driven predictions for optimal watering schedules. This ML integrated IoT system has the potential to revolutionize irrigation practices, promoting water conservation and potentially enhancing plant health through precise watering based on real-time sensor data and historical trends. © 2024 IEEE.",2-s2.0-85206084848
"DETECTIF : Unified Detection & Correction of IoT Faults in Smart Homes This paper tackles the problem of detecting a comprehensive set of sensor faults that can occur in IoT-instrumented smart homes customized to infer Activities of Daily Living (ADL) from the activation of sensor sets. Specifically, sensors can suffer faults that (a) span durations that vary between several seconds to hours, (b) can result in both missing or false-alarm sensor-events. Previous fault detection approaches are geared primarily to identify missing faults (absence of sensor readings) of a permanent (very long-lived) nature, or sporadic false-alarm events. We propose DetectIF, a fault-detection framework that detects faults of varying time duration, and identifies both missing and false-alarm sensor events. DetectIF's key novelties include developing rules capturing spatiotemporal correlations among sensors and augmenting those rules with statistical properties of such sensor-specific behavior. To test DetectIF under a variety of fault behavior, we develop a unified fault framework where the tuning of a couple of parameters allows us to generate and inject faults of desired type and duration into an underlying sensor stream. Experiments with such comprehensive fault data shows that DetectIF achieves 82-95% fault-detection accuracy, improving precision by a huge amount (33-66%) over competitive, state-of-the-art baselines. Moreover, we demonstrate the benefits of applying DetectIF on unmodified, benchmark smart home datasets: it is able to detect additional likely faults that prior fault detection approaches miss, and thus consequently achieve an average of 30% higher ADL recognition accuracy compared to prior state-of-the-art fault detection techniques.  © 2020 IEEE.",2-s2.0-85096603209
"Rule-Based Reasoning for Hardware Fault Detection in IoT Systems Using Electronic Design Automation Tools In the rapidly evolving landscape of hardware design, particularly within Internet of Things (IoT) and embedded systems, the detection and diagnosis of hardware faults pose significant challenges. This paper introduces Sem4EDA, an ontology tailored for enhancing fault detection in Electronic Design Automation (EDA) tools. By leveraging the power of Semantic Web technologies, Sem4EDA models hardware components, faults, and operational behaviors, creating a structured knowledge base that can be queried for fault identification. We utilize SPARQL (Protocol and RDF Query Language) queries to extract meaningful insights from the ontology, providing a systematic approach to fault detection. A use case scenario using temperature sensors in a smart city environment demonstrates how this methodology can not only identify hardware issues but also suggest optimizations, such as energy efficiency improvements. This approach, combining ontologies and EDA tools, has the potential to streamline fault detection processes and improve overall system reliability.  © 2024 IEEE.",2-s2.0-85218419383
"LLM-Enhanced Test Case Prioritization for Complex Software Systems This paper presents a novel approach to test case prioritization using Large Language Models (LLMs) for complex software systems. Traditional prioritization methods often struggle with the dynamic nature of modern software development and the large amounts of unstructured data generated during the software lifecycle. Our method leverages LLMs to analyze diverse data sources, including code changes, user feedback, and system documentation, creating a more adaptive and context-aware prioritization strategy. We applied our approach to an Internet of Things (IoT) based system for motion tracking in ten-pin bowling. The experimental results show significant improvements over a baseline Additional Statement Coverage method. Our LLM-enhanced approach achieved a 12.12% higher Average Percentage of Faults Detected (APFD) score and reduced test suite execution time by 26 %. These findings demonstrate the potential of LLMs to enhance software testing practices, particularly in early fault detection and efficient resource utilization. The paper discusses implementation details, evaluation metrics, and future directions for integrating this approach into continuous integration and deployment pipelines. © 2024 Copyright held by the owner/author(s).",2-s2.0-105010777135
"Enhancing Building Management Systems with Distributed Intelligence There has been a significant change in the management and operation of buildings as a result of the incorporation of Distributed Intelligence into Building Management Systems. This paper analyzes the revolutionary potential of this integration, concentrating on the suggested technique, which amalgamates Decentralized Sensor Networks, Federated Learning, and Predictive Maintenance algorithms. The approach uses real-time data, machine learning, and decentralized decision-making to improve building operations. The new technique is shown to perform better on all of the most important performance criteria when compared to the six original approaches. The suggested technique greatly improves upon conventional methods with regards to energy efficiency, occupant comfort, system responsiveness, maintenance cost reduction, security effectiveness, and flexibility. It is much easier to understand the comparative analysis and how the suggested solution outperforms the separate methods by using visual representations.  © 2024 IEEE.",2-s2.0-85196766776
"Physics-informed Machine Learning-based Methodology for Plated Through Holes Lifetime Estimation in Printed Circuit Boards The increasing demand for reliable electronics underscores the need for predictive tools to estimate component lifetimes and mitigate key failure risks and associated costs. This study focuses on Plated Through Holes (PTHs) in Printed Circuit Boards, which are critical to system reliability but prone to failures under standard thermal cycling due to strain from coefficient of thermal expansion mismatches. A physics-informed machine learning-based methodology is proposed, integrating data from Finite Element Method simulations and experimental data from degradation tests. Two machine learning models are combined to estimate the Remaining Useful Life of PTHs: a feedforward neural network (FFNN) able to predict the number of cycles to failure of a given structure and trained on a Design of Experiment dataset with geometric and material parameters, and a Long Short-Term Memory (LSTM) network to predict the temporal degradation trend measured by real sensors on the board. The combination of these two models allows the implementation of a Physics-informed Neural Network where the physics learned based on the FFNN is used as a physical constraint in the cost function of the LSTM to guide the prediction of the degradation. © 2025 IEEE.",2-s2.0-105007412485
"Research on Medical Equipment Operation State Monitoring and Early Warning Technology of Failure With the continuous advancement of medical technology, medical devices play a crucial role in clinical diagnosis and treatment. However, malfunctioning of medical equipment may lead to serious medical accidents and affect the health and safety of patients. Therefore, how to effectively monitor the operation status of medical devices and realize early warning of failures has become an urgent problem. This study is dedicated to exploring and developing advanced monitoring techniques and early warning systems to improve the reliability and safety of medical equipment. This paper firstly reviews the existing medical device monitoring technologies and their limitations, and then explores the application of sensor technology, data acquisition and processing, machine learning and artificial intelligence in medical device monitoring, and analyzes the integration of remote monitoring and Internet of Things (IoT) technologies. Subsequently, the paper describes the construction method of the early warning system for failures, including the establishment of warning models, data analysis and prediction techniques. Through specific case studies, the paper demonstrates the practical application effects of these technologies. Finally, the paper discusses the challenges that may be faced during the implementation of these technologies and looks forward to the future development direction. The study shows that the combination of advanced monitoring technologies and intelligent warning systems can significantly improve the operational efficiency and safety of medical devices and provide strong support for the medical industry. © 2024 IEEE.",2-s2.0-85217851422
"Three-Phase Cable Positioning Method Based on Triaxial Magnetic Sensors The rapid and accurate positioning of transmission cables is crucial for ensuring the stable operation of power systems and improving the efficiency of cable fault repairs. However, existing transmission cable positioning technologies generally have defects such as low positioning accuracy, high algorithm complexity and significant application limitations, which weaken their effectiveness in practical applications to some extent. In view of this, a fast positioning method for three-phase cable is proposed in this paper, and the relationship between the magnetic induction intensity around the three-phase cable and the distance from the geometric center of the cable is derived. By combining a triaxial magnetic sensor array for magnetic detection, the location information of the three-phase cable can be determined, enabling its precise positioning. Finally, the feasibility of this method is verified through C OMSOL simulation a nd experiments, which has certain engineering application value.  © 2025 IEEE.",2-s2.0-105010621560
"Methodology for Analyzing the Performance of 5G-NR Networks During Initial Planning Without Deployment Using the NS-3 Network Simulator The primary goal of this research is to improve the performance of fifth-generation (5G) wireless networks. This study will examine existing algorithms for creating and implementing 5G infrastructure, as well as conducting simulation experiments using current network configurations. Through these trials, we will gain insights into the parameters of 5G systems and assess the effectiveness of these networks at the initial stage of planning, before actual deployment. This process will significantly enhance the efficiency of communication network planning, especially in industrial Internet of Things (IoT) applications. Furthermore, by optimizing 5G networks for industrial use cases, this research aims to unlock transformative capabilities, such as real-time monitoring, predictive maintenance, and seamless integration of machinery and devices, thereby fostering Industry 4.0 initiatives and enhancing productivity and competitiveness in industrial settings.  © 2024 IEEE.",2-s2.0-85197292674
"A Groove Wedge Tightness Detection Method Based on the Mixed Characteristics of MFCC and GFCC Traditional generator maintenance requires the rotor to be overhauled, which is time-consuming, costly, and inefficient. In this paper, a sound signal classification algorithm for wedge tightness based on the mixed characteristics of Mel frequency cepstrum coefficient and gamma pass frequency cepstrum coefficient is proposed, which can have a high accuracy in the detection of wedge tightness of generators without pumping rotors, and thus greatly improve the maintenance efficiency of generators. Firstly, the exciter is used to knock on the wedge, and the sound sensor is used to collect the sound samples generated by the vibration of the wedge. Then, the db6 wavelet threshold function was used to denoise the sound signal of the tightness of the wedge. Then, the mixed features of MFCC and GFCC were extracted. Then, the dimensionality of the mixed feature signal is reduced to reduce the amount of computation. Finally, the Inception v4 model was used for sound classification. 3000 groups of sound signal samples of wedge tightness were collected, and the above method was used to test the tightness of the wedge, and the experimental results showed that the accuracy of the above method for judging the tightness of the wedge was $98.75 \%$. © 2024 IEEE.",2-s2.0-85207061128
"Bearing Frequency-Related Fault Detection in Pump Systems Using Inference LSTM Autoencoder With Differential Regularization In the industrial sector, technicians typically detect equipment faults based on multi-sensor data (MSD), which often exhibit strong logical correlations. However, existing AI-based methods for MSD fault detection have not fully considered these correlations. To this end, we propose an inference LSTM autoencoder with differential regularization (IDR-LSTMAE) for bearing frequency-related fault detection in pump systems. Our LSTM Autoencoder learns normal MSD behavior patterns, while a novel differential regularization in the loss function ensures the model cannot be disturbed by noise and unlabeled faults, resulting in smoother reconstructions. Additionally, leveraging specialist knowledge, we design an inference function that considers logical relationships between MSD during fault detection. Such integration of the inference function can help improve accuracy and reduce false alarms. Comprehensive comparison experiments and ablation studies show that IDR-LSTMAE achieves superior fault detection performance and highlights the importance of regularization and the inference function.  © 2024 IEEE.",2-s2.0-85214437038
"A Transformer Hot Spot Fault Diagnosis Method Combining Ultrasonic Sensing Technology and PSO-SVM Algorithm Equipment failures often occur in the internal insulation of power transformers, mainly due to insulation aging, poor operating conditions, and unqualified manufacturing quality of power transformers. The insulating ability of the outer layer oil paper of the transformer winding is crucial, and the key factor affecting oil paper insulation is the hot spot fault of the transformer winding. Therefore, hot spot fault detection of transformers in operation is of great significance. At present, the existing hot spot temperature measurement methods at home and abroad are difficult to apply to transformers that have already been put into operation. Therefore, this paper proposed a transformer hot spot fault diagnosis method based on the combination of ultrasonic sensing technology and PSO-SVM algorithm. The three-dimensional model of the transformer was built using COMSOL finite element simulation software to simulate the dynamic response of ultrasonic signals received by sensors under different hot spot types, and then feature parameters were extracted based on the simulation data. Finally, the particle swarm optimization (PSO) and support vector machine (SVM) algorithm were combined to achieve the transformer hot spot temperature retrieval and fault location. The results indicated that the PSO-SVM model could effectively identify hot spot faults and achieve non-destructive online monitoring of internal hot spots in transformers, providing a new approach for the field of transformer hot spot fault diagnosis.  © 2023 IEEE.",2-s2.0-85180413491
"Remaining Useful Life Prediction Method Based on Convolutional Neural Network and Long Short-Term Memory Neural Network Remaining Useful Life (RUL) estimation plays a critical role in the health management system, and its accuracy is essential for maintenance decisions and safe operations. Traditional empirical and physical models are limited in some cases as equipment grows increasingly complicated and intelligent. This paper proposes a data-driven method combining Convolutional Neural Network (CNN) and Long Short-Term Memory (LSTM) network, which is more effective and generalizable by modeling the mapping relationship between collected data and RUL with deep learning algorithms. To handle the multiple sensor data and minimize the noises of operations, the K-means clustering approach is used to pre-identify operation conditions. The CNN extracts deep features from the input samples which are sent to the LSTM network to model the dynamics and learn potential degradation representation. Multilayer perceptron is applied to obtain the regression prediction output of the corresponding RUL. The main advantage of the CNN-LSTM method is the integration of data processing and modeling analysis in a framework, which enables end-to-end RUL prediction, enhances prediction accuracy, and simplifies the prediction process. We verified the performance of the proposed approach on a public aircraft turbofan dataset under different operation conditions and compared it with deep neural networks such as the standard CNN, LSTM, etc. The experiments show promising and effective results.  © 2023 IEEE.",2-s2.0-85164994886
"Machine Learning Approaches for Predictive Maintenance in Industrial Operations Predictive maintenance (PdM) has emerged as a transformative approach for enhancing industrial efficiency and reliability, leveraging machine learning (ML) techniques for real-time data analysis and anomaly detection. This study proposes a hybrid PdM framework integrating advanced ML models, including Convolutional Neural Networks (CNN), Long Short-Term Memory (LSTM) networks, Autoregressive Integrated Moving Average (ARIMA), Isolation Forest, and One-Class SVM. Using IoT-enabled sensor data capturing parameters like vibration, temperature, and pressure, the framework demonstrates significant improvements. Key findings reveal that CNNs achieved 92% accuracy in early anomaly detection, while the combined LSTM-ARIMA model provided forecasting accuracy of 87% and reduced errors by 25% compared to standalone models. Isolation Forest and One-Class SVM achieved anomaly detection precision of 93% and recall of 88%. The framework reduced unplanned downtime by 54% and maintenance costs by 32% across tested scenarios. This study contributes to the existing body of knowledge by presenting a robust hybrid modeling approach that integrates statistical and deep learning methods to address fault prediction and maintenance scheduling limitations. Practical implications include improved maintenance efficiency, extended equipment lifespan, and enhanced industry decision-making capabilities, making the framework highly relevant for Industry 4.0 applications. © 2024 IEEE.",2-s2.0-85218029715
"A Fault Diagnosis and Predictive Maintenance Algorithm for Mechanical Systems Based on Deep Learning As modern industry rapidly expands and mechanical operating equipment undergoes continual advancement, mechanical systems are growing increasingly intricate, precise, and intelligent. Concurrently, the environments and conditions under which these systems operate are also escalating in complexity. To mitigate potential economic losses and prevent safety incidents, timely and accurate fault diagnosis of mechanical systems is paramount. In this study, we introduce a deep learning (DL)-driven algorithm for fault diagnosis and predictive maintenance in mechanical systems. This approach addresses the challenges inherent in traditional mechanical fault diagnosis methods, which often struggle with manually extracting uncertainty. Initially, sensor data pertaining to the mechanical system is gathered and undergoes preprocessing. Subsequently, a DL model is employed to extract pertinent features from the refined data, followed by the utilization of a classification model to categorize these features, facilitating automated fault diagnosis. By leveraging the DL model's ability to unearth hidden features within the data and utilizing a prediction model to forecast these features, we can ascertain the likelihood and potential time window for mechanical system failures. Experimental findings demonstrate that our proposed algorithm enhances the precision and reliability of fault diagnosis. Moreover, it enables the learning of temporal patterns and inherent laws governing mechanical systems, allowing for the prediction of future fault trends and occurrence timings. © 2024 IEEE.",2-s2.0-85195292778
"When IoT Meet LLMs: Applications and Challenges Recent advances in Large Language Models (LLMs) have positively and efficiently transformed workflows in many domains. One such domain with significant potential for LLM integration is the Internet of Things (IoT), where this integration brings new opportunities for improved decision making and system interaction. In this paper, we explore the various roles of LLMs in IoT, with a focus on their reasoning capabilities. We show how LLM-IoT integration can facilitate advanced decision making and contextual understanding in a variety of IoT scenarios. Furthermore, we explore the integration of LLMs with edge, fog, and cloud computing paradigms, and show how this synergy can optimize resource utilization, enhance real-time processing, and provide scalable solutions for complex IoT applications. To the best of our knowledge, this is the first comprehensive study covering IoT-LLM integration between edge, fog, and cloud systems. Additionally, we propose a novel system model for industrial IoT applications that leverages LLM-based collective intelligence to enable predictive maintenance and condition monitoring. Finally, we highlight key challenges and open issues that provide insights for future research in the field of LLM-IoT integration. © 2024 IEEE.",2-s2.0-85218041343
"Intelligent Control and Algorithm Optimization of Overhead Conductor Peeling Device The traditional peeling method is labor-intensive and inefficient, and the peeling accuracy is difficult to guarantee. The intelligent control system proposed in this paper integrates advanced sensor technology and intelligent control algorithm to realize accurate and optimal control of peeling process. The hardware part includes non-contact diameter sensor, insulation layer thickness sensor, etc., to monitor conductor parameters in real time; In software design, adaptive peeling algorithm and fault detection and diagnosis algorithm are adopted to enhance the reliability of the system. In this study, a hybrid optimization strategy combining machine learning and genetic algorithm (GA) was selected, and the peeling depth was predicted by support vector machine (SVM) model, and the peeling parameters were optimized by GA. The experimental results show that the hybrid optimization strategy can effectively improve the performance of the peeling device, and the peeling accuracy error is mostly controlled within ±0.05mm, and the peeling efficiency gradually improves and tends to be stable with the optimization process. This research not only improves the automation level of peeling operation, but also provides strong support for the intelligent transformation of power and communication industries.  © 2025 IEEE.",2-s2.0-105011345221
"Synthesis and Experimental Research of Fault Detection System for Actuators of Robot Manipulator by Technical Vision The paper considers synthesis of system for detection of faults in sensors and electric drives of manipulation robots. During the operation of the system, the position of the manipulator and its links is determined using a vision system with a stereo camera and a marker located on the manipulator's working tool. This position is then compared with the position calculated from the readings of the rotation angle sensors of each joint of the manipulator The conclusion about the presence of a fault is made from the analysis of the results of this comparison. To test the operability of the proposed system, an experimental study was conducted using a MITSUBISHI RV-2FB manipulator. The experimental results confirmed the efficiency of the method. © 2024 IEEE.",2-s2.0-85193293531
"DeepCover DS28C36: A Hardware Vulnerability Identification and Exploitation Using T- Test and Double Laser Fault Injection DeepCover [6] is a secure authenticator circuit family developed by Analog Devices. It was designed to provide cryptographic functions, true random number generation, and EEPROM secure storage. DS28C36 is one of the DeepCover family, which is widely used in secure boot and secure download for IoT. It has been recently deployed in the Coldcard Mk4 hardware wallet [3] as a second secure element to enhance its security. In this paper, we present for the first time, a detailed evaluation for the DS28C36 secure EEPROM against Laser Fault Injection (LFI). In the context of a black box approach, we prove by experimental results that the chip resists single fault attacks. In order to overcome this, we present the use of leakage detection such as Welch's T-test to facilitate finding the correct moments for injecting successful faults, which is not common in Fault Injection (FI) as this method has been used only for Side-Channel Attacks (SCAs). By using this knowledge, we found two moments for injecting laser pulses to extract the protected EEPROM user pages with 99% success rate. The attack can be reproduced within a day. The presented attack negatively impacts the users of DS28C36 (including Coldcard Mk4). © 2023 IEEE.",2-s2.0-85192145755
"Advancing Predictive Maintenance Research Trends: Using Artificial Intelligence for Enhanced Industrial Reliability The rise of Industry 4.0 technologies has underscored the necessity of predictive maintenance (PdM) to sustain industrial systems' reliability and cost-effectiveness. As industries increasingly rely on complex machinery and interconnected systems, the traditional reactive maintenance approach is proving inadequate in minimizing downtime and optimizing resource allocation. This study offers a comprehensive examination of current Artificial Intelligence (AI)-driven predictive maintenance trends, highlighting their transformative impact on industrial operations. By analyzing datasets from diverse sectors-including the rail industry, manufacturing, aerospace, Industry 4.0 environments, and cloud-based systems-this study demonstrates how advanced machine learning algorithms, deep learning models, and the Internet of Things (IoT) are revolutionizing PdM practices. These methodologies enable real-time data analysis, early fault detection, and precise maintenance scheduling, leading to substantial cost savings, enhanced operational efficiency, equipment longevity, and safety. The results indicate that models such as Convolutional Neural Network (CNN) and Gradient Boosting Machine (GBM) achieved accuracy rates of up to approximately 95%, significantly outperforming traditional approaches. However, despite the significant progress, challenges such as data quality, model interpretability, and implementation costs remain prevalent. This study is the first to comprehensively examine deep analysis of these trends, identifying gaps in current research and proposing future directions for more robust PdM frameworks. © 2024 IEEE.",2-s2.0-85219752305
"Enhancing Fault Detection in Power Load Management Systems: A Neural Network Approach with Seq2Seq-CNN-LSTM Models This paper presents a groundbreaking approach for fault detection in electric power load management systems using an advanced neural network. This network uniquely integrates Seq2Seq, CNN, and LSTM models to enhance predictive accuracy and fault classification. The Seq2Seq model, by learning from historical data, facilitates the prediction of future sensor data, thus providing the ability to forecast system states. Concurrently, the CNN model is utilized for extracting features from the predicted data, capturing potential anomalous patterns. Meanwhile, the LSTM model is responsible for classifying these features and detecting potential faults. Through extensive experimentation, the proposed network demonstrates its capability to detect system faults preemptively by combining prediction and classification methods. This approach significantly contributes to improving the reliability and efficiency of electric power load management systems.  © 2024 IEEE.",2-s2.0-85197680497
"Enhancing the Reliability of Split Computing Deep Neural Networks Artificial intelligence is becoming increasingly popular for IoT applications in safety-critical fields (e.g., autonomous systems and biomedical, robots). Unfortunately, the inference's workload process alone increases as the model size grows. To meet the computational power limitations of mobile devices running IoT applications, modern services sometimes resort to the Split Computing paradigm. Split Computing divides the inference process of a Neural Network into Head and Tail for their execution in a mobile device and a server, respectively, which also allows the reduction of the overall IoT device's computational cost. Nonetheless, Split Computing can be used in safety-critical fields where reliability is crucial, especially when mobile devices have computational and cost restrictions. This paper introduces hardening techniques acting on the software to mitigate the effects of hardware faults on Split Computing models. The proposed hardening techniques consist of i) a bounded activation function whose thresholds are refined by training, and ii) a per-channel bounding of the bottleneck quantization of the split points. To quantitatively assess their effectiveness, we resorted to two different split configurations of a model for image classification. In addition, we considered a Split Computing model for object detection. Our findings indicate that the proposed approaches effectively reduces fault effects by 3.5% for image classifiers and 5.73% for object detectors when compared with other hardening approaches for general DNNs.  © 2024 IEEE.",2-s2.0-85201418359
"A Multi-Functional Sensor Network System for Health Monitoring of Inflatable Softgoods Structures A multi-functional sensor network system (MFSNS) was developed for long-duration structural health monitoring (SHM) of inflatable softgoods structures in space habitats. This MFSNS utilizes a set of flexible piezoelectric sensors, which are embedded into the softgoods structure, to simultaneously perform passive acoustic emission (AE) detection, active ultrasonic guided wave (UGW) testing and local strain sensing (SS). Damage precursors/initiation and growth in the softgoods structure can be monitored through AE. The damage/defects in the structure can be detected and characterized through UGW. The creep in softgoods materials can be detected through SS at the sensor location. By continuously detecting AE, UGW, and SS signals, the health condition of inflatable softgoods structures in space habitats can be monitored and the remaining useful life (RUL) can be predicted. In this paper, a MFSNS prototype was developed and demonstrated. Flexible microfiber composite (MFC) sensors were used as the sensing elements. A multichannel, multi-mode data acquisition unit along with a software package were developed. Damage detection and material characterization algorithms were developed for AE, UGW, and SS detection. Experimental results confirm that the MFSNS is capable of performing simultaneous AE, UGW, and SS measurements on softgoods materials, making it promising for long-term SHM and RUL prediction of softgoods structures in space habitats.  © 2023 IEEE.",2-s2.0-85164991092
"Dataset Construction for Machine Learning Based Wired Networks Prognosis Prognostic methods leveraging Machine Learning (ML) require consistent and complete datasets to achieve accurate predictions. However, in the context of cable prognosis based on reflectometry, assembling such datasets is challenging due to the prolonged process of accumulating real condition monitoring data over the lifespan of cables and also the lack of such available datasets in the literature to the best of our knowledge. Hence, this paper proposes a solution for relevant data generation to simulate the degradation of cables during their lifetime. This initial step is highly important in our proposed cable prognosis methodology, which integrates distributed reflectometry sensors and ML techniques to estimate the remaining useful life of multi-branched wired networks. To do so, two use cases of cable aging, using model-driven and experimental approaches, are studied in this paper. As a conclusion, a hybrid approach will be considered based on accelerated aging experiments and simulations to set up a pertinent dataset and provide a deeper understanding of the cable degradation process.  © 2024 IEEE.",2-s2.0-85214700051
"Predictive Maintenance of Power Transformers in Distribution Network with Energy Management Using Deep Learning The reliability and efficiency of the electrical grid network are obtained through proper maintenance of the power transformers. The advanced maintenance of the electrical grid is obtained through modern strategies to enhance the performance of the system. Power transformers are an important part of the electrical distribution systems. Failure of transformers leads to various constraints regarding service interferences with costly outrages. Traditional forms of maintenance rely on manual inspections on fixed timelines which is not able to detect the transformer degradation at early stages. Advanced predictive maintenance with energy management is obtained through deep learning techniques with hybrid optimization techniques. This includes Convolutional Neural Network (CNN) and Recurrent Neural Network (RNN). This is done through various sensors and monitoring equipment placed in the distribution network. The extraction of spatial and temporal data from images is obtained through the CNN component. The hidden defects and abnormal functioning of various parts in the transformer are detected through CNN. Oil leakages, overheating and insulation failure are the early signs of transformer failures. The RNN component concentrates on the data generated by sensors and meters in real-time environment. This helps to predict the future demand for power transformers. The sequential patterns are obtained through the LS TM component. They provide accurate details regarding the performance and life of transformers. The integration of energy management with predictive maintenance helps optimise power utility while maintaining the reliable operation of transformers. © 2024 IEEE.",2-s2.0-85193208398
