Domain,Input,Output,Modeling category,Modeling technique,Explainability,Relevance,EID
Other,Structured data,Anomaly detection,Data driven,Isolation Forest,No,1,2-s2.0-85123888419
Chip manufacturing,Sensor data,Fault prediction,Physics based,"['OKID', 'ERA']",Yes: modal parameters and model-based identification are interpretable,2,2-s2.0-85101248652
Other,['Sensor data'],['Remaining Useful Life'],Physics based,"Phenomenological model, PID controller","Yes: Phenomenological model, PID controller",3,2-s2.0-85124460035
Hydraulic systems,Structured data,Flow rate estimation,Data driven,Simplified soft sensor model based on dependence analysis,Yes: rule-based / simplified modeling,2,2-s2.0-85156115349
Transportation,"Sensor data, Time series",Anomaly detection,Data driven,"Autoencoder, LSTM",No,3,2-s2.0-105005832686
Manufacturing,"['Sensor data', 'Time series', 'IoT data', 'Big Data']","['Fault prediction', 'Remaining Useful Life']",Hybrid,"['Digital Twins', 'AI', 'Blockchain']",Yes: Digital Twins (interpretable models of physical assets),4,2-s2.0-105009669961
Gas turbine engines,Sensor data,Remaining Useful Life,Data driven,"['Recurrent neural networks', 'Support Vector Machine']",No,4,2-s2.0-85100260564
Manufacturing,Sensor data,"Remaining Useful Life, Fault prediction",Data driven,Not specified,No,3,2-s2.0-105009799267
Landing gear systems / Aerospace systems,Sensor data,Fault prediction,Data driven,Deep Neural Network,Yes: Explainable Artificial Intelligence,4,2-s2.0-85122805935
Nuclear power systems,Sensor data,Fault prediction,Hybrid,['Dynamic Bayesian Network'],Yes: Bayesian networks are interpretable,3,2-s2.0-85219578847
Aerospace bearings,Sensor data,Fault prediction,Data driven,"['Lightweight convolutional neural network', 'Contrast transformer', 'Contrast loss']",No,1,2-s2.0-85191965016
Spacecraft,Sensor data,Fault prediction,Data driven,"Autoencoders, Bayesian framework",Yes: Bayesian methods and autoencoders,3,2-s2.0-85193793290
HVAC systems,Sensor data,Fault prediction,Rules and/or logic based,"Rule-based charts, sensitivity ratio method",Yes: interpretable rule-based methods,4,2-s2.0-85170084648
Smart deep-space habitats,Sensor data,Fault prediction,Data driven,Convolutional autoencoders (CAEs),No,2,2-s2.0-85203539914
Electrical vehicles / Battery systems,Sensor data,Remaining Useful Life / Fault prediction / Root cause analysis,Hybrid,"Reduced-order models, equivalent circuit model",Yes: Rules and domain knowledge used in equivalent circuit modeling and root cause analysis,4,2-s2.0-85098320607
Liquid rocket engine systems,Sensor data,Fault prediction,Rules and/or logic based,"Supervised analysis, multivariate analysis, Monte Carlo simulations",Yes: rule-based and multivariate analysis,3,2-s2.0-85126270712
HVAC systems,Sensor data,Fault prediction,Data driven,Simple model trained on temperature and humidity data,Yes: simple model with physical measurements,5,2-s2.0-85166340457
Other,Structured data,Fault prediction,Hybrid,Unscented Kalman Filter,Yes: Residual signals and fault detection algorithms,2,2-s2.0-85119278213
HVAC systems,Sensor data,Fault prediction,Data driven,Soft sensor-based residual analysis,Yes: Residual-based fault diagnosis and soft sensors are interpretable,4,2-s2.0-85175376774
Industrial systems,Sensor data,Fault prediction,Rules and/or logic based,Transmissibility operators,Yes: mathematical estimators,2,2-s2.0-85185890478
Other,Sensor data,Fault prediction,Data driven,Not specified,No,2,2-s2.0-85189230052
Aircraft,Sensor data,Remaining Useful Life,Data driven,Bidirectional LSTM,No,4,2-s2.0-85123898629
Assistive robotic systems / Exoskeletons,Sensor data,Fault prediction,Data driven,LSTM,No,4,2-s2.0-85124562047
Industrial systems,Sensor data,Predictive maintenance,Data driven,,No,4,2-s2.0-105009673538
Chip manufacturing,"['Sensor data', 'Time series']",['Fault prediction'],Data driven,['Extended Kalman filter'],No,3,2-s2.0-85096146938
Unmanned Aerial Vehicles (UAVs)/Aerospace,Sensor data,Fault prediction,Data driven,Observer-based fault detection,Yes: Observer-based method,1,2-s2.0-85099944746
Rocket engine testing / Aerospace systems,"Sensor data, Time series",Fault prediction,Data driven,"Principal component analysis, Bivariate time-series analysis",Yes: Phase plane trajectory visualization,2,2-s2.0-85097780487
Chip manufacturing,Sensor data,Fault prediction,Data driven,Deep learning,No,4,2-s2.0-85185562194
Rotorcraft / Aircraft maintenance,Sensor data,Sensor reconstruction / Data imputation,Data driven,Deep Neural Network (DNN),No,1,2-s2.0-85096779673
Road infrastructure / Civil engineering,"['Sensor data', 'Images', 'Environmental monitoring']",Fault prediction,Data driven,"['Stacking ensemble learning', 'Random Forest', 'Support Vector Regression', 'XGBoost', 'LightGBM', 'LSTM']",No,2,2-s2.0-105005938775
"Commercial buildings, Energy systems, HVAC systems","Sensor data, Time series","Fault prediction, Remaining Useful Life",Data driven,Exponential regression,Yes: Exponential regression,4,2-s2.0-85107206952
Additive manufacturing,"['Sensor data', 'Time series', 'Images']",['Fault prediction'],Data driven,"['Support Vector Machine (SVM)', 'K-Nearest Neighbor (KNN)', 'Gaussian Naive Bayes (GNB)']",No,4,2-s2.0-85177068349
Autonomous vehicles / Automotive systems,Sensor data,Fault prediction,Data driven,"Reliability validation, fault detection and diagnostics (implies data-driven methods, possibly statistical or machine learning techniques)",No,0,2-s2.0-85169355077
Other,Sensor data,Fault prediction,Hybrid,Non-dominated Sorting Genetic Algorithm,No,2,2-s2.0-85219345845
Medical equipment in healthcare facilities,Sensor data,Fault prediction,Data driven,"AI algorithms, Digital Twins",No,4,2-s2.0-105009674291
Spacecraft propulsion systems,Sensor data (dynamic pressure response),Fault prediction,Physics based,Fluid dynamics modeling,Yes: physics based modeling,3,2-s2.0-85199572703
Industrial control systems / Electric motors / Automation and robotics,Sensor data,Fault prediction,Rules and/or logic based,Luenberger observer,Yes: Residual-based detection,2,2-s2.0-85187101938
Unmanned Aerial Vehicle (UAV) systems / Motor control,Sensor data,Fault prediction / Fault detection and isolation,Rules and/or logic based,"Deterministic model-based FDI using current phasor trajectories, Clarke’s plane, and reference frame transformations",Yes: rules-based and model-based algorithms,1,2-s2.0-85116468431
Industrial systems / Mechanical components,Sensor data,Design space parameters / Optimization solutions,Other,Optimization procedures,Yes: Interpretable optimization,2,2-s2.0-85216799818
Industrial systems,Sensor data,Fault prediction,Physics based,First principles,Yes: physics-based models,4,2-s2.0-105005148561
Structural health monitoring (SHM),"Impedance measurements, Resistance change data","Defect detection, Crack depth estimation",Physics based,Electrodynamic simulations,Yes: Resistance change and defect sensitivity analysis,2,2-s2.0-85216446021
Nuclear reactor systems,"Sensor data, Time series, Unstructured data",Predictive maintenance,Data driven,"Finite element-based heat transfer models, NoSQL database implementation (MongoDB)",No,2,2-s2.0-85124564177
Other,"Real-time monitoring, Big data","Operational efficiency/optimization, Strategic decision making",Data driven,AI/ML,No,2,2-s2.0-105009674730
Wireless Sensor Networks (WSNs) / Internet of Things (IoT),Sensor data,Fault prediction,Data driven,Not specified,No,1,2-s2.0-85119360490
"Industrial sector (general, potentially applicable to manufacturing or energy systems)","Sensor data, Big data analytics","Energy efficiency optimization, Resource utilization, Predictive analytics (implying predictive maintenance potential)",Data driven,AI-driven models,No,2,2-s2.0-105009677795
Other,Sensor data,Fault prediction,Statistics,Probabilistic outlier detection,Yes: statistical outlier rejection,2,2-s2.0-105001321732
Aircraft propulsion systems,Sensor data,Fault prediction,Data driven,Not specified,No,2,2-s2.0-85100238476
Space vehicles / On-orbit servicing,"['Sensor data', 'Structured data']","['Fault prediction', 'Root cause analysis']",Data driven,"Anomaly detection, historical database comparison",Yes: rule-based anomaly detection and fault classification,4,2-s2.0-85194183747
Oil & Gas platforms,Sensor data,Fault prediction,Data driven,Autoencoder deep neural network,No,3,2-s2.0-85185560904
Satellite systems,"Sensor data, Time series",Fault prediction,Hybrid,"['Kalman filter', 'Neural networks', 'QUEST algorithm']",No,3,2-s2.0-85183966607
Biomechanics/Physical therapy/Exercise science,"['Sensor data', 'Time series', 'Structured data']",['Root cause analysis'],Rules and/or logic based,"Kinematic equations, force measurements, motion analysis",Yes: Rules and physics-based equations,2,2-s2.0-85216770166
Aerospace systems / Reusable launch vehicles,Sensor data,Fault prediction,Hybrid,"['Modelica', 'Dynamic Time Warping', 'Hierarchical Clustering']",Yes: Hierarchical Clustering,3,2-s2.0-85092358925
"Manufacturing systems (industrial robots, production lines)","Sensor data, Data monitoring sensors, Production data","System monitoring, Control interfaces, Real-time feedback",Hybrid,"Machine Learning algorithms, Unity3D, ROS, MQTT",No,4,2-s2.0-85124397592
Aerospace systems,"Sensor data, Time series","Fault prediction, Root cause analysis",Data driven,Not specified,No,3,2-s2.0-85092422730
Satellite formation for climate prediction,Images,"None (focus on attitude control and fault detection, not predictive maintenance)",Rules and/or logic based,"Rule-based, hierarchic redundancy, fault detection, isolation and recovery (FDIR) software",Yes: Rules and Fault Detection approach,0,2-s2.0-105009914153
Built environment/Structural Health Monitoring,"Electrical impedance, Temperature, Relative humidity, Time series","Forecasting electrical impedance, Early warning (EWS)",Data driven,Prophet,Yes: Prophet provides interpretable trend and seasonality components,3,2-s2.0-85206145166
Pneumatic systems in industrial machinery,Sensor data,Fault prediction,Data driven,"Cycle time analysis, possibly with statistical or machine learning methods (implied)",Yes: Rules-based / analytical approach,4,2-s2.0-85210431322
Commercial buildings,"['Sensor data', 'Network data']",['Fault prediction'],Data driven,Not explicitly specified,No,1,2-s2.0-85191194633
Industrial systems / Ship electronic equipment,Sensor data,Fault prediction / Sensor configuration optimization,Hybrid,"Frog leaping algorithm, optimization algorithms, heuristic methods",No,2,2-s2.0-85105254266
Residential air-conditioning (AC) systems,['Sensor data'],['Fault prediction'],Data driven,Not explicitly specified in the abstract,No,3,2-s2.0-85210233293
Commercial buildings,Sensor data,Fault prediction,Data driven,"['Clustering', 'Autoencoder ensembles']",Yes: clustering (interpretable),4,2-s2.0-105010559686
Industrial machinery systems,Sensor data,Remaining Useful Life,Data driven,"Autoencoder, Multi-task learning",No,4,2-s2.0-85213863895
Cyber-Physical Systems,"Sensor data, Actuator signals",Intrusion detection,Knowledge based,Kalman filters,Yes: Kalman filters are interpretable,2,2-s2.0-85100919499
HVAC systems,Sensor data,Fault prediction,Data driven,Data analytical approach (specific techniques not specified),Yes: interpretable methods (implied by the focus on reducing sensor requirements and critical review),4,2-s2.0-85124465490
Aircraft systems,Sensor data,Remaining Useful Life,Data driven,Particle filter,No,3,2-s2.0-85196747775
Large aircraft / Aeronautics / Aerospace systems,"Sensor data, Time series",Fault prediction,Data driven,"Reinforcement Learning, Autoencoder",No,2,2-s2.0-85200246554
HVAC systems,"['Sensor data', 'Time series']",['Fault prediction'],Data driven,,No,4,2-s2.0-85185540377
Other,"Sensor data, Time series",Fault prediction,Data driven,"Residual improvement deep learning, PCA","Yes: PCA (interpretable component), residual analysis",3,2-s2.0-85186667637
Urban rail systems,"Vibration data, GPS data","Predictive maintenance, Safety alerts",Data driven,Deep learning,No,4,2-s2.0-85215078657
"Industrial equipment (e.g., cranes, machinery in steel mills)",Natural language text,Fault prediction,Hybrid,"['Large Language Models (LLMs)', 'Knowledge Graphs', 'Causal analysis']",Yes: Knowledge graphs and causal analysis,3,2-s2.0-86000468768
Aircraft engine maintenance,Sensor data,Remaining Useful Life,Data driven,"CNN, SHAP",Yes: SHAP,4,2-s2.0-85192230798
Electric power systems / Microgrids,Structured data,Fault prediction / Fault detection and isolation,Rules and/or logic based,Structural analysis methodology,Yes: rules and structural models,3,2-s2.0-85175579400
Telecommunications equipment,Sensor data,Fault prediction,Data driven,BP neural network,No,2,2-s2.0-86000019594
Gas turbines,Time series,Fault prediction,Data driven,CNN,No,4,2-s2.0-85091323485
Aerospace / Gas turbines / Aeroengines,Sensor data,Fault prediction,Model-based,"Reduced Order Models (ROMs), Latent Semantic Indexing (LSI)",Yes: physical models and reduced order modeling provide interpretability,4,2-s2.0-85091269634
Robotic manipulators,Time series,Fault prediction,Data driven,MLSTM-FCN,Yes: interpretable techniques (classification with transparency),4,2-s2.0-85148334166
Biomedical/Healthcare devices,Sensor data,Fault prediction,Data driven,"Digital Twin, sensors data monitoring",Yes: Interpretable data from sensors and Digital Twin model,3,2-s2.0-85213811716
Industrial manufacturing/production systems,Sensor data,Remaining Useful Life,Data driven,Sensor-based predictive maintenance,"Yes: Workflow analysis, OEE analysis",4,2-s2.0-105004931806
Smart City Systems,Structured data,Fault prediction,Data driven,,No,1,2-s2.0-85146247126
Commercial buildings,Sensor data,Fault prediction,Data driven,Not explicitly mentioned,No,4,2-s2.0-85189552214
Smart grid / Electrical power systems,Sensor data,Fault prediction,Data driven,Not explicitly specified,No,2,2-s2.0-85123021084
Ship lock infrastructure,Sensor data,Structural condition / Camber prediction,Data driven,Not specified,No,3,2-s2.0-85214018470
Industrial manufacturing / Industry 4.0,Sensor data,Remaining Useful Life,Data driven,Artificial Neural Networks (ANN),No,4,2-s2.0-85149265865
Aerospace systems,Sensor data,Fault prediction,Rules and/or logic based,Kalman filters,Yes: Kalman filters,2,2-s2.0-85193208571
Other,Sensor data,Other,Data driven,Machine learning,No,1,2-s2.0-105005682873
Induction motors in industrial processes,"Sensor data, Vibration signals",Fault prediction,Data driven,"Deep Belief Network (DBN), Restricted Boltzmann Machine (RBM), Ant colony algorithm",No,4,2-s2.0-85199798864
Rotor-bearing systems,Infrared thermal images,Fault prediction,Data driven,"CNN, CAE",No,4,2-s2.0-85089065312
Industrial welding systems,"['Sensor data', 'Images', 'Structured data']","['Fault prediction', 'Quality inspection']",Data driven,Artificial Intelligence (general reference to AI-based analytics),Yes: rule-based and AI explainability techniques,3,2-s2.0-105005704748
Embedded systems and robotics,Sensor data,Fault prediction,Data driven,"['CNN', 'LSTM']",No,2,2-s2.0-105010618453
Aircraft engines / Aerospace systems,Sensor data,Remaining Useful Life,Data driven,"Temporal Convolutional Network (TCN), Channel attention, Temporal attention",No,4,2-s2.0-85184140435
Mechanical systems,Sensor data,Fault prediction,Data driven,Signal processing techniques,Yes: Signal processing techniques,4,2-s2.0-85078079062
Other,"Large datasets, Sensor data (implied from IoT, situational awareness, environmental data)",Predictive maintenance,Data driven,"Reinforcement learning, Deep reinforcement learning, Federated learning, Ensemble learning, Swarm intelligence",No,1,2-s2.0-105005707968
Manufacturing / Industrial machinery,Structured data,Remaining Useful Life,Hybrid,Ontology-based modeling,Yes: Ontology-based explanation,4,2-s2.0-85098173920
Mechanical systems / Rotating machinery (harmonic reducer in robotic systems),Sensor data,Fault prediction,Data driven,"Graph Auto-encoder (GAE), Graph Neural Networks (GNNs)",No,4,2-s2.0-85192177018
Industrial rotating machinery (specifically port crane bearings),Sensor data,Fault prediction,Data driven,"CNN, VMD (Variational Mode Decomposition)",No,4,2-s2.0-85189352579
"Industrial systems involving Li-ion batteries, milling cutters, and IGBT components",Structured data,Remaining Useful Life,Data driven,Degradation Path Approximation (DPA),Yes: interpretability analysis of DPA variables,3,2-s2.0-85185531814
Industrial machinery / Mechanical systems (specifically bearing diagnosis in induction machines),"Sensor data, Time series",Fault prediction,Data driven,"Supervised machine learning algorithms, feature extraction (harmonics-to-noise ratio envelope), classifier testing",Yes: feature-based classification and decision rules,3,2-s2.0-85122059019
Industrial equipment and maintenance systems,"['Sensor data', 'Management software data']",['Fault prediction'],Knowledge based,Ontologies,Yes: Ontologies,3,2-s2.0-85107368546
Electrical power systems / Smart grids,Sensor data,Fault prediction / Fault location,Data driven,"Wireless sensor networks, IoT-based monitoring",No,3,2-s2.0-85192754321
Other,Sensor data,Fault prediction,Rules and/or logic based,Extended state observer,Yes: rules and logic based,1,2-s2.0-85173541213
Satellite systems,Attitude measurement data,Remaining Useful Life,Data driven,Bayesian updating,Yes: Bayesian updating,4,2-s2.0-85117382050
Mechanical systems / Industrial equipment,Sensor data,Remaining Useful Life,Data driven,"['Contrastive Predictive Coding (CPC)', 'Transformer']",No,4,2-s2.0-85189747978
Other,Sensor data,None specified,Other,Other,No,1,2-s2.0-85179892434
Offshore wind turbines,"['Sensor data', 'Time series']","['Fault prediction', 'Remaining Useful Life']",Data driven,"['Dynamic Bayesian network', 'Machine learning techniques']",No,4,2-s2.0-85195110003
Wireless Sensor Networks,Sensor data,Fault prediction,Rules and/or logic based,Self/non-self discrimination principle,Yes: rule-based,2,2-s2.0-85083304852
Maritime systems,Sensor data,Fault prediction,Data driven,Machine Learning,No,3,2-s2.0-85096413497
Gas turbines,Time series,Condition assessment,Hybrid,"Gaussian process, Recurrent neural network (RNN), Transfer learning",No,4,2-s2.0-85201732091
Multi-level engineering systems,"Sensor data, Time series","Remaining Useful Life, Time-to-failure",Hybrid,"Convolution neural networks (CNN), Functional regression, Kalman filter",No,4,2-s2.0-85191463901
Gas sensing for vehicle exhaust gas fault diagnosis,"Sensor data, Time series",Fault prediction,Data driven,"Multi-task learning (MTL), neural networks (implied by AI framework)",No,4,2-s2.0-105004756317
Rotating machinery / Gas turbines,Sensor data,Fault prediction,Data driven,"Deep neural networks, Transfer Learning",No,3,2-s2.0-85195389138
Other,Sensor data,Fault prediction,Rules and/or logic based,Waveform transformation techniques,Yes: Rule-based / logic-based methods,1,2-s2.0-85140214589
Chip manufacturing,Sensor data,Fault prediction,Data driven,Behavior algorithm,Yes: rule-based and behavior analysis,4,2-s2.0-85175154350
Transformers (Power systems),Sensor data,Fault prediction,Hybrid,Simulated annealing,Yes: Optimization-based method,3,2-s2.0-85189543356
Manufacturing,Sensor data,Remaining Useful Life,Data driven,Unsupervised Machine Learning,No,4,2-s2.0-85086021815
Electrical transformers / Power systems,"['Sensor data', 'Images']",['Fault prediction'],Data driven,"['Wavelet Transform', 'Deep Convolutional Neural Network']",Yes: Haralick features are interpretable features,2,2-s2.0-85182241078
Robotic systems in manufacturing or industrial production,"Sensor data, Life data, Structured data","Remaining Useful Life, Fault prediction",Hybrid,"Data-driven and model-based methods, FMECA","Yes: FMECA, rule-based analysis",3,2-s2.0-85065982378
Other,Sensor data,Fault prediction,Data driven,Not specified,No,0,2-s2.0-85082107277
Mine ventilation systems,Sensor data,Fault prediction,Rules and/or logic based,"Resistance-alteration-based algorithms, Resistance observability theory",Yes: interpretable resistance-alteration-based algorithms,2,2-s2.0-85179880332
Spacecraft systems / Space technology,"Multivariate time series, Sensor data",Fault prediction,Data driven,Convolutional Neural Network (CNN),No,2,2-s2.0-105010891185
Chip manufacturing,Sensor data,Remaining Useful Life,Data driven,"Deep neural networks, Ensemble learning",No,4,2-s2.0-85164721564
Home appliances / Consumer electronics,"Sensor data, Real-time data",Predictive maintenance / Fault prediction,Data driven,Big data analytics,No,2,2-s2.0-85078958955
Electronic systems,"['Sensor data', 'Structured data', 'Unstructured data']",['Fault prediction'],Hybrid,"['D-S evidence theory', 'LDA feature extraction', 'Wavelet energy spectrum entropy']","Yes: D-S evidence theory, LDA",1,2-s2.0-85098246961
Industrial manufacturing,Structured data,Remaining Useful Life,Hybrid,"Digital twin, IoT",Yes: Digital twin,3,2-s2.0-85119192771
Other,Sensor data,Fault prediction,Data driven,Graph convolutional network (GCN),No,4,2-s2.0-85183450509
Chip manufacturing,Sensor data,Remaining Useful Life,Data driven,"Variational Encoding, Factorized temporal-channel fusion, Feature fusion",Yes: Visual assessment and interpretability techniques,4,2-s2.0-85181067143
Manufacturing systems,Data logs from IoT devices,Trustworthiness / Security in predictive maintenance,Hybrid,"Blockchain-based framework, Digital Twins",Yes: Blockchain and Digital Twins provide interpretability,3,2-s2.0-85188955207
Aerospace systems,Sensor data,Remaining Useful Life,Data driven,Self-attention (TDSA),No,4,2-s2.0-85140140815
Construction vibration monitoring,Sensor data,Anomalies / Fault detection,Data driven,"Temporal convolutional network, Autoencoder",No,3,2-s2.0-85148333193
Industrial production lines,Sensor data,Fault prediction,Physics based,First principles,Yes: physics based,4,2-s2.0-85109016484
Manufacturing / Material Processing,Sensor data,Fault prediction,Data driven,Machine learning classifiers (unspecified),No,4,2-s2.0-85200841576
Pressure Vessels,Sensor data,Remaining Useful Life,Physics informed,Finite Element (FE) simulation,Yes: Finite Element (FE) simulation,4,2-s2.0-105004443915
Metallurgic industry,Sensor data,Fault prediction,Data driven,ARIMA (Autoregressive Integrated Moving Average),Yes: ARIMA models are interpretable time series models,3,2-s2.0-85068609486
Oil and gas pipeline systems,Sensor data,Leak detection,Data driven,Not explicitly specified in the abstract,No,3,2-s2.0-85064866005
Other,Unstructured data,Other,Other,Other,No,0,2-s2.0-85197777033
Pipeline systems,Sensor data,Fault prediction,Data driven,CNN,No,4,2-s2.0-85214028623
Automotive testing and component maintenance,Sensor data,Fault prediction,Data driven,,No,3,2-s2.0-85214006439
Aviation systems,Sensor data,Remaining Useful Life,Data driven,"Machine learning algorithms, ensemble models",No,3,2-s2.0-85208671021
Commercial buildings,Sensor data,Fault prediction,Data driven,Data mining,No,4,2-s2.0-85184117059
Chip manufacturing,Sensor data,Fault prediction,Data driven,"['Order tracking', 'Short-time Fourier transform (STFT)', 'Convolutional Neural Network (CNN)']",No,3,2-s2.0-85107634767
Mechanical systems (Rolling bearing and planetary gearbox),Sensor data,Fault prediction,Data driven,"Adversarial Domain Adaptation, MMD",No,3,2-s2.0-85126770094
Internal combustion engines,Sensor data,Fault prediction,Hybrid,"['Artificial Neural Network', 'Sliding Mode Control']",No,1,2-s2.0-85150860227
Aviation systems,Sensor data,Fault prediction,Physics based,Estimator,Yes: physics based model,4,2-s2.0-85101029033
Other,Sensor data,Fault prediction,Data driven,Not specified,No,2,2-s2.0-85075647896
Nanosatellite systems,Sensor data,Attitude estimation,Data driven,"Mathematical analysis, fault detection algorithms",Yes: Fault detection method and mathematical analysis,2,2-s2.0-85137295624
Aerospace systems / Aircraft engine systems,"Sensor data, Time series",Remaining Useful Life,"Graph neural networks (GNN), Data driven","Graph convolutional network (GCN), Dual-channel adaptive graph convolutional network (SDAGCN)",No,0,2-s2.0-85169879224
"Engineering systems with sensor monitoring, specifically turbofan engines",Sensor data,Remaining Useful Life,Data driven,Bayesian Neural Networks with Monte Carlo dropout,Yes: credible intervals from Bayesian models,4,2-s2.0-85200033685
Other,Structured data,Fault prediction,Rules and/or logic based,"Fault estimator, Digital twin",Yes: Rules-based and digital twin methods,0,2-s2.0-85088208481
Aircraft propulsion systems,"Sensor data, Telemetry data","Diagnostic insights, Maintenance recommendations",Data driven,Large Language Models (LLMs),No,3,2-s2.0-85213325059
Traffic management / Transportation systems,Structured data,Fault prediction,Hybrid,"Kalman filter, observers, sliding mode controller",Yes: Kalman filter and observers are interpretable techniques,3,2-s2.0-85086826523
Aerospace / Aircraft Engines,"Sensor data, Time series",Remaining Useful Life,Data driven,"Deep learning, Multi-task learning, Attention mechanism, Causal convolution network",No,4,2-s2.0-85147607163
Aerospace engineering / Drones / Multicopter systems,Sensor data,State estimation / Control signals,Hybrid,Kalman filtering,No,0,2-s2.0-105008451646
Electrical and Smart Metering Systems,Sensor data,Privacy and confidentiality of meter readings,Rules and/or logic based,Trusted platform module,Yes: Trusted platform module,1,2-s2.0-85099303610
Industrial electromechanical systems,Multivariate time series data,Remaining Useful Life,Hybrid,Graph Neural Network (GNN),Yes: Explainable AI (xAI) methods,4,2-s2.0-85218651140
Welding Industry,Sensor data,Fault prediction,Data driven,Data analysis of sensor signals,No,4,2-s2.0-105005677087
Aircraft systems,Natural language text,Remaining Useful Life,Statistical models and machine learning techniques,"TF-IDF, proportional hazards model",Yes: proportional hazards model,2,2-s2.0-85092800670
Manufacturing / Industry 4.0,Structured data,Other,Other,"OpenStack, OpenFlow, SDN technology",No,0,2-s2.0-85090095687
Smart City IoT systems,Natural language text,Fault prediction,Data driven,SVM,Yes: SVM,3,2-s2.0-85077774513
Industrial systems / Manufacturing,Sensor data,Fault prediction,Data driven,Artificial intelligence (AI),No,4,2-s2.0-85111832750
Chip manufacturing,Sensor data,Fault prediction,Data driven,Denoising autoencoder (DAE),No,4,2-s2.0-85090406122
Power transmission and distribution systems,"['Sensor data', 'Time series', 'Structured data']","['Fault prediction', 'Root cause analysis']",Hybrid,"['Wavelet analysis', 'Artificial Neural Networks']",Yes: Wavelet analysis and neural network coefficients are interpretable for fault analysis,2,2-s2.0-85149721980
Industrial motors,Sensor data,Fault prediction,Data driven,"Deep learning (specific techniques: residual building unit, soft thresholding, global context)",No,4,2-s2.0-85125276295
Rotating machinery,Sensor data,Fault prediction,Data driven,"Broad learning system, D-S evidence theory, FFT, mutual attention mechanism",Yes: D-S evidence theory and feature fusion interpretability,4,2-s2.0-85185531969
Nuclear power plant / High-end equipment in industrial systems,Sensor data,Remaining Useful Life,Data driven,"Prognosis methods, sensor selection, trend prediction",No,3,2-s2.0-85189534602
Industrial systems / Monitoring systems,Time series,Fault prediction / Anomaly detection / Diagnosis,Data driven,"Encoder-Decoder, Multi-Task Learning",No,2,2-s2.0-85106323055
Wind turbine systems,Sensor data,Fault prediction,Data driven,FFT,Yes: FFT,4,2-s2.0-105010039410
Other,"Sensors, Computer vision, Data from control systems","Process optimization, Quality improvement",Data driven,"Machine learning algorithms, Adaptive control systems",No,2,2-s2.0-85207897826
"Industrial systems with rotating machinery, specifically blade crack detection in centrifugal fans",Sensor data,Fault prediction,Hybrid,"['Cross-attention mechanism', 'Dempster-Shafer evidence theory', 'Deep learning']",Yes: Dempster-Shafer evidence theory,2,2-s2.0-85209250461
Power plants / Thermal power generation,Sensor data,Fault prediction,Data driven,Acoustic emission sensors analysis,No,2,2-s2.0-85064878837
Industrial IoT / Automotive Technologies,Time series,Anomaly detection,Data driven,"Autoencoder, Forecasting model",No,3,2-s2.0-85088531254
Rotating machinery / Mechanical systems (ball bearings),Sensor data,Fault prediction,Data driven,"['Compressive sensing', 'Envelope analysis']",Yes: Envelope analysis,3,2-s2.0-85092800605
Industrial equipment in manufacturing facilities,Sensor data,Fault prediction,Data driven,"['MLP', 'VAE']",No,4,2-s2.0-85068233637
Wireless sensor networks,Structured data,Fault prediction,Rules and/or logic based,Communication link trust (CLT) value analysis,Yes: rule-based logic,1,2-s2.0-85076521073
Manufacturing systems,Sensor data,Predictive maintenance,Data driven,Not specified in abstract,No,2,2-s2.0-85145575063
Industrial vibration monitoring,"Sensor data, Time series",Fault prediction,Data driven,Machine learning algorithms,No,4,2-s2.0-85156181804
Laboratory equipment management,"['Sensor data', 'Time series']",['Fault prediction'],Data driven,"['Recurrent neural networks (RNNs)', 'Convolutional neural networks (CNNs)']",No,4,2-s2.0-105009776934
Industrial machinery / Industry 4.0,Sensor data,Fault prediction,Hybrid,Fuzzy Axiomatic Design,Yes: Fuzzy Axiomatic Design,2,2-s2.0-85088744993
Steel manufacturing,Sensor data,"Process optimization, Quality control",Data driven,Not explicitly specified,No,3,2-s2.0-85112020066
Commercial buildings,Sensor data,Fault prediction,Physics informed,Physics-guided control and fault detection,Yes: physics-guided control and fault detection,4,2-s2.0-105000454768
Aerospace/Aircraft maintenance,Sensor data,Structural health monitoring / Fault prediction,Data driven,,No,2,2-s2.0-85165968581
Aero-engine systems,"Sensor data, Time series",Remaining Useful Life,Data driven,"['Time-series decomposition modeling', 'Similarity comparisons']",No,4,2-s2.0-85140376549
Aerospace systems (helicopter health monitoring),Sensor data,Fault prediction,Data driven,"['GAN', 'Convolutional auto-encoder (CAE)', 'SVM']",No,2,2-s2.0-85169440183
Aerospace combustor systems,Sensor data,Fault prediction,Data driven,,No,3,2-s2.0-85068175790
Smart buildings,"Sensor data, Time series","Energy consumption prediction, Fault detection",Data driven,CNN,No,4,2-s2.0-85200798142
Electrical transformer systems,Sensor data,Remaining Useful Life,Data driven,PSO-LSTM,No,4,2-s2.0-85145878386
Oilfield production systems,"Structured data, Images",Fault prediction,Data driven,"Deep learning, Feature fusion",No,4,2-s2.0-85145256941
Electrical systems or equipment (specifically related to partial discharge detection in electrical insulation or high-voltage systems),Sensor data,Fault prediction,Data driven,Sensor clustering algorithms,Yes: clustering and signal separation methods are interpretable,3,2-s2.0-105000374004
Spacecraft systems,Images,Detection of orbiting sample container,Hybrid,None specified,No,0,2-s2.0-85207678963
