Domain,Domain category,Domain subcategory,Input,Output,Modeling category,Modeling technique,Explainability,Relevance,EID,Output_list,Output_categories
Industrial manufacturing,Industrial systems,,structured data,Fault prediction,Data driven,"AI, ML, DL, IoT",No,3.0,2-s2.0-85147922395,['fault prediction'],['Fault prediction']
Manufacturing,Manufacturing systems,,sensor data,Not explicitly specified (implies process optimization and maintenance improvements),Hybrid,AI and ML,No,4.0,2-s2.0-85207588876,['not explicitly specified (implies process optimization and maintenance improvements)'],['Other']
Manufacturing / Industry 4.0 / Smart factories,Manufacturing systems,,"big data analytics, sensors, real-time monitoring data","Energy consumption prediction, Anomaly detection, Failure prediction",Data driven,"['Machine learning', 'AI']",No,2.0,2-s2.0-105005655012,"['energy consumption prediction', ' anomaly detection', ' failure prediction']","['Fault prediction', 'Fault detection']"
Smart manufacturing,Manufacturing systems,,sensor data,Predictive maintenance,Data driven,Not specified,No,3.0,2-s2.0-85142768836,['predictive maintenance'],['Predictive maintenance']
Industrial control systems,Industrial systems,,sensor data,Fault prediction,Data driven,CNN-LSTM,No,4.0,2-s2.0-85192022967,['fault prediction'],['Fault prediction']
Industrial motors and drives,Industrial systems,,sensor data,Fault prediction,Data driven,Extended Kalman Filter (EKF),No,2.0,2-s2.0-85098658029,['fault prediction'],['Fault prediction']
Industrial control systems,Industrial systems,,sensor data,Fault prediction,Data driven,Advanced signal processing,Yes: Interpretable signal processing techniques,2.0,2-s2.0-85090382958,['fault prediction'],['Fault prediction']
Industrial systems,Industrial systems,,sensor data,Remaining Useful Life,Data driven,,No,4.0,2-s2.0-105009064328,['remaining useful life'],['Remaining Useful Life']
Commercial buildings,Commercial buildings,,"structured data, sensor data","Fault prediction, Remaining Useful Life",Data driven,Machine learning,No,4.0,2-s2.0-105010995727,"['fault prediction', ' remaining useful life']","['Fault prediction', 'Remaining Useful Life']"
Chip manufacturing,Chip manufacturing,,sensor data,Fault prediction,Rules and/or logic based,"Linear Matrix Inequalities (LMI), Lyapunov functions, observers","Yes: Linear Matrix Inequalities (LMI), Lyapunov functions, observer-based residual generator",4.0,2-s2.0-85141359166,['fault prediction'],['Fault prediction']
Chip manufacturing,Chip manufacturing,,sensor data,Fault prediction,Rules and/or logic based,"Luenberger observer, logic circuit",Yes: Logic circuit,2.0,2-s2.0-85094190282,['fault prediction'],['Fault prediction']
Industrial systems,Industrial systems,,sensor data,Monitoring / Real-time status,Other,None specified,Yes: rule-based or simple threshold-based monitoring,3.0,2-s2.0-85123518968,['monitoring / real-time status'],['Other']
Industry 4.0 / General industrial systems,Industrial systems,,"sensor data, real-time data",Predicted system behavior / Potential problems,Hybrid,"Not explicitly specified, but likely includes data-driven and physics-based models",No,2.0,2-s2.0-85202275060,['predicted system behavior / potential problems'],['Other']
Industrial systems / Gear fault diagnosis,Industrial systems,,sensor data,Fault prediction,Data driven,"Quaternion singular value decomposition, Local characteristic-scale decomposition",No,2.0,2-s2.0-85135519271,['fault prediction'],['Fault prediction']
Industrial power utilities,Industrial systems,,sensor data,Fault prediction,Data driven,Simulation-based comparison,No,2.0,2-s2.0-85105552076,['fault prediction'],['Fault prediction']
Commercial buildings,Commercial buildings,,sensor data,Remaining Useful Life,Data driven,"Not explicitly specified, but likely machine learning or AI algorithms analyzing sensor data",No,3.0,2-s2.0-105002277816,['remaining useful life'],['Remaining Useful Life']
Industrial systems (specifically induction motors and industrial drives),Industrial systems,,input–output data,Fault prediction,Rules and/or logic based,"Parity space, subspace identification, wavelet transformation, Gaussian likelihood ratio","Yes: Residual-based fault diagnosis, thresholding with Gaussian likelihood ratio",4.0,2-s2.0-85143687600,['fault prediction'],['Fault prediction']
Commercial buildings,Commercial buildings,,sensor data,Fault prediction,Hybrid,"['Rule-based analysis', 'Machine learning']",Yes: rule-based analysis,5.0,2-s2.0-85183325588,['fault prediction'],['Fault prediction']
Industrial systems,Industrial systems,,sensor data,Fault prediction,Data driven,['Random Forest'],Yes: Random Forest feature importance,4.0,2-s2.0-105001116839,['fault prediction'],['Fault prediction']
Industrial systems,Industrial systems,,sensor data,Fault prediction,Data driven,"['Parity space approach (PSA)', 'Principal component analysis (PCA)', 'Independent component analysis (ICA)', 'Minimum mean square error (MMSE)']","Yes: PCA, ICA, MMSE",1.0,2-s2.0-85191697251,['fault prediction'],['Fault prediction']
Industrial IoT environments,Industrial systems,,sensor data,Root cause analysis,Data driven,LSTM,No,3.0,2-s2.0-85214537606,['root cause analysis'],['Root cause analysis']
Industrial machinery / manufacturing,Industrial systems,,sensor data,Fault prediction,Data driven,"GAN, OC-SVM, Autoencoder, Kalman Filter",No,4.0,2-s2.0-85115365950,['fault prediction'],['Fault prediction']
Chip manufacturing,Chip manufacturing,,"sensor data, time series",Fault prediction,Knowledge based,"Graph Neural Networks (GNN), Autoencoder",Yes: graph structure and physical prior constraints,4.0,2-s2.0-105006810976,['fault prediction'],['Fault prediction']
"Industrial systems (general), with specific relevance to predictive maintenance applications",Industrial systems,,sensor data,Fault prediction,Data driven,"Convex Nonparametric Least Squares (CNLS), Support Vector Machine (SVM)","Yes: CNLS (nonparametric regression), SVM (can be interpretable with proper features)",4.0,2-s2.0-85188080759,['fault prediction'],['Fault prediction']
Industrial systems / Rotating machinery,Industrial systems,Rotating machinery / Bearings,"sensor data, time series",Fault prediction,Data driven,"['YOLO V7', 'Fiber Bragg Grating (FBG) sensors']",No,3.0,2-s2.0-85175169433,['fault prediction'],['Fault prediction']
Industrial systems (specifically steam traps in manufacturing plants),Industrial systems,,"['sensor data', 'time series', 'operational parameters', 'open data (e.g., weather, holidays)']","['Fault prediction', 'Diagnostic visualization']",Data driven,"['Transformer encoder–decoder model', 'Random forest', 'Gradient boosting', 'Variational autoencoder']",Yes: Diagnostic projection and visualization,4.0,2-s2.0-86000509532,"['fault prediction', 'diagnostic visualization']","['Fault prediction', 'Fault diagnosis']"
Chip manufacturing,Chip manufacturing,,sensor data,Fault prediction,Data driven,Multilayer perceptron (MLP),No,2.0,2-s2.0-85149990409,['fault prediction'],['Fault prediction']
Chip manufacturing,Chip manufacturing,,sensor data,['Fault prediction'],Rules and/or logic based,['Sliding Mode Observer (SMO)'],Yes: Sliding Mode Observer (SMO),4.0,2-s2.0-85208507182,['fault prediction'],['Fault prediction']
Industrial systems / Pump systems,Industrial systems,,sensor data,Fault prediction,Hybrid,Bayesian inference,Yes: Bayesian methods,4.0,2-s2.0-85143662069,['fault prediction'],['Fault prediction']
Industrial systems,Industrial systems,,"sensor data, time series",Anomaly detection,Data driven,"Mutual information, Graph embedding, Graph attention mechanism",Yes: Mutual information and graph embedding provide interpretability,4.0,2-s2.0-85190294040,['anomaly detection'],['Fault detection']
Industrial automation,Industrial systems,,sensor data,Fault prediction,Data driven,AI-based control framework,No,3.0,2-s2.0-85085107480,['fault prediction'],['Fault prediction']
Industrial IoT devices in manufacturing,Industrial systems,,structured data,Not specified in the abstract,Other,Not specified,No,0.0,2-s2.0-85203979287,['not specified in the abstract'],['Other']
Industrial systems with sensors in digital twin applications,Industrial systems,,sensor data,Other (sensor performance assessment and system-level simulation),Data driven,"Simulations and benchmarking (e.g., sensor modeling, validation with real data)",Yes: Interpretable sensor models and simulation benchmarks,2.0,2-s2.0-85172673104,['other (sensor performance assessment and system-level simulation)'],['Other']
Industrial automation,Industrial systems,,sensor data,Other,Other,Other,No,0.0,2-s2.0-85203990735,['other'],['Other']
HVAC,HVAC,,sensor data,['Fault prediction'],Data driven,"['Autoencoders', 'Artificial Neural Network']",Yes: Autoencoders and neural network (with some interpretability in the autoencoder features),4.0,2-s2.0-85175032888,['fault prediction'],['Fault prediction']
Industrial fans/ventilation systems,Industrial systems,,sensor data,Fault prediction,Data driven,CNN,No,4.0,2-s2.0-85184511497,['fault prediction'],['Fault prediction']
Power electronics / Industrial electrical systems,Industrial systems,,sensor data,Fault prediction,Rules and/or logic based,Residual generation method using GPI and MRAS observers,Yes: Residual-based fault detection,2.0,2-s2.0-85184482689,['fault prediction'],['Fault prediction']
Textile manufacturing / Weft knitting machines,Manufacturing systems,textile,sensor data,Fault prediction,Data driven,"Self-learning algorithm, fault detection algorithm",Yes: Fault detection algorithm,4.0,2-s2.0-85175244885,['fault prediction'],['Fault prediction']
Industrial systems / IIoT / Predictive maintenance,Industrial systems,,sensor data,Fault prediction,Data driven,Not specifically mentioned,No,3.0,2-s2.0-85093883601,['fault prediction'],['Fault prediction']
Chip manufacturing,Chip manufacturing,,sensor data,Fault prediction,Data driven,Feature extraction from time and frequency domain signals,"Yes: interpretable features (time and frequency domain features, harmonics)",4.0,2-s2.0-85184719555,['fault prediction'],['Fault prediction']
Industrial control systems,Industrial systems,,sensor data,Fault prediction,Data driven,Ensemble classifier,Yes: lightweight ensemble classifier,3.0,2-s2.0-85141740546,['fault prediction'],['Fault prediction']
Industrial systems,Industrial systems,,sensor data,Diagnostics and supervision,Data driven,Not specified,No,2.0,2-s2.0-85180714059,['diagnostics and supervision'],['Other']
Commercial buildings,Commercial buildings,,time series,Fault prediction,Data driven,"Threshold and time-series methods, DBSCAN clustering",Yes: Threshold and clustering-based approaches,4.0,2-s2.0-85198229499,['fault prediction'],['Fault prediction']
Commercial buildings,Commercial buildings,,"['sensor data', 'time series', 'structured data']",['Energy consumption prediction'],Data driven,,No,3.0,2-s2.0-85174076260,['energy consumption prediction'],['Fault prediction']
Chip manufacturing,Chip manufacturing,,sensor data,Fault prediction,Data driven,Artificial intelligence methods,Yes: visual monitoring and diagnostic curves,3.0,2-s2.0-85187466065,['fault prediction'],['Fault prediction']
HVAC,HVAC,,sensor data,Fault prediction,Data driven,,No,4.0,2-s2.0-85163880648,['fault prediction'],['Fault prediction']
Manufacturing industry,Manufacturing systems,,structured data,Fault prediction,Data driven,"Extreme Learning Machine (ELM), with variants including weighted-ELM, radial basis function (RBF) kernel, particle swarm optimization (PSO)",No,4.0,2-s2.0-85168869851,['fault prediction'],['Fault prediction']
Industrial systems,Industrial systems,,sensor data,Remaining Useful Life,Data driven,Not explicitly specified,No,4.0,2-s2.0-85183676648,['remaining useful life'],['Remaining Useful Life']
Semiconductor manufacturing,Manufacturing systems,,sensor data,Fault prediction,Data driven,"['K-Means', 'Neural Network']",No,4.0,2-s2.0-85128732618,['fault prediction'],['Fault prediction']
Internet of Things (IoT) in industrial systems,Industrial systems,,sensor data,Fault prediction,Data driven,Not specified,No,4.0,2-s2.0-85084377883,['fault prediction'],['Fault prediction']
Industrial systems with electric motors,Industrial systems,,"sensor data, time series",Fault prediction,Data driven,"Convolutional Autoencoder (CAE), Deep Neural Network (DNN)",No,4.0,2-s2.0-85206287221,['fault prediction'],['Fault prediction']
Industrial motors / Electrical machinery,Industrial systems,,"sensor data, time series, images",Fault prediction,Data driven,"Capsule network, Attention mechanism (ECA)",No,4.0,2-s2.0-85202440574,['fault prediction'],['Fault prediction']
Chip manufacturing,Chip manufacturing,,sensor data,Fault prediction,Rules and/or logic based,Redundancy-based fault detection,Yes: Rules-based,1.0,2-s2.0-85104686161,['fault prediction'],['Fault prediction']
Gas sensor arrays in industrial applications,Industrial systems,,sensor data,Fault prediction,Data driven,"['Principal Component Analysis (PCA)', 'Kernel PCA (KPCA)']",Yes: PCA and KPCA are widely interpretable techniques,3.0,2-s2.0-85131163205,['fault prediction'],['Fault prediction']
Industrial systems (general),Industrial systems,,sensor data,Remaining Useful Life,Data driven,"['Random Forest Regression', 'Multiple Linear Regression', 'Decision Tree Regression', 'Deep Learning Regression', 'Convolutional network with LeNet-5 Architecture']",No,4.0,2-s2.0-85194246285,['remaining useful life'],['Remaining Useful Life']
Kinematic chains in industrial settings,Industrial systems,,"infrared thermal images, statistical indicators from thermographic data",Fault prediction,Data driven,Histogram and statistical indicators analysis,Yes: statistical indicators and histograms,2.0,2-s2.0-85198381092,['fault prediction'],['Fault prediction']
Industrial systems / Rotating machinery,Industrial systems,Rotating machinery / Bearings,"sensor data, time series",Fault prediction,Data driven,FFT (Fast Fourier Transform),Yes: FFT,3.0,2-s2.0-85190302271,['fault prediction'],['Fault prediction']
Gearbox systems / Rotating machinery in industrial applications,Industrial systems,Rotating machinery / Bearings,sensor data,Fault prediction,Data driven,Geometric classification,Yes: geometric classification,4.0,2-s2.0-85184489772,['fault prediction'],['Fault prediction']
Chip manufacturing,Chip manufacturing,,sensor data,Remaining Useful Life,Data driven,Convolutional Neural Network (CNN),No,4.0,2-s2.0-105000777945,['remaining useful life'],['Remaining Useful Life']
HVAC,HVAC,,structured data,Fault prediction,Physics based,Flow resistance characteristics model,Yes: physics-based model,4.0,2-s2.0-85097941706,['fault prediction'],['Fault prediction']
Industrial systems,Industrial systems,,sensor data,Fault prediction,Rules and/or logic based,Threshold-based decision using ADC voltage levels,Yes: Rule-based thresholds,4.0,2-s2.0-85126321782,['fault prediction'],['Fault prediction']
HVAC,HVAC,,"sensor data, time series",Fault prediction,Data driven,Machine learning classifier,No,4.0,2-s2.0-85188737932,['fault prediction'],['Fault prediction']
Commercial buildings,Commercial buildings,,"sensor data, time series",['Fault prediction'],Hybrid,"['Support Vector Regression (SVR)', 'Recurrent Neural Network (RNN)', 'Rule-based models']",Yes: Rule-based models,4.0,2-s2.0-85125190565,['fault prediction'],['Fault prediction']
Commercial buildings,Commercial buildings,,sensor data,Fault prediction,Hybrid,"['Time-series statistical methods', 'Rule-based techniques', 'NN-DBSCAN with transfer learning']",Yes: Rules and domain-inspired methods,4.0,2-s2.0-85196103563,['fault prediction'],['Fault prediction']
HVAC,HVAC,,structured data,Fault prediction,Rules and/or logic based,Fault auto-correction algorithms,Yes: rules-based / logic based,4.0,2-s2.0-85085865425,['fault prediction'],['Fault prediction']
Commercial buildings,Commercial buildings,,sensor data,Fault prediction,Rules and/or logic based,"Principal Component Analysis (PCA), Hotelling’s T-squared, SPE","Yes: PCA, Hotelling’s T-squared, SPE",5.0,2-s2.0-85106287167,['fault prediction'],['Fault prediction']
Commercial buildings,Commercial buildings,,"sensor data, time series",Fault prediction,Hybrid,"['EWEEMD', 'ICKNN']",Yes: Rule-based features and feature extraction contribute to interpretability,4.0,2-s2.0-85172884805,['fault prediction'],['Fault prediction']
Industrial motors (specifically induction motors),Industrial systems,,"sensor data, voltage and current measurements",Fault prediction,Physics based,"Phasor analysis, Negative sequence component analysis","Yes: signature analysis, phasor compensation technique",3.0,2-s2.0-85129046194,['fault prediction'],['Fault prediction']
Industrial high-temperature components,Industrial systems,,sensor data,Fault prediction,Physics based,"Hyper projection-based reduced order models (HPROM), Non-intrusive inverse hyper projection model (NII-HPROM)",Yes: physics-based models and inverse computation,4.0,2-s2.0-105002571317,['fault prediction'],['Fault prediction']
Industrial manufacturing (specifically electric motor production),Industrial systems,,sensor data,Fault prediction,Data driven,"Finite Element Model simulation, graphical visualization",Yes: graphical visualization,4.0,2-s2.0-85117332941,['fault prediction'],['Fault prediction']
HVAC,HVAC,,sensor data,Fault prediction,Data driven,Bayesian networks (BNs),Yes: Bayesian networks,4.0,2-s2.0-85195406677,['fault prediction'],['Fault prediction']
HVAC,HVAC,,sensor data,Fault prediction,Data driven,Not explicitly specified,No,4.0,2-s2.0-85134623398,['fault prediction'],['Fault prediction']
Commercial buildings,Commercial buildings,,"sensor data, building performance parameters, occupant feedback","Fault prediction, Remaining Useful Life",Data driven,"Bayesian network, XGB, MLP, Random Forest","Yes: Bayesian network, ontology graphs",4.0,2-s2.0-85151466333,"['fault prediction', ' remaining useful life']","['Fault prediction', 'Remaining Useful Life']"
Industrial motor drive systems,Industrial systems,,sensor data,Fault prediction,Data driven,Signal-based fault detection algorithm,Yes: Signal method,2.0,2-s2.0-85108621573,['fault prediction'],['Fault prediction']
Chip manufacturing,Chip manufacturing,,sensor data,Fault prediction,Data driven,Multilayer perceptron (MLP) neural network,No,2.0,2-s2.0-85138834753,['fault prediction'],['Fault prediction']
Commercial buildings,Commercial buildings,,sensor data,Fault prediction,Data driven,Not explicitly specified,Yes: Rules and/or logic based,4.0,2-s2.0-85140059028,['fault prediction'],['Fault prediction']
Industrial manufacturing / Industry 4.0,Industrial systems,,sensor data,Monitoring / Environmental and equipment condition monitoring,Other,None specified,No,1.0,2-s2.0-85099260114,['monitoring / environmental and equipment condition monitoring'],['Other']
HVAC,HVAC,,sensor data,Fault prediction,Data driven,SVM,No,4.0,2-s2.0-85163538120,['fault prediction'],['Fault prediction']
HVAC,HVAC,,"sensor data, time series",Fault prediction,Data driven,"Autoencoder, Classifier, Thresholder (deep and shallow components), Supervised learning",No,5.0,2-s2.0-85148330904,['fault prediction'],['Fault prediction']
Chiller systems in HVAC or industrial cooling facilities,HVAC,,sensor data,Fault prediction,Data driven,Optimization algorithm + Machine Learning algorithms,Yes: feature selection and optimization process are interpretable,4.0,2-s2.0-85183989513,['fault prediction'],['Fault prediction']
Refrigeration systems / HVAC&R industry,HVAC,,"simulation models/algorithms, experimental data",Control performance / Virtual pressure measurement,Data driven,"Simulation, Algorithm-based",Yes: Interpretable models based on compressor and valve characteristics,4.0,2-s2.0-85091886137,['control performance / virtual pressure measurement'],['Other']
Commercial buildings,Commercial buildings,,"sensor data, data collection through smart metering and sensors, big data and building automation, building energy simulation","Fault detection and diagnosis, Fire alarming, Building energy safety, Climate change adaptation",Data driven,"Supervised learning, Unsupervised learning, Reinforcement learning",No,4.0,2-s2.0-85168557475,"['fault detection and diagnosis', ' fire alarming', ' building energy safety', ' climate change adaptation']","['Other', 'Fault detection']"
HVAC,HVAC,,sensor data,Fault prediction,Data driven,"Decision Tree classifier, Unsupervised clustering, Dimensional reduction techniques",Yes: Decision Tree classifier,4.0,2-s2.0-85194388760,['fault prediction'],['Fault prediction']
Building thermal systems,Commercial buildings,,sensor data,Sensor calibration / Fault detection,Data driven,"Autoencoder, Monte Carlo sampling","Yes: Autoencoder (interpretable in the context of neural networks, especially with related analysis)",4.0,2-s2.0-85190071064,['sensor calibration / fault detection'],"['Other', 'Fault detection']"
Industrial machinery,Industrial systems,,sensor data,Fault prediction,Data driven,"Machine learning algorithms (unspecified), spectral analysis",No,3.0,2-s2.0-85144620308,['fault prediction'],['Fault prediction']
Chip manufacturing,Chip manufacturing,,"sensor data, time series","Remaining Useful Life, Fault prediction",Hybrid,"['Hidden Markov Model', 'Deep Neural Network (GRU)', 'Principal Component Analysis (PCA)', 'K-means']",No,4.0,2-s2.0-85152384343,"['remaining useful life', ' fault prediction']","['Fault prediction', 'Remaining Useful Life']"
Industrial drive systems / Electric motor control,Industrial systems,,structured data,Fault prediction,Rules and/or logic based,Luenberger Observer,Yes: Rules and logic based,2.0,2-s2.0-85117337195,['fault prediction'],['Fault prediction']
Industrial systems (gearbox/fault detection in motors),Industrial systems,,"sensor data, time series",['Fault prediction'],Data driven,"['Genetic algorithms', 'Linear discriminant analysis', 'Neural network']",Yes: Linear discriminant analysis,2.0,2-s2.0-85146642646,['fault prediction'],['Fault prediction']
Industrial press / Paper manufacturing,Industrial systems,,sensor data,['Sensor data prediction'],Data driven,"['XGBoost', 'Artificial Neural Networks']",No,4.0,2-s2.0-85138005842,['sensor data prediction'],['Fault prediction']
Manufacturing systems,Manufacturing systems,,time series,Fault prediction,Data driven,Time series analysis / Monitoring algorithms,Yes: rule-based / threshold-based monitoring,4.0,2-s2.0-105009331342,['fault prediction'],['Fault prediction']
Industrial systems / Mechanical systems (specifically lock mechanisms),Industrial systems,,degradation data,Fault prediction,Knowledge based,Bayesian network,Yes: Bayesian network,0.0,2-s2.0-85100273823,['fault prediction'],['Fault prediction']
Industrial healthcare imaging systems,Industrial systems,,sensor data,Fault prediction,Data driven,Support Vector Machines (SVMs),No,4.0,2-s2.0-85133282892,['fault prediction'],['Fault prediction']
"Industrial machines (e.g., turbofan engines, bearings)",Industrial systems,Rotating machinery / Bearings,sensor data,Remaining Useful Life,Data driven,"['Transformer', 'Self-attention']",No,3.0,2-s2.0-85211974310,['remaining useful life'],['Remaining Useful Life']
Chip manufacturing,Chip manufacturing,,"sensor data, time series",Remaining Useful Life,Data driven,"Isometric Mapping (ISOMAP), features extraction",Yes: feature-based and entropy-based methods,4.0,2-s2.0-85192889321,['remaining useful life'],['Remaining Useful Life']
Industrial systems,Industrial systems,,sensor data,Fault prediction,Data driven,"['Markov chain', 'Evidence theory']",Yes: Evidence theory,4.0,2-s2.0-85168009136,['fault prediction'],['Fault prediction']
Commercial buildings,Commercial buildings,,sensor data,Fault prediction,Data driven,"['Autoencoder', 'Bayesian inference']",Yes: Bayesian inference,4.0,2-s2.0-85084615880,['fault prediction'],['Fault prediction']
Industrial systems,Industrial systems,,sensor data,Fault prediction,Hybrid,"['Takagi-Sugeno fuzzy model', 'Lyapunov function', 'Linear matrix inequalities']",Yes: Fuzzy logic and Lyapunov-based techniques,4.0,2-s2.0-85205290367,['fault prediction'],['Fault prediction']
Rotating machinery,Rotating machinery,Rotating machinery / Bearings,sensor data,Fault prediction,Data driven,Deep neural network (implied by 'multi-scale deep feature memory and recovery network'),No,2.0,2-s2.0-85217358412,['fault prediction'],['Fault prediction']
Additive manufacturing,Manufacturing systems,,"sensor data, images",Fault prediction,Data driven,Convolutional Neural Network (CNN),No,4.0,2-s2.0-85162174646,['fault prediction'],['Fault prediction']
"Industrial machinery / Rotating machinery (bearings, mechanical components)",Industrial systems,Rotating machinery / Bearings,sensor data,Remaining Useful Life,Data driven,"['Relevance Vector Machine (RVM)', 'Deep separable convolutional gated recurrent network (DSCGRN)']",No,4.0,2-s2.0-85148323452,['remaining useful life'],['Remaining Useful Life']
HVAC,HVAC,,sensor data,Fault prediction,Data driven,Cluster analysis,Yes: visualization of patterns,4.0,2-s2.0-85090579817,['fault prediction'],['Fault prediction']
Industrial pumps,Industrial systems,,sensor data,Fault prediction,Data driven,Multi-Layer Perceptron,No,3.0,2-s2.0-85213407785,['fault prediction'],['Fault prediction']
Industrial processes,Industrial systems,,"sensor data, time series","Fault prediction, Fault detection, Fault diagnosis",Data driven,Machine learning,No,3.0,2-s2.0-105004922826,"['fault prediction', ' fault detection', ' fault diagnosis']","['Fault prediction', 'Fault detection', 'Fault diagnosis']"
Industrial processes,Industrial systems,,"sensor data, time series","Remaining Useful Life, Fault prediction",Data driven,"Neural networks, Convex optimisation",No,2.0,2-s2.0-85149769580,"['remaining useful life', ' fault prediction']","['Fault prediction', 'Remaining Useful Life']"
Industrial machinery,Industrial systems,,"sensor data, time series",Remaining Useful Life,Data driven,"Transformer, Kernel smoothing, Reweighting",No,4.0,2-s2.0-85191311100,['remaining useful life'],['Remaining Useful Life']
Data storage / Data center equipment,Data center,,time series,Fault prediction,Data driven,"XGBoost, SHAP",Yes: SHAP,4.0,2-s2.0-105002147938,['fault prediction'],['Fault prediction']
HVAC,HVAC,,"sensor data, time series",['Fault prediction'],Bayesian,Bayesian method,Yes: Bayesian inference,4.0,2-s2.0-85091658357,['fault prediction'],['Fault prediction']
Commercial buildings,Commercial buildings,,"sensor data, building information modeling (bim), occupants' feedback","Fault prediction, Remaining Useful Life",Hybrid,"Bayesian networks, Ontology graphs","Yes: Bayesian networks, ontology graphs",4.0,2-s2.0-85145262458,"['fault prediction', ' remaining useful life']","['Fault prediction', 'Remaining Useful Life']"
HVAC,HVAC,,sensor data,Remaining Useful Life,Hybrid,"APAR, Machine learning","Yes: Rules (APAR), Yes: Machine learning (interpretability depends on technique used)",4.0,2-s2.0-85125646504,['remaining useful life'],['Remaining Useful Life']
Industrial systems,Industrial systems,,"sensor data, time series, structured data",Fault prediction,Data driven,Graph convolutional network (GCN),No,4.0,2-s2.0-85150467666,['fault prediction'],['Fault prediction']
Commercial buildings,Commercial buildings,,sensor data,Fault prediction,Data driven,Random Forest,"Yes: Correlation analysis, feature screening strategy",4.0,2-s2.0-85111981688,['fault prediction'],['Fault prediction']
Large rotating machinery,Rotating machinery,Rotating machinery / Bearings,sensor data,Fault prediction,Data driven,"Graph Attention Network (GAT), Multi-head GAT (MMHGAT)",Yes: attention mechanism,4.0,2-s2.0-85163819764,['fault prediction'],['Fault prediction']
Manufacturing - Milling and Tool Wear Prediction,Manufacturing systems,,sensor data,Tool wear prediction,Data driven,"Encoder-Decoder LSTM, Random Forest Regressor",No,4.0,2-s2.0-85203263451,['tool wear prediction'],['Fault prediction']
HVAC,HVAC,,sensor data,Fault prediction,Data driven,Data-driven AFDD methods,Yes: rule-based or interpretable techniques,4.0,2-s2.0-85138999619,['fault prediction'],['Fault prediction']
HVAC,HVAC,,sensor data,Fault prediction,Data driven,Virtual refrigerant charge sensor (VRC),Yes: rule-based thresholding and characteristic fault features,4.0,2-s2.0-85113287609,['fault prediction'],['Fault prediction']
Industrial systems,Industrial systems,,sensor data,Fault prediction,Data driven,Graph neural network (GNN),No,2.0,2-s2.0-85169819909,['fault prediction'],['Fault prediction']
HVAC,HVAC,,sensor data,Fault prediction,Knowledge based,Bayesian network (DBN),Yes: Bayesian network,4.0,2-s2.0-85088099809,['fault prediction'],['Fault prediction']
Heat exchangers in industrial systems,Industrial systems,,sensor data,Fouling resistance estimation,Data driven,"Recurrent neural network (RNN), Cascaded forward network (CFN), Levenberg–Marquardt algorithm",No,4.0,2-s2.0-105006652656,['fouling resistance estimation'],['Other']
Manufacturing / Milling processes,Manufacturing systems,,sensor data,Fault prediction,Data driven,Cosine Similarity,Yes: Cosine Similarity,3.0,2-s2.0-105000115108,['fault prediction'],['Fault prediction']
Paper cup manufacturing,Manufacturing systems,,images,Fault prediction,Data driven,"['Haarcascade', 'YOLOv5x']",No,2.0,2-s2.0-85184821454,['fault prediction'],['Fault prediction']
Chiller plant in building applications,Commercial buildings,,sensor data,Fault prediction,Hybrid,Pattern recognition,Yes: Clustering and feature analysis,4.0,2-s2.0-85091080783,['fault prediction'],['Fault prediction']
Industrial systems (general),Industrial systems,,sensor data,Fault prediction,Hybrid,"['Principal Component Analysis (PCA)', 'Model-based diagnosis']",Yes: PCA (interpretable) and model-based diagnosis,3.0,2-s2.0-85150777102,['fault prediction'],['Fault prediction']
Industrial systems (specifically petrochemical plants),Industrial systems,,sensor data,Fault prediction,Data driven,"['Artificial Neural Network (ANN)', 'Particle Swarm Optimization (PSO)', 'Gradient Boosting Tree (GBT)', 'Random Forest (RF)']",No,4.0,2-s2.0-85131864524,['fault prediction'],['Fault prediction']
Chip manufacturing,Chip manufacturing,,sensor data,Fault prediction,Data driven,"['CycleGAN', 'Gaussian Naive Bayes', 'Adaptive Boosting', 'XGBoost', 'LightGBM']",No,4.0,2-s2.0-85208759549,['fault prediction'],['Fault prediction']
Manufacturing systems,Manufacturing systems,,"['sensor data', 'time series', 'structured data', 'unstructured data']",['Root cause analysis'],Hybrid,"['Knowledge graphs', 'Graph pattern matching', 'Neural reasoning', 'Case-Based Reasoning', 'Node embeddings']",Yes: knowledge graphs and symbolic reasoning techniques,4.0,2-s2.0-85217084050,['root cause analysis'],['Root cause analysis']
HVAC,HVAC,,sensor data,Fault prediction,Data driven,Ensemble BiLSTM with attention mechanism,Yes: attention mechanism,4.0,2-s2.0-85132324643,['fault prediction'],['Fault prediction']
Industrial production equipment,Industrial systems,,sensor data,Fault prediction,Data driven,Semantic segmentation model,Yes: interpretable segmentation,4.0,2-s2.0-105009044287,['fault prediction'],['Fault prediction']
Commercial buildings,Commercial buildings,,sensor data,Fault prediction,Data driven,Change point detection,Yes: Decision tree,4.0,2-s2.0-85087569841,['fault prediction'],['Fault prediction']
Process industry / Industrial production systems,Industrial systems,,sensor data,Fault prediction,Hybrid,"Residual-based diagnosis, Satisfiability Modulo Linear Arithmetic, threshold values, symbolic diagnosis",Yes: Residuals and symbolic diagnosis,3.0,2-s2.0-85122278707,['fault prediction'],['Fault prediction']
