Domain,Input,Output,Modeling category,Modeling technique,Explainability,Relevance,EID
"Industrial systems (general, with a specific case in hydraulic circuits in steel manufacturing)",Sensor data,Fault prediction,Hybrid,Expert Knowledge integration with data-driven methods,Yes: Expert Knowledge integration,3,2-s2.0-85124962630
Industrial systems,Sensor data,Fault prediction,Hybrid,Extended Kalman Filter (EKF),"Yes: Kalman filter (interpretable, state estimation)",2,2-s2.0-85106514921
Industrial process control systems,Sensor data,Fault prediction,Data driven,"['Dynamic inner Principal Component Analysis (DiPCA)', 'Maximum Ratio Divergence Analysis (MRDA)']",Yes: Discriminant analysis methods,3,2-s2.0-85126887524
Transportation sector,Sensor data,Fault prediction,Data driven,Feature extraction algorithm from electric current profile,Yes: Feature importance/selection,3,2-s2.0-85124170545
Road transport,"Sensor data, Images, Structured data (location tagging, complaints, prioritization)","Fault prediction, Remaining Useful Life",Data driven,Machine Learning,No,1,2-s2.0-85112838500
Mechanical systems / Machinery (specifically gear systems in machines),Sensor data,Fault prediction,Rules and/or logic based,Key-delay technology (rule-based) and fault diagnosis logic,Yes: Interpretable rules and logic-based methods,2,2-s2.0-85123438094
Other,Structured data,Fault prediction,Data driven,D-S evidence theory,Yes: Evidence theory,2,2-s2.0-85094601291
Rail vehicle transmission system,Sensor data,Fault prediction,Data driven,"['Support Vector Machine (SVM)', 'Fuzzy integral fusion algorithm (FI)']",Yes: rule-based fusion and SVM posterior probabilities,2,2-s2.0-85124648286
Industrial pneumatic systems,Sensor data,Fault prediction,Data driven,RUSBoosted bagged trees,No,3,2-s2.0-85123450051
Wireless Sensor Networks (WSN),Sensor data,Fault prediction,Statistics based,Statistical analysis (mean and z-test),Yes: statistical analysis,1,2-s2.0-85089778862
Industrial machinery / Manufacturing systems,Sensor data,Remaining Useful Life,Data driven,Artificial Neural Network (ANN),No,3,2-s2.0-85088868137
Space systems / Satellite systems,Sensor data,Anomaly detection / Event recording,Data driven,Not specified,No,0,2-s2.0-85091694052
Wireless Sensor Networks,Sensor data,Fault prediction,Data driven,"SVM, Grey Wolf Optimization (GWO)",No,0,2-s2.0-85086313676
Electrical power distribution networks,Sensor data,Fault prediction,Rules and/or logic based,Charge integration method,Yes: rule-based method,2,2-s2.0-85116614369
Commercial buildings,Sensor data,Fault prediction,Hybrid,Rules and ML,Yes: rules-based,3,2-s2.0-85123379222
Embedded and IoT security systems,Structured data,Security assurance and recovery status,Other,"Custom lightweight protocols, FPGA-based implementation",Yes: rule-based protocols and security mechanisms,1,2-s2.0-85099457019
Industrial motors (specifically induction motors),Sensor data,Fault prediction,Data driven,"['1D CNN', 'Residual network', 'Dempster-Shafer evidence theory']",Yes: Dempster-Shafer evidence theory,3,2-s2.0-85123417161
Underwater vehicles,"['Sensor data', 'Time series']",['Fault prediction'],Rules and/or logic based,Dynamic model analysis,Yes: rule-based detection using sensor thresholds and dynamic modeling,2,2-s2.0-85098529414
Power distribution systems,"Sensor data, Time series, Images",Fault prediction,Data driven,Convolutional Neural Networks (CNN),Yes: Occlusion map,4,2-s2.0-85091344716
Paper and pulp industry,Sensor data,Anomaly detection,Data driven,Not specified,No,2,2-s2.0-85098465182
Chip manufacturing,"['Sensor data', 'Time series', 'Structured data', 'Images']",Fault prediction,Data driven,Autoencoder,No,4,2-s2.0-85102507156
Industrial systems / Manufacturing,Time series,Remaining Useful Life,Data driven,Artificial Neural Network (ANN),No,4,2-s2.0-85093694039
Chip manufacturing,Sensor data,Fault prediction,Data driven,Current estimation-based fault detection,Yes: Fault detection via current estimation,3,2-s2.0-85096551575
Large Generating Units (Hydropower and Steam Turbine),Sensor data,Fault prediction,Data driven,"Stresswave Analysis, IoT data analysis",No,4,2-s2.0-85111411061
Underwater robots / Marine systems,Sensor data,Fault prediction,Rules and/or logic based,"Diagnostic observers, Sliding mode observers",Yes: Residuals and diagnostic rules,2,2-s2.0-85124700969
Industrial motors / Electrical systems,Sensor data,Fault prediction,Data driven,Wavelet transform,Yes: wavelet transform,4,2-s2.0-85123279520
Electrical power distribution systems,Sensor data,Fault prediction,Physics based,Electromagnetic field simulation,Yes: Interpretable electromagnetic models,2,2-s2.0-85123274590
Internet of Things (IoT) systems,Sensor data,Fault prediction,Hybrid,['Kalman filter'],Yes: Kalman filter,2,2-s2.0-85105440130
Rotating machinery,Sensor data,Fault prediction,Data driven,"['Graph Attention Network (GATv2)', 'Grow-Shrink (GS) algorithm']",Yes: attention mechanism and graph structure provide interpretability,4,2-s2.0-85146674651
Aerospace engineering / Aircraft engines,Sensor data,Fault prediction,Hybrid,"Kalman filter bank, adaptive equilibrium manifold model (AEMM)",Yes: Model-based approach with explainable diagnostics,2,2-s2.0-85123419594
Manufacturing processes,Sensor data,Process control and maintenance optimization,Hybrid,"Evolutionary algorithm, Artificial neural network",No,3,2-s2.0-85127599751
Industrial ventilation systems,Sensor data,Fault prediction,Data driven,Signal processing / Data analysis,Yes: Signal processing analysis,4,2-s2.0-85124800608
Other,Sensor data,Fault prediction,Data driven,,No,0,2-s2.0-85101720976
UAV systems,Sensor data,Remaining Useful Life,Data driven,Not specified,No,3,2-s2.0-85114554619
Industrial systems,Sensor data,Fault prediction,Rules and/or logic based,Probability ratio testing,Yes: threshold-based rules,4,2-s2.0-85106478832
IoT systems,Structured data,Fault prediction,Data driven,"Partially Observable Markov Decision Process, Stochastic approximation algorithm",No,2,2-s2.0-85142214762
Industrial motors / UAM systems,"Sensor data, Time series",Fault prediction,Data driven,"Runge-Kutta method, Logistic function-based weighting","Yes: Logistic function-based weighting, sensor fusion",3,2-s2.0-85123386192
HVAC systems,Sensor data,Fault prediction,Hybrid,Bayesian network,Yes: Bayesian network,5,2-s2.0-85132425415
Industrial drilling equipment,Sensor data,Remaining Useful Life,Data driven,Not explicitly specified,No,3,2-s2.0-85112109444
Microgrid / Power systems,Structured data,Fault prediction,Rules and/or logic based,Coordination of power converters and relays,Yes: Rules and logic,2,2-s2.0-85124205794
Aero-engine / Mechanical manufacturing,Sensor data,Remaining Useful Life,Data driven,Residual temporal convolutional network (MSR-TCN),No,4,2-s2.0-85114558788
"Manufacturing (cookware production, industrial machinery)",Sensor data,Remaining Useful Life,Data driven,Machine learning,No,3,2-s2.0-85119421376
Internet of Things (IoT) devices in industrial environments,Sensor data,Fault prediction,Data driven,"['Support Vector Machine', 'Grey Wolf Optimizer']",No,3,2-s2.0-85123400745
Altitude simulation test facilities (aerospace testing systems),Sensor data,Fault prediction,Data driven,Multi-channel 1D-CNN,No,2,2-s2.0-85137272880
Road infrastructure / Civil infrastructure,"['Images', 'GPS data', 'Sensor data', 'Accelerometer data']","['Defect detection', 'Condition assessment']",Data driven,"CNN, Transfer learning",No,2,2-s2.0-85124328436
Industrial systems with rotating machinery,Images,Fault prediction,Data driven,CNN,No,2,2-s2.0-85114111129
Electric Vehicles / Automotive Systems,Sensor data,Fault prediction / Health monitoring,Hybrid,Fuzzy rules,Yes: Fuzzy rules,4,2-s2.0-85103464041
Industry IoT systems / Power systems,Sensor data,Fault prediction,Data driven,Deep neural network,No,3,2-s2.0-85126922093
Other,Structured data,Fault prediction,Data driven,Multi-parameter analysis,Yes: rule-based / multi-parameter analysis,2,2-s2.0-85112858355
Chip manufacturing,Structured data,Fault prediction,Hybrid,"MATLAB/SIMULINK, COMSOL Multi-physics",Yes: rule-based and physics-based approaches,3,2-s2.0-85123631273
Industrial machinery / Mechanical systems (specifically bearing fault diagnosis),Sensor data,Fault prediction,Data driven,CNN,No,3,2-s2.0-85116605733
Chemical industry,Sensor data,Fault prediction,Data driven,,No,3,2-s2.0-85112025376
Manufacturing / Cutting tools,Sensor data,Fault prediction,Data driven,Data decomposition and analysis,Yes: Data decomposition and feature extraction,3,2-s2.0-85146714139
Industrial equipment,Sensor data,Fault prediction,Data driven,"['CNN', 'Autoencoder', 'Grad-CAM']",Yes: Grad-CAM,3,2-s2.0-85124606919
Manufacturing systems,"['Sensor data', 'Other data sources']",['Fault prediction'],Hybrid,['Evolutionary Algorithms'],No,3,2-s2.0-85127553773
Electrical distribution systems / Power grid,Sensor data,Fault prediction,Data driven,"Simulation methods, possibly software-based modeling",No,3,2-s2.0-85133137498
Chip manufacturing,Sensor data,Fault prediction,Data driven,"['LSTM', 'EMD', 'PSO']",No,4,2-s2.0-85107707609
Manufacturing / Industrial systems,Sensor data,Remaining Useful Life,Data driven,"['SVR', 'Recursive Feature Elimination (RFE)', 'Random Forest Regressor (RFR)', 'LSTM', 'CNN']",No,4,2-s2.0-85145433613
Hydraulic systems,Sensor data,Fault prediction,Data driven,"Transfer learning, Multilinear Principal Component Analysis (MPCA)",No,3,2-s2.0-85123432748
Industrial systems,Sensor data,Fault prediction,Data driven,Not specified,No,2,2-s2.0-85123593068
Power equipment / Electrical systems,Time series,Fault prediction,Data driven,Random Forest classifier,Yes: Feature importance (from Mutual Information),4,2-s2.0-85137180770
Aerospace systems / Flight control systems,"Sensor data, Time series",Fault prediction,Data driven,Artificial Neural Networks (ANNs),No,3,2-s2.0-85114012332
Hydraulic systems,"['Sensor data', 'Time series', 'Images']",['Fault prediction'],Data driven,,No,3,2-s2.0-85112026514
"Electrical systems in critical infrastructure (e.g., hospitals, clinics, schools)",Structured data,Fault prediction,Rules and/or logic based,"Microcontroller programming, logical rules",Yes: Rules-based logic,2,2-s2.0-85119671802
Industrial motor drives,Sensor data,Fault prediction,Rules and/or logic based,"Fault detection logic, control strategies",Yes: Rule-based logic,2,2-s2.0-85123356680
Aerospace / Aircraft engines,Sensor data,Remaining Useful Life,Data driven,LSTM,No,3,2-s2.0-85119442751
Industrial Water Treatment systems (SWaT and WADI datasets represent water treatment and distribution processes),Sensor data,Fault prediction,Data driven,"['Threshold Baseline detection', 'Binary Logistic Regression']",Yes: Threshold detection and Logistic Regression,2,2-s2.0-85135090276
Battery management system in electric vehicles,Sensor data,Fault prediction,Rules and/or logic based,Luenberger Observer,Yes: Luenberger Observer,4,2-s2.0-85128186453
Chip manufacturing,Sensor data,Fault prediction,Interpretable machine learning,Feature importance analysis,Yes: feature importance analysis,4,2-s2.0-85125367011
Other,Sensor data,Remaining Useful Life,Data driven,"['Dynamic Principal Component Analysis', 'Deep Gated Recurrent Unit Network']",No,4,2-s2.0-85123440875
Industrial systems / Gearboxes / Power transmission,Sensor data,Fault prediction,Data driven,Not explicitly specified,Yes: rule-based or threshold-based logic,4,2-s2.0-85112367390
Water quality monitoring in wastewater treatment plants,Sensor data,Fault prediction,Data driven,k-Nearest Neighbour (kNN),Yes: kNN,2,2-s2.0-85142536687
Satellite systems,Sensor data,Fault prediction,Data driven,LSTM,No,0,2-s2.0-85114557889
Industrial systems (motors),Sensor data,Fault prediction,Data driven,"['Deep learning', 'FFT']",No,2,2-s2.0-85115155926
Robotics / Multi-robot systems,Structured data,Fault prediction,Knowledge based,"Kalman filter (Information filter), Jensen Shannon divergence",Yes: Residuals based on divergence measures are interpretable,2,2-s2.0-85136588978
DC-Grids,Sensor data,Fault prediction,Physics based,"Semi-analytical model, factorial analysis",Yes: analytical models and factorial analysis,2,2-s2.0-85114948836
Other,Structured data,Fault prediction,Rules and/or logic based,Matrix inequalities / Lyapunov theory,Yes: Lyapunov theory / matrix inequalities,0,2-s2.0-85146487751
Aircraft engine systems,Sensor data,Fault prediction,Data driven,Kalman filters,Yes: Kalman filters,4,2-s2.0-85137267662
Industrial systems / Maintenance,Sensor data,Fault prediction,Hybrid,Agent-based modeling,Yes: Agent-based modeling,3,2-s2.0-85125399889
Industrial systems / Sensors and calibration,Sensor data,Calibration accuracy/uncertainty management,Other,Metrological characterization and statistical analysis,Yes: interpretability through calibration and uncertainty analysis,2,2-s2.0-85112114784
Aerospace / Aero propulsion systems,Sensor data,Remaining Useful Life,Data driven,"['Variational autoencoder (VAE)', 'Temporal Convolutional Network (TCN)', 'Broad Learning System (BLS)']",No,0,2-s2.0-85127642834
Railway industry,Sensor data,Fault prediction,Data driven,"['Sparse autoencoder (SAE)', 'Variational autoencoder (VAE)']",No,3,2-s2.0-85126123585
Rotating machinery,"Sensor data, Time series",Fault prediction,Data driven,"Graph Convolutional Network (GCN), Wavelet packet decomposition",No,2,2-s2.0-85123408268
Industrial production / general industry,Sensor data,Remaining Useful Life,Data driven,"['Artificial Neural Networks', 'Support Vector Machine', 'Random Forest']",No,3,2-s2.0-85113405311
Industrial equipment/ machinery,Sensor data,Remaining Useful Life,Data driven,Not specified,No,2,2-s2.0-85127964593
Electric motor systems,Sensor data,Fault prediction,Data driven,Artificial Neural Network (ANN),No,3,2-s2.0-85123362046
Automotive systems,Sensor data,Fault prediction,Hybrid,"Mathematical modeling, classifiers (unspecified)",Yes: mathematical model and classifiers,2,2-s2.0-85123930012
Industrial assets monitoring,"Multiple sensor data, Multi time series",Fault prediction,Data driven,3D object description methods (adapted for multi-sensor fault detection),No,3,2-s2.0-85114555990
Power distribution systems,Sensor data,Fault prediction,Data driven,"['Random Forest', 'Support Vector Machine', 'Artificial Neural Network']",No,3,2-s2.0-85126673015
Industrial pumps / Pump systems,Sensor data,Fault prediction,Data driven,Reference frame theory,Yes: reference frame theory,4,2-s2.0-85123305820
Manufacturing systems (wire manufacturing),"['Sensor data', 'Time series', 'Images']",['Fault prediction'],Data driven,"['Variational Autoencoder', 'Recurrence plots']",Yes: Latent space analysis and Recurrence plots provide interpretability,3,2-s2.0-85124593618
Garments industry / Fire detection in industrial settings,Sensor data,Fault prediction,Data driven,,No,2,2-s2.0-85115669558
Power systems / electrical distribution,Sensor data,Fault prediction / Fault detection,Rules and/or logic based,Microcontroller-based logic / Rule-based,Yes: rules-based,2,2-s2.0-85134215930
Bikes / Personal transportation,Sensor data,Fault prediction,Data driven,k-Nearest Neighbor (k-NN),Yes: k-Nearest Neighbor,2,2-s2.0-85107572343
Wireless Sensor Networks (WSNs) for IoT,Sensor data,Fault prediction,Data driven,Bi-LSTM,No,2,2-s2.0-85125088434
Other,Structured data,Fault prediction,Rules and/or logic based,Not specified,Yes: Rules-based system,3,2-s2.0-85132307084
Industrial systems,Structured data,Fault prediction,Hybrid,"['Hybrid Bond Graph (HBG)', 'Directed Behavioral Hypergraph (DBH)']",Yes: Qualitative reasoning and conflict analysis,2,2-s2.0-85130525101
Vehicle positioning systems / Transportation,Sensor data,Fault prediction,Data driven,Not explicitly specified in the abstract,No,2,2-s2.0-85125875803
Manufacturing systems,"['IoT data', 'Sensor data']","['Fault prediction', 'Condition monitoring']",Hybrid,AI/ML methods combined with rules/logic,Yes: rules and logic based components,4,2-s2.0-85119085044
Wireless Sensor Networks (WSNs) in IoT systems,Sensor data,Fault prediction,Data driven,Random Forest,Yes: Random Forest,2,2-s2.0-85128909188
HVAC systems,Sensor data,Fault prediction,Data driven,Logistic circuits,Yes: Logistic circuits,5,2-s2.0-85117398590
Aircraft engines,Sensor data,Remaining Useful Life,Data driven,"['LSTM', 'RNN', 'Genetic algorithm', 'CNN']",No,4,2-s2.0-85114556610
Industrial motors / Electrical systems,"['Sensor data', 'Time series']",['Fault prediction'],Data driven,Multilayer Perceptron (MLP),No,3,2-s2.0-85123308353
"Power systems / Electrical systems (Microgrid, Power Network)","Sensor data, Time series","Fault prediction, Fault location",Data driven,Wavelet transform,Yes: Wavelet transform (provides interpretable features),3,2-s2.0-85119096616
Microgrid systems,"['Sensor data', 'Time series']",['Fault prediction'],Data driven,Bayesian regularization neural network,No,2,2-s2.0-85123845772
Oil and gas extraction,Sensor data,Fault prediction,Data driven,"Unsupervised learning, Similarity methods",Yes: Similarity algorithms with confidence scores,4,2-s2.0-85136802832
Industrial motors (synchronous motors),Electrical signals,Fault prediction,Data driven,Not explicitly specified in the abstract,No,4,2-s2.0-85123304671
Automotive systems,Sensor data,Fault prediction,Rules and/or logic based,"Safety mechanisms, memory tests, safety management unit",Yes: Rules-based/safety mechanisms,2,2-s2.0-85123839131
Industrial process systems (cement rotary kiln),"Interval-valued data, Sensor data",Fault prediction,Data driven,"Principal Component Analysis (PCA), Hotelling's T², Q statistics","Yes: PCA, Hotelling's T², Q statistics",3,2-s2.0-85143824823
Power generation equipment / Generator systems,Sensor data,Fault prediction,Physics based,Computer models / Simulation,Yes: Physics based models / simulations,2,2-s2.0-85118950943
Electric motor drive systems,Structured data,Fault prediction,Rules and/or logic based,"Structural analysis, Dulmage-Mendelsohn (DM) decomposition",Yes: Structural analysis and residual-based diagnostics,0,2-s2.0-85104136414
Other,Images,Fault prediction,Physics based,,No,0,2-s2.0-85124523364
Electric machines in industrial maintenance,"Sensor data, Real-time data","Fault prediction, Root cause analysis",Data driven,"Artificial intelligence (implied, e.g., pattern recognition, machine learning)",No,3,2-s2.0-85125803903
Commercial buildings,Sensor data,Fault prediction,Data driven,Not specified,No,2,2-s2.0-85142361068
Industrial systems / Manufacturing equipment,Self-sensing signals from motor drive system,Fault prediction / Mechanical fault detection and location,Data driven,"Signal analysis / Not specified exactly, likely to involve signal processing and machine learning methods",Yes: interpretable features from self-sensing signals,4,2-s2.0-85123400561
Building energy systems / District heating systems,Sensor data,Fault prediction,Data driven,"Dynamic Principal Component Analysis (DPCA), Hotelling's T2 statistics, Q statistics",Yes: Sensor contribution plots,4,2-s2.0-85139759353
Industrial systems with a focus on predictive maintenance applications,['Sensor data'],['Remaining Useful Life'],Data driven,Not specified explicitly,No,3,2-s2.0-85123755597
General industrial systems / control systems,Sensor data,Fault prediction,Rules and/or logic based,"Interval observers, H-infinity performance analysis",Yes: Rules-based / interval observers,1,2-s2.0-85143817218
Other,Sensor data,Fault prediction,Data driven,One-class Support Vector Machines,No,2,2-s2.0-85113361119
Manufacturing,Sensor data,Remaining Useful Life,Data driven,Big Data analytics frameworks,No,3,2-s2.0-85142016509
Additive manufacturing,Sensor data,Error detection,Data driven,Neural networks,No,3,2-s2.0-85107536789
Street lighting / Public infrastructure,Sensor data,Fault prediction,Data driven,Not explicitly specified,No,2,2-s2.0-85126888712
Medium Voltage Electrical Systems,Sensor data,Fault prediction,Data driven,,No,4,2-s2.0-85114206055
Industrial manufacturing systems,"Sensor data, Time series",Health Key Performance Indicators (HKPIs),Data driven,Not specified explicitly,Yes: Visualization of HKPIs,3,2-s2.0-85107576124
Industrial systems (general) or Embedded systems in maintenance,Sensor data,Remaining Useful Life,Data driven,"['Neural networks', 'Pruning', 'Convolutional Neural Networks', 'Adam optimization']",No,4,2-s2.0-85138755922
"Industrial processes / systems (not explicitly specified, but related to fault detection in industrial settings)",Sensor data,Fault prediction / Fault detection and classification,Rules and/or logic based,Manual specification and rules based control,Yes: Rules and logic,2,2-s2.0-85137758421
High-voltage electrical systems,Sensor data,Fault prediction,Data driven,"Feature extraction from vibration signals, co-occurrence matrix analysis",Yes: texture feature extraction and vibration pattern analysis,3,2-s2.0-85132287695
General industrial systems,"Sensor data, Time series",Fault prediction,Data driven,Machine learning,No,3,2-s2.0-85130164023
HVAC systems,Sensor data,Fault prediction,Data driven,"['Decision Tree', 'Random Forest', 'SVM']","Yes: Decision Tree, Random Forest, SVM",4,2-s2.0-85134298811
Industrial motors / Electrical machinery,Sensor data,Fault prediction,Data driven,Signal processing,Yes: signal processing,4,2-s2.0-85141051150
Aerospace systems,Sensor data,Fault prediction,Data driven,"['Wavelet packet decomposition', 'Extreme Gradient Boosting Tree (XGBoost)']",Yes: feature importance analysis (implied by use of XGBoost and wavelet coefficients),4,2-s2.0-85129521820
Electric Vehicles,Sensor data,Fault prediction,Hybrid,Adaptive observer,Yes: Adaptive observer,2,2-s2.0-85127609773
Power systems / Electrical cables,Sensor data,Fault prediction,Data driven,"Gas sensors, gas chromatography-mass spectrometry",Yes: Gas response analysis,2,2-s2.0-85143969778
Sensor Networks in Industrial Systems,Sensor data,Fault prediction,Data driven,"['Graph Attention Network (GAT)', 'LSTM']",No,3,2-s2.0-85137095648
Industrial systems with camera-based monitoring,Images,Fault prediction,Data driven,"Image metrics, data augmentation",Yes: Histogram skewness and other simple statistics are interpretable features,2,2-s2.0-85151618927
HVAC systems,Structured data,Fault prediction,Data driven,Unspecified in abstract,No,3,2-s2.0-85149146829
Insulation material monitoring,Unstructured data,Fault prediction,Physics informed,"Adsorption structure analysis, charge distribution analysis (not specifically named ML techniques)",Yes: Physics-based analysis,2,2-s2.0-85143987525
Automotive systems,Sensor data,Fault prediction,Data driven,"Signal analysis, Software-based monitoring",Yes: Signal analysis and alarm system,3,2-s2.0-85144633257
Electrical power systems,Sensor data,Fault prediction,Data driven,,No,2,2-s2.0-85147258001
Healthcare / Wearable devices,Sensor data,Fault prediction,Rules and/or logic based,"Sequencing conditions, fault management algorithms",Yes: rules-based and logical algorithms,2,2-s2.0-85147324077
Other,Unstructured data,Fault prediction,Information theoretic / Data driven,"Kullback-Leibler divergence, greedy algorithm",Yes: information theoretic and greedy algorithms,0,2-s2.0-85156175028
Electrical transformer systems,Sensor data,Fault prediction,Data driven,Partial discharge measurement analysis,Yes: rule-based or traditional diagnostic guidelines,4,2-s2.0-85146580761
Smart home systems / Lighting control,Images,Fault prediction,Data driven,Image processing with OpenCV,Yes: visual image analysis,2,2-s2.0-85164167850
Other,Sensor data,Fault prediction,Data driven,"['Deep Q-learning Network (DQN)', 'Deep Deterministic Policy Gradient (DDPG)']",No,0,2-s2.0-85144620286
Electrical infrastructure / Utility systems (Underground cables),Sensor data,Fault prediction,Rules and/or logic based,"Ohm's law-based resistive network model, embedded system with ADC and microcontroller",Yes: Rules and logic based model,4,2-s2.0-85130771665
Industrial automation / Automated Guided Vehicles (AGV),"Sensor data, Time series",Fault prediction,Data driven,"['Attention network', 'LSTM']",No,4,2-s2.0-85131830037
Semiconductor manufacturing,Sensor data,"['Root cause analysis', 'Forecasted inline value']",Data driven,"['CNN', 'Transformer']",No,4,2-s2.0-85137783354
Chemical process,Sensor data,Fault prediction,Reinforcement Learning,Reinforcement Learning (RL),No,3,2-s2.0-85136292751
Power cables/Industrial systems,Sensor data,Fault prediction,Data driven,Reflectometry-based signal analysis,Yes: interpretable signal analysis techniques,2,2-s2.0-85142388216
Industrial machinery / Asset health management,"Sensor data, Time series",Remaining Useful Life,Data driven,"Deep Neural Networks, Discrete Wavelet Transform (DWT)",No,4,2-s2.0-85134767769
Industrial systems / Mechanical systems (specifically kinematic chains),Images,Fault prediction,Data driven,"Infrared thermography analysis (specific techniques not explicitly mentioned, likely image processing methods)",Yes: Visualization of thermal images and virtual environment facilitate interpretability,2,2-s2.0-85141087250
Robotics / Manipulator systems,Sensor data,Fault prediction,Data driven,"Neural networks, Adaptive dynamic programming, Lyapunov stability analysis",No,1,2-s2.0-85146617288
Wireless Sensor Networks,Sensor data,Energy consumption optimization,Rules and/or logic based,K-means clustering,Yes: Rules and clustering logic,0,2-s2.0-85143132365
Industrial motor drives / Electrical drives,Sensor data,Fault prediction,Physics based,Analytical model,Yes: analytical model,1,2-s2.0-85142864284
Chip manufacturing,Sensor data,Fault prediction,Data-driven,ResNet,No,4,2-s2.0-85137825723
Electrical systems / Electric motors,Sensor data,Remaining Useful Life,Data driven,Machine Learning,No,3,2-s2.0-85160244971
Commercial buildings,Sensor data,Fault prediction,Data driven,Wavelet decomposition,Yes: Wavelet analysis,4,2-s2.0-85137471609
Industrial systems,"Sensor data, Time series",Fault prediction,Data driven,"Data fusion techniques, IoT tools",Yes: Data fusion techniques,2,2-s2.0-85141847573
Chip manufacturing,Sensor data,Fault prediction,Data driven,"['DTW', 'LOF']",Yes: DTW and LOF are interpretable techniques,4,2-s2.0-85137762349
Automotive systems / Intelligent vehicles,"Sensor data, Time series",Fault prediction,Data driven,"Bi-LSTM, SPRT",No,2,2-s2.0-85144608115
Subway vehicle door systems,Sensor data,Fault prediction,Data driven,,No,3,2-s2.0-85142453463
Electronics manufacturing,"['Sensor data', 'Structured data']",['Fault prediction'],Rules and/or logic based,,Yes: Rules-based or diagnostic logic,4,2-s2.0-85130856046
Other,Sensor data,Fault prediction,Rules and/or logic based,Zonotopic observers,Yes: Zonotopic observers,1,2-s2.0-85136283232
"Industrial systems with sensors, such as gantry crane systems",Sensor data,Fault prediction,Hybrid,"Robust Kalman filter, Model-Free Control (MFC)",Yes: Kalman filter,2,2-s2.0-85144597955
Industrial sensors and sensor signal processing,Sensor data,Fault prediction,Data driven,Local Polynomial Models,Yes: Local Polynomial Models,2,2-s2.0-85143805042
Industrial test equipment,Sensor data,Fault prediction,Data driven,"['Wavelet analysis', 'LSTM neural network']",No,3,2-s2.0-85144063260
Thermal systems / Heat sources detection,Structured data,Failure detection / Failure time estimation,Physics based,Kalman smoother,Yes: Kalman smoother,3,2-s2.0-85137759692
Agricultural machinery,Sensor data,Fault prediction,Data driven,Convolutional Reconstruction Auto-Encoder (CRAE),No,4,2-s2.0-85135612131
Mechanical equipment / Gearbox systems,Sensor data,Fault prediction / Fault classification,Data driven,MLP neural networks,No,3,2-s2.0-85143151438
Mechanical systems / Drivetrain / Gearbox,Sensor data,Fault prediction,Data driven,"Variational auto-encoders (VAEs), Mutual-KL loss",No,2,2-s2.0-85134752859
Fuel cell systems,Sensor data,Fault prediction,Data driven,"['Wavelet packet energy decomposition', 'LSTM neural network']",No,2,2-s2.0-85150158749
Commercial buildings,Sensor data,Monitoring of KPIs / Performance evaluation,Data driven,Not specified,No,3,2-s2.0-85138147227
Electrical drive systems / Power converters,Sensor data,Fault prediction,Rules and/or logic based,,Yes: Rules-based,1,2-s2.0-85146315342
Wireless Sensor Networks in harsh environments,Sensor data,Fault prediction,Data driven,"Self-Organizing Map (SOM), Trend Correlation Detection (TCD)",Yes: Clustering and correlation-based methods,2,2-s2.0-85137080987
Industrial motors / Electrical machinery,"Sensor data, Time series, Structured data",Fault prediction,Data driven,"Growing Curvilinear Component Analysis (GCCA) neural network, Extended Park Vector Approach (EPVA)",Yes: Topological manifold analysis,4,2-s2.0-85146345713
Industrial motors / Electrical machinery,"Sensor data, Time series",Fault prediction,Hybrid,"Extremum Seeking Control (ESC), Time-frequency analysis",Yes: Rule-based / signal analysis techniques,2,2-s2.0-85134685166
"Rotating machinery / Mechanical equipment (e.g., turbines, gearboxes, general rotating machinery)",Sensor data,Remaining Useful Life,Data driven,Separable convolutional neural network (CNN),No,4,2-s2.0-85143153284
Aerospace structures,Sensor data,Remaining Useful Life,Data driven,Deep Learning,No,2,2-s2.0-85134775760
Power systems / Transformer faults diagnosis,Sensor data,Fault prediction,Physics based,"Microstructural analysis, heterojunction electron exchange theory","Yes: Microstructural analysis, heterojunction electron exchange theory",3,2-s2.0-85146959488
Electrical substation systems,Time series,Fault prediction,Data driven,"['Recurrent neural network (RNN)', 'Bayesian neural network (BNN)']",No,3,2-s2.0-85143970798
Power grid facilities,"IoT sensors, data from other sources, mobile Internet, machine vision, infrared thermal imaging",Fault prediction,Data driven,Big data analysis,No,3,2-s2.0-85149140887
Industrial systems,"Sensor data, Time series",Remaining Useful Life,Data driven,"CNN, Transformer, LSTM",No,4,2-s2.0-85134289175
Industrial systems,Sensor data,Fault prediction,Data driven,Meta learning,No,4,2-s2.0-85130853383
Manufacturing equipment (specifically hob spindle in machine tools),Sensor data,Fault prediction,Data driven,CNN,Yes: feature output visualization,2,2-s2.0-85151640812
Electrical systems / Power systems,Sensor data,Fault prediction,Data driven,Discrete wavelet transform,Yes: wavelet analysis,2,2-s2.0-85146554318
Industrial machinery / Mechanical systems (specifically rolling element bearings),"Sensor data, Time series",Remaining Useful Life,Data driven,"Statistical feature analysis, Correlation analysis",Yes: Rules and feature correlation explainability,2,2-s2.0-85151755412
Electrical motors / Induction motors,Structured data,Fault prediction,Data driven,Signal analysis of stator current,Yes: Signal analysis,3,2-s2.0-85144008434
Underwater unmanned vehicle (UUV) systems,"Sensor data, Time series",Fault prediction,Data driven,"Convolutional Neural Network, Autoencoder",No,3,2-s2.0-85141411937
