Domain,Domain category,Domain subcategory,Input,Output,Modeling category,Modeling technique,Explainability,Relevance,EID
Industrial motors / Electrical machinery,Industrial systems,,sensor data,Fault prediction,Data driven,Not specified,No,2.0,2-s2.0-85182953531
Manufacturing,Manufacturing systems,,structured data,Predictive maintenance,Data driven,Machine Learning,No,1.0,2-s2.0-85187293236
Transformers / Power Equipment,Power systems,,ultrasonic signals,Partial discharge detection,Physics based,Simulation,Yes: physics-based simulation,2.0,2-s2.0-85162621125
Industrial systems (specifically electric motors and automation systems),Industrial systems,,structured data,Fault prediction,Data driven,2D-CNN,No,2.0,2-s2.0-85182953091
Autonomous vehicles,Transportation systems,Vehicles,sensor data,Fault prediction,Data driven,"Simulations, Sensor fusion",No,4.0,2-s2.0-85183465147
Oil and Gas systems / Gas detection in industrial settings,Industrial systems,Oil and Gas,sensor data,Fault prediction,Physics based,"Cantilever beam modeling and simulation (ANSYS), photoacoustic spectroscopy",Yes: physics-based models and simulations,2.0,2-s2.0-85185383657
Power transmission and distribution systems,Power systems,,sensor data,Fault prediction,Knowledge based,"On-site inspection, test detection, and troubleshooting methods",Yes: Interpretability based on inspection and testing procedures,3.0,2-s2.0-85154545574
Electrical distribution systems,Electrical systems,,"sensor data, time series",['Fault prediction'],Data driven,Not explicitly specified,No,2.0,2-s2.0-85185810585
Manufacturing (Rotating Machinery),Manufacturing systems,Rotating machinery / Bearings,"sensor data, time series",Fault prediction,Data driven,"CNN, LSTM, Autoencoder (AE), STFT",No,3.0,2-s2.0-85189931410
Industrial systems / Diesel generators,Industrial systems,,sensor data,Fault prediction,Data driven,"['LMD', 'SVM', 'Particle Swarm Optimization (MPSO)']",No,3.0,2-s2.0-85182791762
Chip manufacturing,Chip manufacturing,,sensor data,Fault prediction,Data driven,"Simulation and experimental results (implying data analysis, possibly with statistical or ML techniques, though not explicitly specified)",No,2.0,2-s2.0-85172739867
Power electronic converters / Electronic components,Power systems,,sensor data,Fault prediction,Rules and/or logic based,"Decision Tree Regressor, STLSP",Yes: Decision Tree Regressor,2.0,2-s2.0-85170646088
Electrical drives / Motor control systems,Electrical systems,,sensor data,Fault prediction,Data driven,Simulation and experimental validation (no specific ML or rule-based technique specified),No,2.0,2-s2.0-85182950099
Industrial systems / Rotating machinery,Industrial systems,Rotating machinery / Bearings,sensor data,Fault prediction,Hybrid,"Finite element analysis, experimental validation",Yes: Finite element simulation and experimental results provide interpretability,3.0,2-s2.0-85191705485
Industrial equipment / machinery,Industrial systems,,"sensor data, time series",Fault prediction,Data driven,"Support Vector Machines, Artificial Neural Networks, Decision Trees",No,4.0,2-s2.0-85185806404
Hydraulic and lubricating oil systems,Hydraulic systems,,sensor data,Fault prediction,Data driven,"['Neural Network', 'Feature extraction with Exponential Power Entropy', 'Decision Threshold']",No,4.0,2-s2.0-85167872869
Photovoltaic systems,Energy systems (not HVAC),solar,sensor data,Fault prediction,Rules and/or logic based,"Parity space method, Dynamic cumulative sum (DCS) tests",Yes: Residual-based detection methods,3.0,2-s2.0-85152518197
Vehicle systems / Automotive systems,Transportation systems,vehicles,sensor data,Fault prediction,Data driven,BP neural network,No,2.0,2-s2.0-85191716011
Chip manufacturing,Chip manufacturing,,sensor data,Fault prediction,Data driven,"Not explicitly specified, but likely sensor-based analysis and classification methods",No,2.0,2-s2.0-85185771362
Chip manufacturing,Chip manufacturing,,sensor data,Fault prediction,Data driven,Not specified,No,3.0,2-s2.0-85168423498
Healthcare / Medical devices (specifically glucose monitoring systems),Healthcare,,time series,Fault prediction,Data driven,"['Matched filters', 'Random Forest']","Yes: Matched filters (pattern recognition technique, interpretable), Random Forest (partially interpretable)",2.0,2-s2.0-85181585709
Chip manufacturing,Chip manufacturing,,sensor data,Fault prediction,Data driven,"CNN, Wavelet signal transform",No,3.0,2-s2.0-85162640815
Industrial systems,Industrial systems,,sensor data,Fault prediction,Data driven,"Transformer, Attention mechanism",No,3.0,2-s2.0-85180012912
Chip manufacturing,Chip manufacturing,,sensor data,Fault prediction,Data driven,"Not explicitly specified, likely signal analysis techniques",No,3.0,2-s2.0-85168410330
Aviation engines,Aicraft / Aviation / Aerospace,,sensor data,Remaining Useful Life,Data driven,Long-Short-Term-Memory (LSTM),No,4.0,2-s2.0-85173022113
Power electronics in motor drives,Power systems,,sensor data,Fault prediction,Data driven,Not specified,No,3.0,2-s2.0-85172720727
Chip manufacturing,Chip manufacturing,,sensor data,Fault prediction,Rules and/or logic based,Pattern recognition based on voltage monitoring,Yes: rules-based / pattern matching,2.0,2-s2.0-85182926297
Industrial machinery or rotating equipment,Industrial systems,Rotating machinery / Bearings,"sensor data, time series",['Fault prediction'],Hybrid,XGBoost,No,3.0,2-s2.0-85191757213
Other,Other,,structured data,"State of Charge (SOC), fault detection (implied)",Hybrid,Rules and ML (implied from review of implementation tactics),Yes: Rules-based techniques,1.0,2-s2.0-85197708313
Mechanical systems,Mechanical systems,,sensor data,Fault prediction,Data driven,Zero-shot learning with attribute encoding and adversarial networks,No,3.0,2-s2.0-85186748126
Other (Pipe maintenance/Industrial pipe surface grinding),Industrial systems,,sensor data,Grinding force prediction,Data driven,Fitted models from experimental data,Yes: model derived from experimental data and physical understanding,1.0,2-s2.0-85182581208
Industrial machinery or heavy-duty equipment,Industrial systems,,sensor data,Fault prediction,Data driven,CNN,No,4.0,2-s2.0-85191721105
Underground cables/Power transmission infrastructure,Power systems,,sensor data,Fault prediction,Hybrid,"Distributed fiber optic vibration sensing, Digital twin",Yes: rule-based and physical hybrid integration,2.0,2-s2.0-85187252404
Sewage pipe network systems,Civil infrastructure,wastewater,"sensor data, time series",Fault prediction,Data driven,Radial basis neural network (RBFNN),No,3.0,2-s2.0-85166371210
Automotive industry,Transportation systems,vehicles,electrical properties data,Sensor status detection,Rules and/or logic based,"Hardware-based validation, microcontroller logic",Yes: rule-based validation,1.0,2-s2.0-85168155570
Industrial production line,Industrial systems,,sensor data,Predictive maintenance,Hybrid,Rules and ML,Yes: rules-based,3.0,2-s2.0-85179515737
Industrial systems (specifically gear fault diagnosis in manipulators),Industrial systems,,sensor data,Fault prediction,Data driven,"Convolutional Neural Networks (CNN), Attention mechanism",No,2.0,2-s2.0-85187377588
Chip manufacturing,Chip manufacturing,,structured data,Remaining Useful Life,Rules and/or logic based,Built-in Speed Grading (BISG),Yes: Rules and logic,2.0,2-s2.0-85179514003
Industrial rotating equipment,Industrial systems,Rotating machinery / Bearings,sensor data,Fault prediction,Data driven,"Not explicitly specified, likely machine learning or statistical models based on sensor data",No,4.0,2-s2.0-85192453371
Industrial automation / Power Internet of Things (IoT),Industrial systems,,sensor data,Fault prediction,Data driven,Not specified,No,2.0,2-s2.0-85154589567
Power systems / Reactor systems,Power systems,,sensor data,Fault prediction,Physics based,Finite element simulation,Yes: Finite element simulation,2.0,2-s2.0-85191442034
"Industrial systems (e.g., manufacturing enterprises, trucks' air pressure system)",Industrial systems,,"sensor data, time series",Failure prediction,Data driven,"['Siamese neural network', 'Contrastive learning']",No,4.0,2-s2.0-85168419056
Electrical power systems / Power grid monitoring,Power systems,,sensor data,Fault prediction,Data driven,Not explicitly specified (likely signal analysis or machine learning techniques based on sensor data),No,2.0,2-s2.0-85182942715
Autonomous vehicle navigation systems,Navigation systems,,"images, sensor data",Fault prediction,Data driven,Deep Neural Network (DNN),No,2.0,2-s2.0-85162873332
Marine engine systems,Marine,,auditory sensor data,Fault prediction,Data driven,"WaveGAN, WaveNet, SpecGAN, autoencoder, k-means",No,3.0,2-s2.0-85183463718
Chemical processing systems (CSTR case study),chemical,chemical,structured data,Fault prediction,Game theory-based,"Game theory, Nash Equilibrium",Yes: Game theory / Nash Equilibrium,2.0,2-s2.0-85186959125
Marine/Vessel systems,Marine,,time series,Fault prediction,Data driven,ResNet with Triplet loss,No,4.0,2-s2.0-85186749265
Mechanical equipment / Gear fault diagnosis,Mechanical systems,,"sensor data, time series",Fault prediction,Data driven,Multi-scale CNN,No,4.0,2-s2.0-85170825637
GIS equipment / Electrical substation systems,Electrical systems,,sensor data,Fault prediction,Data driven,Statistical methods (normal distribution statistical method),Yes: statistical analysis,2.0,2-s2.0-85167568137
Semiconductor industry,other,,sensor data,Remaining Useful Life,Data driven,Tiny Machine Learning (Tiny ML),No,3.0,2-s2.0-85184656973
Industrial motors / Electrical machinery,Industrial systems,,sensor data,Fault prediction,Data driven,Correlation methods,Yes: correlation methods,4.0,2-s2.0-85168419449
Industrial production equipment,Industrial systems,,sensor data,Fault prediction,Data driven,SVM,No,2.0,2-s2.0-85175083314
Rotating machinery / Bearings in industrial equipment,Industrial systems,Rotating machinery / Bearings,sensor data,Remaining Useful Life,Data driven,"Canonical Correlation Analysis (CCA), Wavelet Packet Decomposition (WPD), Attention mechanism, Deep learning","Yes: CCA (interpretable correlation analysis), attention mechanism (partially interpretable)",3.0,2-s2.0-85191735005
Cyber-Physical Systems,Cyber Physical Systems,,sensor data,Fault prediction,Rules and/or logic based,Not specified,Yes: rules-based detection,2.0,2-s2.0-85173850552
Power transformers / Electrical systems,Power systems,,sensor data,Fault prediction,Data driven,"Vibration analysis, Acoustic imaging","Yes: frequency analysis, stationarity index",4.0,2-s2.0-85182795120
Other,Other,,"sensor data, time series",Fault prediction,Data driven,Monitor discrepancy between predicted and actual behavior,Yes: Discrepancy-based detection,2.0,2-s2.0-85182932883
Power system equipment (switchgear),Power systems,,sensor data,Fault prediction,Data driven,"Spectral analysis, Soft scoring mechanism",Yes: Soft scoring mechanism,4.0,2-s2.0-85167581642
Motor system diagnosis / Electrical machinery,Electrical systems,,structured data,Fault prediction,Data driven,"Similarity learning (SL), Euclidetic distance (EED, PED)","Yes: Structural characteristics, parameter-based diagnosis",2.0,2-s2.0-85185345351
Power equipment / Electrical systems,Power systems,,sensor data,Fault prediction,Data driven,KNN,Yes: k-nearest neighbors (KNN),4.0,2-s2.0-85167570848
Electrical machinery / Magnetic core systems,Electrical systems,,sensor data,Fault prediction / Condition monitoring,Data driven,Not specified,No,1.0,2-s2.0-85172737401
Aircraft landing gear systems,Aicraft / Aviation / Aerospace,,sensor data,Fault prediction,Data driven,Neural network,No,3.0,2-s2.0-85191763602
Industrial equipment / Manufacturing,Industrial systems,,time series,Forecasting / Event prediction,Data driven,"['ARIMA', 'LSTM', 'INN-DTW']",Yes: ARIMA,4.0,2-s2.0-85178999796
Aerospace / Liquid Rocket Engine (LRE),Aicraft / Aviation / Aerospace,,sensor data,Fault prediction,Hybrid,"Extended Kalman Filters (EKF), Residual-based thresholding",Yes: Residual analysis and threshold test,0.0,2-s2.0-85191732366
Industrial systems,Industrial systems,,"sensor data, time series, unstructured data, images","Predictive maintenance, Remaining Useful Life",Data driven,Deep Residual Networks (Deep ResNets),No,4.0,2-s2.0-85183531840
Manufacturing equipment / Industrial machinery,Industrial systems,,sensor data,Fault prediction,Data driven,"Wavelet packet decomposition, Support vector machines (SVM)",Yes: Wavelet packet decomposition (WPD) provides interpretability through analysis of frequency components,3.0,2-s2.0-85166465851
Hydrogenerators / Power generation equipment,Power systems,,sensor data,Fault prediction,Physics based,Mathematical models reflecting physical processes,"Yes: Mathematical models, physical process understanding",4.0,2-s2.0-85179509007
Hydropower plants,Other,,sensor data,Fault prediction,Data driven,Autoencoder,No,4.0,2-s2.0-85169433214
Aerospace vehicles,Aicraft / Aviation / Aerospace,Vehicles,sensor data,"State estimation, Fault detection",Hybrid,"Set-Valued State Estimator, Constrained Zonotopes, Kalman filtering",Yes: Use of bounds and set-membership approach provides interpretability,2.0,2-s2.0-85164268369
Industrial control systems,Industrial systems,,sensor data,Fault prediction,Rules and/or logic based,Linear matrix inequalities (LMIs),Yes: Rules and logic based approach,0.0,2-s2.0-85187796481
Aircraft systems / Avionics,Aicraft / Aviation / Aerospace,,"sensor data, time series","Remaining Useful Life, Fault prediction",Data driven,Nonlinear regression analysis,Yes: Nonlinear regression analysis,3.0,2-s2.0-85191495985
Aerospace,Aicraft / Aviation / Aerospace,,"sensor data, time series",Fault prediction,Data driven,"Multiphysics coupling via COMSOL, Particle tracing",No,2.0,2-s2.0-85191745743
Other,Other,,time series,Synthetic data generation,Data driven,Time Series Generative Adversarial Network (TimeGAN),No,0.0,2-s2.0-85191762447
Industrial equipment monitoring / Wire rope / Hoist systems,Industrial systems,,sensor data,Fault prediction,Data driven,"['Wavelet Denoising', 'Transformer', 'Multi-layer Perceptron']",No,4.0,2-s2.0-85162925489
Commercial buildings,Commercial buildings,,sensor data,Fault prediction,Data driven,Not specifically mentioned,No,3.0,2-s2.0-85168098942
Mechanical complex systems,Mechanical systems,,sensor data,Fault prediction,Data driven,"Graph Neural Networks (GNN), ARMA neural networks",No,3.0,2-s2.0-85191697147
Electrical distribution networks,Electrical systems,,"network data, fault current measurements","Fault prediction, Fault location",Rules and/or logic based,"Fault current matching, Fault expectancy index",Yes: Rules-based method,2.0,2-s2.0-85185771718
Industrial systems involving motor bearings or rotating machinery,Industrial systems,Rotating machinery / Bearings,sensor data,Remaining Useful Life,Data driven,"CUSUM, Recursive Least Squares (RLS)","Yes: CUSUM and RLS are interpretable, rule-based statistical techniques",4.0,2-s2.0-85182928712
Navigation systems / GNSS,Navigation systems,,structured data,Fault prediction,Other,Theoretical analysis / Mathematical modeling,Yes: Theoretical analysis / Mathematical modeling,0.0,2-s2.0-85162897359
Electric motor bearing systems,Electrical systems,Rotating machinery / Bearings,sensor data,Fault prediction,Data driven,Deep learning,No,4.0,2-s2.0-85182926011
Commercial buildings,Commercial buildings,,sensor data,Fault prediction,Data driven,"Autoencoder with Maximum Correntropy Criterion (MCC), Coin Betting",No,3.0,2-s2.0-85182930762
"Industrial systems with sensors, potentially applicable in HVAC or manufacturing environments",HVAC,,sensor data,Fault prediction,Data driven,Wavelet analysis,Yes: Wavelet analysis,3.0,2-s2.0-85182929890
Industrial measurement systems,Industrial systems,,structured data,Fault prediction,Rules and/or logic based,Distributed interval observer (DIO),Yes: Rule-based/Interval estimation,2.0,2-s2.0-85164273248
Electric Vehicle (EV) systems,Electrical systems,,sensor data,Fault prediction,Hybrid,"['Digital Twin', 'ROS simulation']",Yes: Digital Twin,3.0,2-s2.0-85172718564
Mechanical systems / Rotating machinery,Mechanical systems,Rotating machinery / Bearings,"sensor data, time series",['Fault prediction'],Hybrid,"['Wavelet transform', 'Residual neural network', 'Maximum mean discrepancy']",No,4.0,2-s2.0-85191692413
Gearbox fault diagnosis in industrial machinery,Industrial systems,,"sensor data, images",Fault prediction,Data driven,Convolutional Neural Network (CNN),No,3.0,2-s2.0-85191726792
Power systems / Electrical substation,Power systems,,sensor data,Fault prediction,Data driven,Spatial grid search algorithm,Yes: Spatial grid search algorithm,2.0,2-s2.0-85162728330
Transformer monitoring systems,Other,,unstructured data,Fault prediction,Physics based,Density functional theory,Yes: First principles,0.0,2-s2.0-85167595984
Electromagnetic pulse valve diagnosis,Other,,sensor data,Fault prediction,Data driven,"CNN, attention mechanism",No,2.0,2-s2.0-85197516337
Wind turbines / Renewable energy systems,Energy systems (not HVAC),Wind energy systems,sensor data,Fault prediction,Data driven,"Gated convolution neural network, LSTM, Attention mechanism",No,2.0,2-s2.0-85182756822
Manufacturing systems,Manufacturing systems,,sensor data,None specified (simulation data generation for predictive maintenance),Physics based,OpenModelica simulation,Yes: physically based simulation,3.0,2-s2.0-85182728898
Electric motors / Automotive systems,Electrical systems,,sensor data,Fault prediction,Data driven,Not explicitly specified,No,2.0,2-s2.0-85182917281
Power generation systems,Power systems,,sensor data,Fault prediction,Data driven,Fuzzy ARTMAP with SMOTE,Yes: Fuzzy ARTMAP,4.0,2-s2.0-85156104679
Power transformers,Power systems,,sensor data,Fault prediction,Data driven,"['BP neural network', 'SVM']",No,4.0,2-s2.0-85162664263
Industrial systems,Industrial systems,,"sensor data, time series",Fault prediction,Data driven,CNN,No,4.0,2-s2.0-85179009353
Other,Other,,structured data,Fault prediction,Hybrid,Extended Kalman filter,Yes: Kalman filter,0.0,2-s2.0-85162875458
Industrial gearboxes,Industrial systems,,"sensor data, images",Fault prediction,Data driven,"['BP neural network', 'Particle swarm optimization', 'TFSWT algorithm']",No,3.0,2-s2.0-85191512641
Rotating machinery,Rotating machinery,Rotating machinery / Bearings,sensor data,Fault prediction,Data driven,Neural network,No,4.0,2-s2.0-85198222496
Substation power systems,Power systems,,sensor data,Fault prediction,Rules and/or logic based,"Unbalanced bridge method, Leakage current sensor measurements",Yes: rules and circuit-based methods,2.0,2-s2.0-85207519742
Manufacturing systems,Manufacturing systems,,"sensor data, time series","Fault prediction, Root cause analysis",Data driven,LSTM,No,4.0,2-s2.0-85216543083
Electric Vehicles (EVs),Transportation systems,Vehicles,"sensor data, time series","Remaining Useful Life, Fault prediction",Data driven,Machine Learning,No,3.0,2-s2.0-85214986770
Urban infrastructure / Smart cities,Civil infrastructure,,"iot device data, quantitative data, qualitative insights","Predictive maintenance, Energy management, Traffic solutions",Data driven,Not specified explicitly,No,2.0,2-s2.0-85187776899
Electrical switchgear systems,Electrical systems,,sensor data,Fault prediction,Data driven,"Not explicitly mentioned, but likely sensor analytics and classification methods",Yes: Rule-based / Standards-based detection (IEC 60270),4.0,2-s2.0-85193962188
Home energy management,Energy systems (not HVAC),,sensor data,Fault prediction,Data driven,Not specified,No,1.0,2-s2.0-85189152025
Electrical distribution systems,Electrical systems,,sensor data,Fault prediction,Rules and/or logic based,"Microcontroller logic, Sensor signals",Yes: Rules-based logic,2.0,2-s2.0-85189135647
Electrical transformer systems,Electrical systems,,sensor data,Fault prediction,Data driven,Not explicitly specified,No,4.0,2-s2.0-85186494645
Post-Harvest Logistics / Supply Chain Management,Other,,"sensor data, data analytics, real-time data","Monitoring, Optimization, Performance prediction",Hybrid,"Digital Twins, IoT, Data analytics, Machine learning",No,2.0,2-s2.0-85207377610
Industrial machinery,Industrial systems,,sensor data,Fault prediction,Data driven,Convolutional Neural Network (CNN),No,4.0,2-s2.0-85162946721
Industrial motors and drives,Industrial systems,,sensor data,Fault prediction,Supervised learning,Multilayer perceptron (MLP),No,2.0,2-s2.0-85175303197
Chip manufacturing,Chip manufacturing,,sensor data,Operating conditions / Machine operating parameters,Data driven,"['Ridge', 'Support Vectors', 'Deep Learning regression']",No,2.0,2-s2.0-85164111254
Industrial motors,Industrial systems,,sensor data,Fault prediction,Data driven,Machine learning algorithms (unspecified),No,4.0,2-s2.0-85164537332
Manufacturing facilities,Manufacturing systems,,sensor data,Fault prediction,Data driven,"['Random Forest', 'Kernel Support Vector Machine']",No,4.0,2-s2.0-85218351665
Oil and gas industry,Oil and gas industry,Oil and Gas,sensor data,Fault prediction,Data driven,Not specified,No,3.0,2-s2.0-85164168784
Hydraulic and lubricating oil systems,Hydraulic systems,,"sensor data, time series, structured data","Fault prediction, Anomaly detection",Data driven,"Support Vector Machine (SVM), Random Forest (RF)","Yes: Decision trees (RF), SVM with hyperparameter tuning can be made interpretable",4.0,2-s2.0-85217364138
Structural health monitoring,Structural health monitoring,,images,Natural frequency,Data driven,"FFT, Harris corner detection","Yes: Harris corner detection, FFT",4.0,2-s2.0-85153306388
Electric Vehicle Application,Electrical systems,,"voltage sensors, mathematical pmsm model","Fault prediction, Fault detection and isolation",Model-based,"Mathematical modeling, Observers (Current observer, MRAS observer)","Yes: Mathematical model, observers",2.0,2-s2.0-85185344738
Transformers / Power grid components,Power systems,,"sensor data, time series",Fault prediction,Data driven,,No,3.0,2-s2.0-85214438409
Manufacturing plants,Manufacturing systems,,"sensor data, big data analytics",Predictive maintenance,Data driven,Machine Learning,No,3.0,2-s2.0-85193853070
Vehicle systems / Automotive systems,Transportation systems,vehicles,"iot data, sensor data",Fault prediction,Data driven,Machine Learning,No,3.0,2-s2.0-85187804758
Battery systems / Energy storage,Energy systems (not HVAC),Battery,sensor data,Fault prediction,Data driven,Fractional-order learning observer,Yes: Interpretability of the fractional-order model and observer,2.0,2-s2.0-105002484418
Aircraft maintenance / Aerospace systems,Aicraft / Aviation / Aerospace,,sensor data,Remaining Useful Life,Data driven,"['LSTM', 'XGBoost', 'LightGBM']",No,3.0,2-s2.0-85190393944
IoT systems,IoT systems,,sensor data,Energy consumption profiling,Data driven,Measurement and profiling,Yes: Measurement and profiling,1.0,2-s2.0-85202435905
Industrial machinery / Mechanical systems (specifically rolling bearings),Industrial systems,Rotating machinery / Bearings,images,Fault prediction,Data driven,Deep residual network (ResNet),No,3.0,2-s2.0-85186498910
Transformers,Transformers,,sensor data,Fault prediction,Data driven,"Simulator (implying simulation-based analysis), unspecified ML or optimization techniques",No,3.0,2-s2.0-85214404070
Electrical Substation Equipment / Power Systems,Power systems,,sensor data,Fault prediction,Hybrid,"['Gaussian Mixture Models (GMM)', 'Support Vector Machine (SVM)']",Yes: Physical constraints and feature engineering contribute to interpretability,4.0,2-s2.0-105000487309
Wired networks,Other,,sensor data,Remaining Useful Life,Data driven,Machine learning,No,2.0,2-s2.0-85164185319
Industrial machinery / manufacturing,Industrial systems,,sensor data,Fault prediction,Data driven,"['Logistic regression', 'Support Vector Machine (SVM)', 'Naïve Bayes', 'Decision Tree']","Yes: Decision Tree, Logistic regression",4.0,2-s2.0-85187777448
Mining industry,Mining,,sensor data,Remaining Useful Life,Data driven,Not explicitly specified,No,3.0,2-s2.0-105004791310
Food production / manufacturing,Manufacturing systems,,images,Fault prediction,Data driven,YOLOv5,No,2.0,2-s2.0-85198516018
Electric vehicles (EVs) / Battery thermal management systems,Energy systems (not HVAC),Battery,sensor data,Fault prediction,Data driven,"['IB-DRN', 'Machine learning', 'Deep learning']",No,3.0,2-s2.0-85207402923
Chip manufacturing,Chip manufacturing,,images,Fault prediction,Data driven,Convolutional autoencoder,No,3.0,2-s2.0-85211147935
Automobile industries,Transportation systems,vehicles,sensor data,Fault prediction,Data driven,Random Forest Classifier,No,2.0,2-s2.0-85219115556
Maritime container terminals,Marine,marine,"sensor data, images",['Fault prediction'],Data driven,"['Machine learning', 'Computer vision']",No,3.0,2-s2.0-85195415888
Naval vessel propulsion systems,Other,,sensor data,Fault prediction,Hybrid,"['Gaussian Mixture Models (GMMs)', 'Hidden Markov Models (HMMs)']",Yes: GMMs and HMMs are interpretable techniques,4.0,2-s2.0-85202174415
Industrial systems / Manufacturing sector,Industrial systems,,"['sensor data', 'operational logs', 'environmental factors']",Fault prediction,Hybrid,"['Statistical methods', 'Deep learning algorithms']",No,4.0,2-s2.0-85186685368
Home appliances,Other,,sensors,Fault prediction,Data driven,"Self-diagnostic features, possibly rule-based or ML-based (not explicitly specified)",Yes: rule-based / diagnostic features,2.0,2-s2.0-85212922674
Residential smart home systems,Smart Homes,,"sensor data, unstructured data","Fault prediction, Energy management",Data driven,"AI algorithms (unspecified), decision-making techniques",No,2.0,2-s2.0-85213055253
Aerospace systems,Aicraft / Aviation / Aerospace,,sensor data,Error modeling and fault detection,Data driven,"Kalman filter, Fault detection algorithms","Yes: Kalman filter, Fault detection algorithms",1.0,2-s2.0-85174801973
Photovoltaic (PV) systems,Energy systems (not HVAC),solar,sensor data,Fault prediction,Rules and/or logic based,Fault detection and classification algorithms,Yes: rules-based algorithms,2.0,2-s2.0-85165174420
Electric Motor Production,Electrical systems,,sensor data,Predictive maintenance,Data driven,Not specified,No,2.0,2-s2.0-105002272587
Aerospace engineering / Aircraft engines,Aicraft / Aviation / Aerospace,,sensor data,Fault prediction,Hybrid,"['Machine learning algorithms', 'Deep learning models']",No,2.0,2-s2.0-105003909175
IoT systems,IoT systems,,sensor data,Fault prediction,Data driven,Machine learning techniques,No,3.0,2-s2.0-85187553972
Electrical equipment in industrial and utility settings,Industrial systems,,"sensor data, time series",Fault prediction,Data driven,Machine learning algorithms,No,4.0,2-s2.0-86000003400
Electrical power systems,Power systems,,sensor data,Fault prediction,Rules and/or logic based,"L1-regularization, Least squares optimization","Yes: L1-regularization, Least squares",2.0,2-s2.0-85182744533
Industrial motors,Industrial systems,,sensor data,Fault prediction,Data driven,1D CNN,No,4.0,2-s2.0-85216802803
Industrial systems,Industrial systems,,"sensor data, data from monitoring devices","Fault prediction, Anomaly detection",Data driven,"Predictive analytics, Failure rate analysis",Yes: Model interpretability through failure rate analysis and anomaly detection,4.0,2-s2.0-85193978430
Aviation / Aircraft maintenance,Aicraft / Aviation / Aerospace,,"sensor data, maintenance records, aircraft operations, failure incidences","Remaining Useful Life, Fault prediction, Anomaly detection",Hybrid,"LSTM, Gradient Boosting",No,3.0,2-s2.0-85187792931
Industrial systems,Industrial systems,,"sensor data, time series",['Failure prediction'],Data driven,Machine Learning,No,3.0,2-s2.0-85198557666
Transformer systems in electrical power infrastructure,Power systems,,"sensor data, images",['Fault prediction'],Data driven,Not explicitly specified in the abstract,No,2.0,2-s2.0-85214407591
Power electronics,Power systems,,sensor data,Remaining Useful Life,Data driven,"Simulation, thermal parameter derivation, Python (PySpice)",Yes: Thermal parameters derivation and simulations provide interpretability,4.0,2-s2.0-85191160586
Aviation facilities / Transmission towers / Power grid systems,Aicraft / Aviation / Aerospace,,sensor data,Fault prediction,Data driven,,No,0.0,2-s2.0-85214415647
Fuel cell systems / Renewable energy,Energy systems (not HVAC),,sensor data,Fault prediction,Data driven,Electrochemical impedance spectroscopy (EIS),Yes: impedance spectrum analysis,3.0,2-s2.0-105000008680
Food waste management facilities,Civil infrastructure,wastewater,sensor data,['Fault prediction'],Data driven,['Machine Learning'],No,2.0,2-s2.0-85202445430
Autonomous vehicles,Transportation systems,Vehicles,sensor data,Fault prediction,Data driven,"['Neural networks', 'Regression models']",No,2.0,2-s2.0-105001253506
Electrical infrastructure / Power distribution systems,Power systems,,sensor data,Fault prediction,Data driven,Machine learning (ML),No,4.0,2-s2.0-85214383898
Manufacturing / Industrial systems,Industrial systems,,"sensor data, time series","Remaining Useful Life, Fault prediction",Data driven,Not explicitly mentioned,No,1.0,2-s2.0-85212873796
Electrical cable condition monitoring,Electrical systems,,sensor data,Fault prediction,Physics based,"Finite element modeling, Tikhonov algorithm",Yes: Interpretable techniques (finite element and inverse problem solutions),1.0,2-s2.0-85182744842
Manufacturing,Manufacturing systems,,sensor data,Remaining Useful Life,Data driven,Machine learning,Yes: decision trees or rule-based models (implied interpretability),3.0,2-s2.0-85182017416
Wastewater treatment plants,Civil infrastructure,wastewater,sensor data,Fault prediction,Data driven,"['Feedforward Neural Network (FFNN)', 'Long Short-Term Memory (LSTM)']",No,4.0,2-s2.0-85211331150
Solar photovoltaic (PV) systems,Energy systems (not HVAC),solar,sensor data,Fault prediction,Data driven,Algorithm for fault detection (unspecified),"Yes: graphical representation, parametric values",3.0,2-s2.0-85174537913
Unmanned vessel / Maritime systems,Marine,marine,sensor data,Fault prediction,Rules and/or logic based,"Luenberger observers, Dynamic Regressor Extension and Mixing (DREM)",Yes: Observers and parameter estimation methods are interpretable,1.0,2-s2.0-85198227231
Manufacturing/Assembly lines,Manufacturing systems,,sensor data,Fatigue detection,Data driven,"Hidden Markov model, Hamiltonian Monte Carlo",Yes: Hidden Markov model,2.0,2-s2.0-85174898422
"Industrial systems (general, not explicitly specified)",Industrial systems,,sensor data,Fault prediction,Rules and/or logic based,"Linear Matrix Inequalities (LMIs), H∞ formalism","Yes: Rules and logic based (residual analysis, LMIs for decision making)",2.0,2-s2.0-85196724119
Industrial overhead cranes,Industrial systems,,sensor data,Fault prediction,Data driven,GMR sensors,No,4.0,2-s2.0-85205764477
Other,Other,,structured data,Fault prediction,Rules and/or logic based,H∞ estimator,Yes: rules-based / formal estimation method,2.0,2-s2.0-85205792009
Logistics and supply chain management,Other,,sensor data,Real-time logistics operation efficiency,Data driven,,No,2.0,2-s2.0-85171803363
Renewable energy systems,Energy systems (not HVAC),,sensor data,Fault prediction,Data driven,"Machine learning techniques (implied, e.g., ML algorithms for performance prediction)",No,2.0,2-s2.0-85207822509
