Domain,Input,Output,Modeling category,Modeling technique,Explainability,Relevance,EID
Aviation meteorology,Time series,Fault prediction,Data driven,"['Isolation Forest', 'One-Class SVM', 'Recurrent Neural Network (RNN) with Autoencoder', 'Robust Covariance Estimation', 'Local Outlier Factor']",No,0,2-s2.0-85216595288
IoT networks,None specified,Time synchronization accuracy,Other,Not specified,No,0,2-s2.0-85086904236
Water infrastructure monitoring,"Sensor data, Time series",Data analytics and monitoring insights,Data driven,"Stream processing, Data enrichment algorithms",Yes: rule-based data enrichment and visualization,2,2-s2.0-85103850097
Additive manufacturing / 3D printing,Sensor data,Fault prediction,Hybrid,"Dictionary learning, Compressed sensing, K-SVD",Yes: Dictionary learning and sparse representation techniques,3,2-s2.0-85117949256
Mechanical equipment / Industrial machinery (specifically rolling bearings),"Sensor data, Time series",Fault prediction,Data driven,"VMD, CNN",No,3,2-s2.0-85099294241
Hospital electrical systems / Medical device power supply systems,['Sensor data'],['Fault prediction'],Knowledge based,Heuristics,Yes: heuristics,3,2-s2.0-85108538241
Power plant equipment (specifically water pump bearing condition monitoring in coal-fired power plants),Sensor data,Remaining Useful Life,Data driven,LSTM,No,3,2-s2.0-85097945835
Other,Sensor data,Fault prediction,Knowledge based,Not specified,Yes: rule-based / knowledge based methods,2,2-s2.0-85128602298
Aero-engine systems,Sensor data,Fault prediction,Knowledge based,"T-S Fuzzy Model, Linear Matrix Inequality",Yes: T-S Fuzzy Model and observer provide interpretability,3,2-s2.0-85098660447
Other,Structured data,Fault prediction,Other,,No,0,2-s2.0-85091554891
3D printers,Sensor data,Fault prediction,Supervised learning,"['Support Vector Machine', 'LPP', 'KLPP', 'NPE']",No,2,2-s2.0-85087272325
Discrete event systems,Structured data,Fault prediction,Reinforcement learning,Reinforcement learning,No,2,2-s2.0-85100936022
Pipeline systems / Fluid transport,Sensor data,Frequency prediction,Data driven,Support Vector Regression (SVR),No,0,2-s2.0-85128058734
Experimental testing and fatigue analysis in servo hydraulic test benches,Sensor data,Virtual sensing / Forward prediction,Hybrid,"LSTM networks, Frequency Response Function models",No,2,2-s2.0-85129487990
Manufacturing / Industrial systems,Sensor data,System failure prediction,Hybrid,Probabilistic model checking,Yes: Formal verification / Model checking techniques,3,2-s2.0-85091973484
Chip manufacturing,Sensor data,Remaining Useful Life,Data driven,Frequency analysis / Measurement of discharge time,Yes: Interpretable features based on discharge time and frequency degradation,4,2-s2.0-85091566462
Other,Sensor data,Real-time system monitoring and adaptive interactions,Hybrid,"FPGA-based processing, machine learning",No,2,2-s2.0-85186646847
Commercial buildings,Sensor data,Fault prediction,Rules and/or logic based,Signal processing techniques,Yes: Signal analysis / noise analysis,4,2-s2.0-85098656774
Industrial machinery,Acoustic signal,Fault prediction,Data driven,"Autoencoders (specifically, marginalized Stacked Denoising Autoencoder, mSDA)",Yes: Interpretable autoencoder approach,2,2-s2.0-85087282548
Industrial systems / Manufacturing environments,"Sensor data, Unstructured data",Predictive analytics / Maintenance prediction,Data driven,,No,2,2-s2.0-105010835936
Industrial rotating systems,"Sensor data, Images",Fault prediction,Deep learning,Residual CNN,No,2,2-s2.0-85112391941
Commercial buildings,Sensor data,Fault prediction,Data driven,,No,3,2-s2.0-85216088733
Sensor networks (underwater sensor network for harbor water flow monitoring),Sensor data,Fault prediction,Data driven,"Synthetic experiments (implying data analysis), hierarchical health-map structure",Yes: Hierarchical health-maps and fault diagnosis provide interpretable insights,2,2-s2.0-85097190128
"Manufacturing, energy, logistics","Sensor data, Time series","Remaining Useful Life, Fault prediction",Data driven,Machine learning techniques,No,4,2-s2.0-105007868743
Industrial manufacturing / packing machines,Time series,Fault prediction,Data driven,"['ARIMA', 'Prophet']",Yes: ARIMA and Prophet are interpretable forecasting techniques,3,2-s2.0-85091753195
Commercial buildings,Sensor data,Fault prediction,Data driven,"Python-based thermal, air, and moisture transport (HAM) software, energy simulations",Yes: energy simulations and detailed computational models,4,2-s2.0-85189915403
Gas-insulated switchgear,Sensor data,Fault prediction,Data driven,"['Machine learning algorithms', 'Gabor transform']",Yes: texture and shape features extraction with Gabor transform,4,2-s2.0-85123749134
Aircraft engines,Sensor data,Remaining Useful Life,Data driven,"['Abrupt covariance-based signal extraction', 'Partial least square regression']",Yes: Partial least square regression,3,2-s2.0-85105043358
Rotating machinery / Gearbox,"Sensor data, Time series",Fault prediction,Data driven,"['1DCNN', 'Random Forest (RF)']",No,2,2-s2.0-85100434563
Other,Sensor data,Fault prediction,Rules and/or logic based,Rules-based optimization,Yes: rules-based,3,2-s2.0-85100915573
Manufacturing,Sensor data,Fault prediction,Deep learning,LSTM-autoencoder,No,4,2-s2.0-85174392131
Concrete non-destructive testing,"Sensor data, Images",Fault prediction,Physics based,Full Waveform Inversion,Yes: physics-based methods,2,2-s2.0-85217153977
Electrical infrastructure,"['Thermal sensors', 'High-resolution imaging', 'Metrics for structural integrity']","['Damage classification', 'Severity prediction']",Hybrid,"['Rule-based analysis', 'AI classification']",Yes: rule-based analysis,1,2-s2.0-105010830475
Oil and gas industry / Industrial manufacturing processes,Sensor data,Failure prediction,Data driven,Machine learning pipeline (general ML techniques; specific algorithms not specified),No,4,2-s2.0-85103834168
IoT systems in industrial contexts,Structured data,Fault prediction,Hybrid,,Yes: adaptation of IEEE Std. 1044-2009,2,2-s2.0-85099274515
Palm oil processing machinery,Sensor data,Remaining Useful Life,Hybrid,['Digital Twin'],Yes: Digital Twin,4,2-s2.0-85150424268
Industrial sensor network,Sensor data,Fault prediction,Rules and/or logic based,"Finite automata, trajectory reasoning",Yes: finite automata and rule-based models,2,2-s2.0-85114019204
Smart City / Urban Infrastructure,Sensor data,Anomaly detection,Data driven,Not specified,No,2,2-s2.0-85097354767
Structural health monitoring,Sensor data,Fault prediction,Data driven,Simulation (HFSS modeling),No,2,2-s2.0-85100920500
Aerospace systems,Sensor data,Remaining Useful Life,Data driven,Deep LSTM,No,4,2-s2.0-85087273030
Logistics / Transportation,Sensor data,Fault prediction,Data driven,"Not explicitly specified, but likely machine learning or statistical analysis based on sensor data",No,2,2-s2.0-85103693705
Industrial systems for precious metal processing,"Sensor data, Time series","Remaining Useful Life, Fault prediction",Data driven,"Statistical tools, Process capability indices",Yes: Statistical process control and capability indices are interpretable techniques,4,2-s2.0-85091703949
Smart factories,Sensor data,Fault prediction,Knowledge based,Rule-based reasoning,Yes: rule-based reasoning,3,2-s2.0-85076780008
Manufacturing systems,Sensor data,Remaining Useful Life,Data driven,Machine learning and artificial intelligence tools,No,4,2-s2.0-85132278461
Mining industries,Sensor data,Remaining Useful Life,Hybrid,"Machine learning, Knowledge graphs",Yes: Knowledge graphs,4,2-s2.0-85127513501
Marine diesel engine systems,Sensor data,Fault prediction,Data driven,"Classifiers (unspecified), likely machine learning classifiers",No,2,2-s2.0-85165704062
Forming presses,Sensor data,Fault prediction,Data driven,,No,2,2-s2.0-85184614848
Large-scale wave measurement systems in marine or laboratory environments,"Water resistance data, sensor measurements",Fault diagnosis,Hybrid,Fuzzy system,Yes: Fuzzy system,2,2-s2.0-85068801172
Pharmaceutical facilities,Sensor data,Fault prediction,Data driven,Deep Transformer,No,4,2-s2.0-85164526271
Chip manufacturing,Sensor data,Fault prediction,Data driven,Machine learning,No,3,2-s2.0-85141897402
High Temperature Superconducting (HTS) cables,Images,Fault prediction,Data driven,Not specified in abstract,No,3,2-s2.0-85086143776
Chip manufacturing,Sensor data,Fault prediction,Rules and/or logic based,Timed automaton,Yes: Timed automaton,4,2-s2.0-85173580494
Manufacturing (factory machines),Sensor data,Remaining Useful Life; Fault prediction,Hybrid,Statistical models; Machine learning,"Yes: Statistical models, condition indicators",4,2-s2.0-85173576282
Industrial rotating machines,"['Sensor data', 'Images']",['Fault prediction'],Data driven,"['Naïve Bayes', 'k-Nearest Neighbor', 'Support Vector Machine']",No,4,2-s2.0-85127061757
Industrial manufacturing (specifically low voltage industrial motors),Sensor data,Fault prediction,Rules and/or logic based,"Predefined setpoints, threshold-based detection",Yes: threshold rules / setpoints,4,2-s2.0-85084225145
Atmospheric storage tanks,Sensor data,Fault prediction,Hybrid,Fuzzy PID,Yes: Fuzzy logic,3,2-s2.0-85211331502
Industrial IoT / Industrial systems,Sensor data,Predictive Maintenance,Data driven,"Serverless computing, cloud-based analytics, performance measurement",No,2,2-s2.0-85161176471
Industrial machinery and equipment in manufacturing,Binary time series data,Anomaly detection,Data driven,"['Isolation Forest', 'Local Outlier Factor', 'DBSCAN', 'kMeans', 'Autoencoder', 'Variational Autoencoder', 'Support Vector Machine', 'AutoML']","Yes: Autoencoder, Variational Autoencoder, SVM (with interpretability techniques), other models are less interpretable",2,2-s2.0-85189773729
"Factories, plants, or industrial machinery",Sensor data,Fault prediction,Data driven,Machine learning (general),No,2,2-s2.0-85094595398
Manufacturing systems,['Structured data'],['Maintenance factor ranking'],Rules and/or logic based,"['Fuzzy Analytic Hierarchy Process (F-AHP)', 'ELECTRE III']",Yes: F-AHP and ELECTRE III are interpretable multi-criteria decision-making techniques,2,2-s2.0-85164507077
Manufacturing systems,Sensor data,Remaining Useful Life,Data driven,"['Auto-encoder', 'Deep Belief Network (DBN)', 'Convolutional Neural Network (CNN)', 'Recurrent Neural Network (RNN)']",No,4,2-s2.0-85090498955
Automotive structural components,Sensor data,Load condition identification,Data driven,Artificial Neural Networks,No,2,2-s2.0-85100805803
Chip manufacturing,Sensor data,Fault prediction,Data driven,"1D CNN, LSTM, hybrid 1D CNN + LSTM",No,4,2-s2.0-85207369163
High speed manufacturing,Sensor data,Remaining Useful Life,Data driven,Regression,Yes: Regression,3,2-s2.0-85099845490
Manufacturing,"['Sensor data', 'Time series']","['Fault prediction', 'Remaining Useful Life']",Data driven,Not explicitly specified (likely machine learning or statistical models based on IoT data),No,2,2-s2.0-85121649680
Chip manufacturing,Sensor data,Fault prediction,Data driven,"Neural network (NN), Model reference adaptive system (MRAS)",No,2,2-s2.0-105003812638
Power systems,Sensor data,Fault prediction,Hybrid,Physics-based and Data-driven,"Yes: Fault detection, diagnosis, reconfiguration (based on fault-tolerant control theories)",4,2-s2.0-85153070881
Structural Health Monitoring (SHM) for beam structures,Sensor data,Load estimation / Probabilistic load description,Data driven,"Maximum Likelihood Estimation (MLE), Monte Carlo integration, Genetic Algorithms (GAs)",Yes: Confidence Intervals (CIs) and probabilistic inference,3,2-s2.0-85191293875
Chip manufacturing,Sensor data,Remaining Useful Life,Data driven,"Bidirectional Gated Recurrent Unit (BGRU), Domain-Adversarial Neural Network (DANN)",No,4,2-s2.0-85116494413
HVAC systems,"Sensor data, Time series",Fault prediction,Data driven,"Wavelet transform, STFT","Yes: Wavelet transform, STFT",2,2-s2.0-85084671201
Aircraft engine health management,Sensor data,Remaining Useful Life,Data driven,LSTM neural network,No,4,2-s2.0-85120652016
Automotive component manufacturing,"Sensor data, Process data, Meta information","Predictive quality, Maintenance",Data driven,Not explicitly specified,Not specified,2,2-s2.0-85106735396
Other,Sensor data,Fault prediction,Physics informed,"Fiber-Bragg-Grating sensors, Natural frequency analysis",Yes: natural frequency analysis and sensor data interpretation,2,2-s2.0-85136293445
Steel manufacturing / industrial systems,"Sensor data, Time series",Remaining Useful Life,Data driven,Deep Learning,No,4,2-s2.0-85099819256
Other,Sensor data,Remaning Useful Life,Data driven,Neural networks,No,2,2-s2.0-85146239241
Smart manufacturing systems,Sensor data,Remaining Useful Life,Hybrid,"Bond graph modeling, Data fitting (implied from software fitting functions)",Yes: Bond graph models are interpretable and physics-based,3,2-s2.0-85084222726
Electric Motor Systems,"['Sensor data', 'Time series']",Fault prediction,Data driven,Not specified,No,3,2-s2.0-85119591716
Manufacturing / Industrial product lifecycle management,Structured data,Resource efficiency / Data integration quality,Knowledge based,Knowledge-based integration,Yes: Knowledge-based approach,2,2-s2.0-85133545199
Structural health monitoring in mechanical and civil structures,Sensor data,Damage localization and quantification,Data driven,"CNN, multivariate linear regressors",No,0,2-s2.0-85102655822
Industrial systems / motors and bearings,Sensor data,Fault prediction,Data driven,Gaussian Mixture Model (GMM),Yes: GMM,3,2-s2.0-85102643449
Manufacturing / Industry 4.0,Sensor data,Predictive maintenance,Data driven,"Data analytics, IoT data analysis",No,4,2-s2.0-85189781216
Railcar maintenance,"Sensor data, Time series","Remaining Useful Life, Fault prediction",Data driven,"Artificial Neural Network (ANN), Levenberg Marquardt algorithm",No,4,2-s2.0-85085487307
Chip manufacturing,Sensor data,Fault prediction,Data driven,Sensor-based analysis,Yes: Interpretable sensor analysis,3,2-s2.0-85214992232
Power transmission systems,Sensor data,Fault prediction,Rules and/or logic based,Fuzzy logic system,Yes: fuzzy logic system,2,2-s2.0-85088600049
Industrial systems / general industry,Sensor data,Remaining Useful Life,Data driven,"Machine learning models (unspecified, but includes ML techniques)",No,4,2-s2.0-85193350726
Machine tools,Sensor data,Remaining Useful Life,Data driven,Not specified,No,2,2-s2.0-85099869662
Wastewater systems,Sensor data,Remaining Useful Life,Data driven,"Not explicitly specified, likely data-driven algorithms",No,4,2-s2.0-85204714023
"Manufacturing industries (food, packaging, automotive, textile)",Sensor data,Maintenance decision support / Predictive maintenance,Data driven,"Big data analytics, possibly machine learning (implied but not explicitly stated)",No,2,2-s2.0-105000461207
Chip manufacturing,Sensor data,Fault prediction,Data driven,Not specifically mentioned,No,3,2-s2.0-85116931297
Industrial manufacturing,Sensor data,Fault prediction,Data driven,Machine learning,No,3,2-s2.0-105008868424
Industrial relays,Sensor data,Fault prediction,Data driven,"['Bagging', 'Boosting', 'LSTM', 'Autoencoder', 'Neural networks']",No,4,2-s2.0-105008869113
Manufacturing,"Sensor data, Big data analytics",Predictive maintenance,Hybrid,Digital twin,Yes: Interpretability of digital twin models,3,2-s2.0-85171733630
Industrial systems (specifically motion axes or machinery monitoring),Sensor data,Fault prediction,Data driven,Artificial Neural Networks (ANN),No,3,2-s2.0-85173578372
Manufacturing,Sensor data,Fault prediction,Data driven,"['Auto encoder', 'Deep learning models (ResNet18, Vgg19, Alexnet, Squeezenet)']",No,3,2-s2.0-85160424917
Rotary systems,"Sensor data, Time series, Images (spectrograms)",Fault prediction,Data driven,"CNN, Autoencoder, Incremental learning",No,4,2-s2.0-85127467442
Other,Sensor data,Fault prediction,Data driven,Not specified,No,3,2-s2.0-85219202327
Manufacturing systems,Sensor data,Fault prediction,Data driven,Not specified,No,3,2-s2.0-85177761000
Heavy-duty truck gas engine systems,Sensor data,Remaining Useful Life,Data driven,Deep learning,No,4,2-s2.0-85146246708
Industrial systems / Smart manufacturing / Induction motors,"Sensor data, Big data analytics",Fault prediction,Data driven,"Deep learning, Neural networks, Multi-agent systems",No,4,2-s2.0-85101755147
Shipbuilding,['Sensor data'],['Maintenance procedures / task guidance'],Hybrid,"Industry 4.0 technologies (AR, QR-coding, virtual models)",Yes: Interpretability through virtual models and digital documentation,3,2-s2.0-105000540295
Cooling towers / Industrial cooling systems,Sensor data,Fault prediction,Data driven,Multilayer perceptron,No,4,2-s2.0-85142612109
Industrial rotating machinery / Steel rolling industry,Sensor data (vibration signals),Remaining Useful Life,Data driven,"AutoML, Weibull distribution, feature extraction",No,3,2-s2.0-105000496927
Chip manufacturing,"Sensor data, Time series","Remaining Useful Life, Fault prediction",Hybrid,"Deterministic models, Machine learning (implied)",Yes: deterministic modeling approaches,4,2-s2.0-105003238610
Forestry equipment,"Sensor data, Structured data","Fault prediction, Remaining Useful Life",Data driven,Not specified,No,2,2-s2.0-85208546855
Chip manufacturing,"Sensor data, Time series",Fault prediction,Data driven,"ML models, Deep learning",No,4,2-s2.0-85189801097
Chip manufacturing,Sensor data,Remaining Useful Life,Data driven,Machine learning algorithms,Yes: visualization,3,2-s2.0-85189776516
Other,Sensor data,Fault prediction,Data driven,Dissimilarity based model,No,3,2-s2.0-85116925059
Smart cities,Sensor data,Fault prediction,Hybrid,Kalman filter,Yes: Kalman filter,2,2-s2.0-85101819706
Chip manufacturing,Sensor data,Remaining Useful Life / Fault prediction,Data driven,Advanced analytics (implying ML/data-driven methods),No,3,2-s2.0-85170277422
Manufacturing systems,Sensor data,Predictive maintenance,Data driven,Data mining,No,3,2-s2.0-85142882718
Industrial systems,Sensor data,Remaining Useful Life,Data driven,"Signal analysis, statistical analysis, machine learning",No,4,2-s2.0-105005187012
Other,None specified,None specified,Other,Other,No,1,2-s2.0-85169896788
Mechanical systems / Gear fault detection,Sensor data,Fault prediction,Data driven,CNN,No,4,2-s2.0-85090496052
Industrial equipment / Electric motors,Sensor data,Fault prediction,Data driven,"Vibration analysis, frequency domain analysis",Yes: Frequency domain analysis,3,2-s2.0-85084219502
Manufacturing,Sensor data,Fault prediction,Data driven,"['Principal Component Analysis (PCA)', ""Hostelling's T2 statistics"", 'Squared prediction error (SPE)']","Yes: PCA, T2 statistics, SPE",4,2-s2.0-85090496571
Machine tools in manufacturing industry,"Log file data, execution parameters, sensor data, derived data",Fault prediction,Data driven,Text mining / Computational linguistic techniques,Yes: Interpretable linguistic analysis,3,2-s2.0-85127764113
Industrial motors,Sensor data,"['Fault prediction', 'Root cause analysis']",Data driven,"['Support Vector Machine', 'Neural Network', 'Random Forest']",No,4,2-s2.0-85127804679
Aerospace systems (specifically turbofan engines),Time series,Remaining Useful Life,Data driven,"Transformer, Self-Attention",No,3,2-s2.0-85163889619
Maritime industry / Vessels / Marine equipment,Sensor data,Fault prediction,Hybrid,"Combination of sensors and machine learning / advanced analytics (implied, not explicitly specified)",No,3,2-s2.0-85183567529
Industrial motors / industrial automation,Sensor data,Fault prediction,Data driven,Random Forest,No,4,2-s2.0-105006581961
Manufacturing equipment (specifically bending machines and forming processes),"Sensor data, Images","Fault prediction, Remaining Useful Life",Hybrid,"Optical measurement systems, possibly combined with sensor-based data analysis techniques","Yes: optical measurement systems, visual inspection",2,2-s2.0-85106411327
3D printing / additive manufacturing,Sensor data,Remaining Useful Life,Data driven,Regression model,No,3,2-s2.0-85164539766
Other,Sensor data,Fault prediction,Data driven,"Transformer, Random Forest",No,2,2-s2.0-105005170755
Military vehicles,"Sensor data, vehicle control data, GPS data, logistics data, Natural language text","Usage profile classification, Life cycle costing",Data driven,"AI-enhanced analysis, likely involving machine learning methods (specific techniques not explicitly mentioned)",Yes: Data analysis and classification for decision support,4,2-s2.0-85127525988
Industrial Internet of Things (IIoT),Sensor data,"Fault prediction, Root cause analysis",Data driven,Compressive sensing (CS),No,2,2-s2.0-85144063633
Industrial systems / machinery (motors and expander machines),Sensor data,Fault prediction,Data driven,"State-of-the-art algorithms for vibration analysis (e.g., signal processing and machine learning techniques)",No,3,2-s2.0-85121585893
Oil and gas systems / Off-shore engineering,Sensor data,Remaining Useful Life,Physics informed,PINN,Yes: interpretability of PINN,4,2-s2.0-85146219302
Structural health monitoring in steel frame structures,"Sensor data, Time series, Spectral features (wavelet transform)",Damage detection and classification,Data driven,Random Forest,Yes: Random Forest,2,2-s2.0-85139150812
Electrical power systems / Transmission and distribution networks,Sensor data,Fault prediction,Data driven,Machine Learning (regression algorithms),No,2,2-s2.0-105007148038
Industrial systems / Cyber-physical systems,Sensor data,Anomaly detection / Fault detection,Data driven,Unsupervised mechanisms / Anomaly detection algorithms,No,2,2-s2.0-85141666148
Industrial systems / Smart manufacturing units,Sensor data,Fault prediction,Data driven,Federated learning,No,4,2-s2.0-85159339852
Other,Sensor data,Positioning accuracy / Disturbance analysis,Hybrid,"Fuzzy control, Model predictive control","Yes: Fuzzy control, Model predictive control",2,2-s2.0-85172934426
Chip manufacturing,Sensor data,"['Fault prediction', 'Root cause analysis']",Data driven,"['Gaussian Mixture Model', 'Mean-Shift Clustering']",No,3,2-s2.0-85195360371
Large-scale industrial plants,"['Textual data (repair and maintenance reports)', 'Sensor data (implied but not explicitly mentioned)']","['Fault prediction', 'Failure catalogues']",Data driven,['Natural Language Processing (NLP)'],Yes: NLP and keyword-based approaches,3,2-s2.0-85132304114
"Industrial environment (general), with a focus on airborne sound monitoring","Unstructured data (airborne noise data, sound data, sensor data from smartphone microphone)",Fault prediction,Data driven,"Not explicitly specified, but likely machine learning techniques for acoustic analysis",No,3,2-s2.0-85183558801
Motor-driven systems,Sensor data,Remaining Useful Life,Data driven,Not specified,No,2,2-s2.0-85174386304
Naval systems / military complex systems,Sensor data,Fault prediction,Data driven,Machine learning,No,4,2-s2.0-85093088320
Oil and Gas Sector,Structured data,Failure probability within a time window,Statistics-based,Weibull Distribution,Yes: Statistical distribution,2,2-s2.0-105000509084
Mechanical systems (bearing-shaft system),Sensor data (accelerometer signals),Fault prediction,Data driven,"Semi-supervised classification, pattern extraction, self-training",Yes: Pattern extraction and discretization provide interpretability,3,2-s2.0-85099866988
Industrial systems,Sensor data,"None specified (focus on technique selection, not specific failure prediction or RUL)",Hybrid,"['Experience-based', 'Model-based', 'Physical-based', 'Data-driven']",Yes: Decision framework based on factors and techniques,3,2-s2.0-85132277771
"Industrial systems with equipment monitored by sensors, possibly related to manufacturing or machinery, but not explicitly specified. Given the focus on predictive maintenance and sensor data, and the mention of equipment failures, the most relevant classification is general industrial equipment.","Sensor data, Time series",Fault prediction,Data driven,ML algorithms (unspecified which) using open-source tools,No,3,2-s2.0-105000489195
Maritime and Coastal Monitoring Systems,Sensor data,Missing data interpolation / Digital twin,Hybrid,"Convolutional layers, Short-term memory layers (LSTM/GRU)",No,2,2-s2.0-85188644906
Manufacturing industry / Machining tools,Sensor data,Remaining Useful Life,Data driven,"Variational Mode Decomposition (VMD), 1D CNN, LSTM with attention mechanism",No,4,2-s2.0-85089841282
Marine machinery / Mechanical systems,Sensor data,Fault prediction,Data driven,"Fiber Bragg Grating sensor measurement, Savitzky-Golay filter",Yes: sensor-based measurements and filters are interpretable,3,2-s2.0-85193053128
Tidal stream turbines,"['Sensor data (stator current signals)', 'Images']",Fault prediction,Hybrid,Dempster-Shafer (DS) theory,Yes: Confidence-guided Dempster-Shafer (DS) method,4,2-s2.0-85200128469
Other,Sensor data,Fault prediction,Rules and/or logic based,"Lyapunov functions, Linear Matrix Inequalities (LMIs)",Yes: using LMIs and Lyapunov functions for interpretability,2,2-s2.0-85171995247
Industrial robots / Gear fault diagnosis,Sensor data,Fault prediction,Data driven,Adaptive permutation entropy,Yes: Adaptive permutation entropy,2,2-s2.0-85133515443
Rotating machinery,Sensor data,Remaining Useful Life,Data driven,"Variational Deep Gaussian Process (VDGP), SHAP analysis",Yes: SHAP analysis,4,2-s2.0-105002632934
Electric vehicles (EVs),Sensor data,Fault prediction,Data driven,Quantum-enhanced machine learning,No,3,2-s2.0-85165235205
Battery systems / Lithium-ion batteries,Sensor data,Fault prediction,Hybrid,"Interval filter, L∞ norm",Yes: Interval filters and uncertainty bounds are interpretable techniques,3,2-s2.0-85205533348
Power transmission systems,Sensor data,Fault prediction,Data driven,Transfer learning with CNN (LeNet-5),No,3,2-s2.0-85131408844
Oil and gas pipelines / Offshore facilities,"['Sensor data', 'Time series']","['Fault prediction', 'Remaining Useful Life']",Data driven,AI-based technology for predictive and prescriptive assessment (specific techniques not explicitly mentioned),No,4,2-s2.0-85150676616
Subsea oil and gas equipment / Valve systems,"Sensor data, Time series, Images",Fault prediction,Data driven,"Deep neural network (DNN), CNN",No,2,2-s2.0-85145600083
Industrial systems,Sensor data,Fault prediction,Hybrid,"Filter-based methods, residual generation",Yes: Rule-based residual analysis and thresholding,3,2-s2.0-85078146968
Motor bearing fault diagnosis in industrial machinery,Sensor data,Fault prediction,Data driven,Siamese neural networks (SNNs),No,3,2-s2.0-85184037777
Wireless Sensor Networks (WSN),Sensor data,Fault prediction,Data driven,Extreme Gradient Boosting (XGBoost),No,3,2-s2.0-85212097095
Nuclear power plants,Sensor data,Fault prediction,Data driven,"Signal decomposition (EMD, DWT, EWT), Mann-Whitney U test",Yes: Mann-Whitney U test,4,2-s2.0-105010956966
Chip manufacturing,Sensor data,Fault prediction,Data driven,"['CNN', 'Dynamic spatial pyramid pooling']",No,4,2-s2.0-85216282822
Other,Structured data,Fault prediction,Knowledge based,Type 3 fuzzy systems,Yes: Fuzzy logic,0,2-s2.0-105005533962
Marine navigation / Maritime systems,Sensor data,Fault prediction / Change detection,Data driven,"Likelihood Field approach, Generalized likelihood ratio test, Gaussian modeling, Kernel Density Estimation","Yes: Likelihood ratio test, Gaussian modeling, Kernel Density Estimation",2,2-s2.0-85140991226
Petrochemical/Pipeline systems,Sensor data,"Remaining Useful Life, Fault prediction, Root cause analysis",Machine learning / Data driven,Artificial Intelligence / Machine Learning,"Yes: Descriptive, prescriptive analytics",4,2-s2.0-85097599203
Power grid,Sensor data,Fault prediction,Data driven,,No,3,2-s2.0-85173163690
Marine environment investigation,Sensor data,Fault prediction,Data driven,,No,1,2-s2.0-85142351935
Industrial machinery / Equipment monitoring,Multisensor data,Fault prediction,Data driven,"Variational auto-encoders (VAEs), Mixture of Gaussians (MoGs)",No,4,2-s2.0-85127876942
Autonomous surface ships,"Sensor data, Time series",Fault prediction,Data driven,"Residual observer, Hi/H∞ optimization, Cascaded neural networks",Yes: Residual observer and decision-level fusion network are interpretable,4,2-s2.0-85147456769
Industrial rotating machinery/ bearing systems,Sensor data,Fault prediction,Data driven,"['CNN', 'GRU']",No,4,2-s2.0-105007560035
Industrial systems,Sensor data,Fault prediction,Data driven,"Graph convolutional networks (GCNs), Multiple-instance learning, Unsupervised domain adaptation (UDA), Subgraph learning",No,4,2-s2.0-85199723605
Control systems in networked and discrete-time systems,"Structured data (fuzzy models, matrix calculations, Markov chains), possibly sensor data in signal transmission",Fault prediction,Hybrid,"Fuzzy logic, Linear matrix inequalities, Lyapunov functions",Yes: Fuzzy logic and matrix-based analysis,2,2-s2.0-85090759556
Wind turbines,Sensor data,Fault prediction,Data driven,"ConvLSTM-Transformer, PSO",No,3,2-s2.0-85189552077
Ship pipeline systems,"Sensor data, Time series, Images",Fault prediction,Data driven,"Multi-channel fusion CNN, Domain adaptation strategy",No,3,2-s2.0-85186330081
Transformers / Electrical equipment,Sensor data,Fault prediction,Data driven,Photoacoustic spectroscopy,Yes: based on gas concentration measurement and known physical principles,3,2-s2.0-85108602682
Ship pipeline systems,Images,Fault prediction,Data driven,CNN,No,0,2-s2.0-85174684972
Agriculture / Precision Agriculture,Sensor data,Fault prediction,Rules and/or logic based,"Logical gates (NAND), signal timing analysis",Yes: Rules and logic,3,2-s2.0-85163425301
Heat exchangers in thermal power plants,Sensor data,Fault prediction,Physics informed,"Physics-informed neural networks (PINN), Hypernetwork",Yes: Physics-informed neural networks,4,2-s2.0-105003421499
Industrial IoT security,Structured data,Threat detection,Data driven,"Federated learning, Differential Privacy, Blockchain",No,2,2-s2.0-105007556172
Electrical transformer maintenance,Sensor data,Fault prediction,Physics based,"Laser absorption spectroscopy, frequency-division multiplexed (FDM), lock-in amplifiers",Yes: Physical principles of spectroscopy,4,2-s2.0-85133927591
Wireless Sensor Networks,Structured data,Fault prediction,Data driven,"['Support Vector Machine', 'Sailfish Optimization']",No,2,2-s2.0-85211384530
Industrial systems (belt conveyor systems in coal preparation plant),Audio data,Fault prediction,Data driven,"['Stacked sparse encoders', 'Convolutional neural network', 'Spectral clustering']",No,2,2-s2.0-85083335983
Marine structures,Sensor data,Corrosion monitoring,Data driven,,No,0,2-s2.0-85131916783
"Electrical and control systems in neural networks, specifically memristive neural networks and Chua's circuit systems","Structured data (sampled-data control), potentially sensor data and system state information","Fault prediction and fault detection, control gain matrices for fault-tolerance",Hybrid,"Lyapunov functions, sum of squares (SSs), impulsive control method",Yes: Lyapunov functions and sum of squares provide interpretability,2,2-s2.0-85085027804
Industrial systems / Machinery,Sensor data,Fault prediction,Data driven,"Deep neural networks, MMD (Maximum Mean Discrepancy)",No,4,2-s2.0-85097714683
